long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,flags,long,flags,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,
6,-1,-1,0,,,"Niveau 10",,,,,,,,,,,,,,0xFF01FE,,,"Atteindre le niveau 10.",,,,,,,,,,,,,,0xFF01FE,92,0xA,1,0x4,3268,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
33,1,-1,0,,,"Ma tendre toundra",,,,,,,,,,,,,,0xFF01FE,,,"Achever 130 quêtes dans la toundra Boréenne.",,,,,,,,,,,,,,0xFF01FE,14863,0xA,1,0x88,3336,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
42,-1,-1,0,,,"Exploration des Royaumes de l'est",,,,,,,,,,,,,,0xFF01FE,,,"Explorer les régions des Royaumes de l'est.",,,,,,,,,,,,,,0xFF01FE,97,0x19,1,0x0,3490,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
57,-1,30,0,,,"Morts dans la Vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,,,"Morts dans la Vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,124,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
60,-1,-1,0,,,"Nombre total de morts",,,,,,,,,,,,,,0xFF01FE,,,"Nombre total de morts",,,,,,,,,,,,,,0xFF01FE,122,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
98,-1,-1,0,,,"Quêtes achevées",,,,,,,,,,,,,,0xFF01FE,,,"Quêtes achevées",,,,,,,,,,,,,,0xFF01FE,133,0x0,1,0x9,0,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
107,-1,-1,0,,,"Créatures tuées",,,,,,,,,,,,,,0xFF01FE,,,"Créatures tuées",,,,,,,,,,,,,,0xFF01FE,135,0x0,1,0x9,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
112,-1,-1,0,,,"Morts par noyade",,,,,,,,,,,,,,0xFF01FE,,,"Morts par noyade",,,,,,,,,,,,,,0xFF01FE,126,0x0,1,0x1,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
116,-1,-1,0,,,"Compagnon de métier",,,,,,,,,,,,,,0xFF01FE,,,"Devenir un compagnon dans un métier.",,,,,,,,,,,,,,0xFF01FE,169,0xA,1,0x0,2846,,,"",,,,,,,,,,,,,,0xFF01EE,1,0,
121,-1,-1,0,,,"Compagnon cuisinier",,,,,,,,,,,,,,0xFF01FE,,,"Devenir un compagnon cuisinier.",,,,,,,,,,,,,,0xFF01FE,170,0xA,1,0x0,1467,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
126,-1,-1,0,,,"Compagnon pêcheur",,,,,,,,,,,,,,0xFF01FE,,,"Devenir un compagnon pêcheur.",,,,,,,,,,,,,,0xFF01FE,171,0xA,1,0x0,580,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
131,-1,-1,0,,,"Compagnon secouriste",,,,,,,,,,,,,,0xFF01FE,,,"Devenir un compagnon secouriste.",,,,,,,,,,,,,,0xFF01FE,172,0xA,1,0x0,504,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
154,-1,529,0,,,"Victoire dans le bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,,,"Gagner dans le bassin d'Arathi.",,,,,,,,,,,,,,0xFF01FE,14802,0xA,1,0x0,3381,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
166,-1,489,0,,,"Victoire dans le goulet des Chanteguerres",,,,,,,,,,,,,,0xFF01FE,,,"Gagner dans le goulet des Chanteguerres.",,,,,,,,,,,,,,0xFF01FE,14804,0xA,1,0x0,3387,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
193,-1,-1,0,,,"Plus gros dégâts effectués",,,,,,,,,,,,,,0xFF01FE,,,"Plus gros dégâts effectués",,,,,,,,,,,,,,0xFF01FE,141,0x0,1,0x1,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
208,-1,566,0,,,"Victoire dans l'Œil du cyclone",,,,,,,,,,,,,,0xFF01FE,,,"Gagner dans l'Œil du cyclone.",,,,,,,,,,,,,,0xFF01FE,14803,0xA,1,0x0,3384,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
218,-1,30,0,,,"Victoire dans la vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,,,"Gagner dans la vallée d'Alterac.",,,,,,,,,,,,,,0xFF01FE,14801,0xA,1,0x0,3377,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
238,-1,-1,0,,,"Une victoire honorable",,,,,,,,,,,,,,0xFF01FE,,,"Obtenir une victoire honorable.",,,,,,,,,,,,,,0xFF01FE,95,0xA,1,0x0,3454,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
263,-1,-1,0,,,"Tel est glacé qui croyait geler",,,,,,,,,,,,,,0xFF01FE,,,"Tuer Ahune dans les enclos aux esclaves.",,,,,,,,,,,,,,0xFF01FE,161,0xA,1,0x0,94,,,"",,,,,,,,,,,,,,0xFF01EE,1,0,
273,-1,-1,0,,,"Allez Metzen !",,,,,,,,,,,,,,0xFF01FE,,,"Sauver Metzen le renne",,,,,,,,,,,,,,0xFF01FE,156,0xA,1,0x0,3703,,,"",,,,,,,,,,,,,,0xFF01EE,1,0,
319,-1,-1,0,,,"Duels gagnés",,,,,,,,,,,,,,0xFF01FE,,,"Duels gagnés",,,,,,,,,,,,,,0xFF01FE,154,0x0,1,0x1,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
321,-1,-1,0,,,"Nombre total de morts en donjons et raids",,,,,,,,,,,,,,0xFF01FE,,,"Nombre total de morts en donjons et raids",,,,,,,,,,,,,,0xFF01FE,125,0x0,1,0x9,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
328,-1,-1,0,,,"Quantité totale d'argent obtenu",,,,,,,,,,,,,,0xFF01FE,,,"Quantité totale d'argent obtenu",,,,,,,,,,,,,,0xFF01FE,140,0x0,1,0x9,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
344,-1,-1,0,,,"Bandages utilisés",,,,,,,,,,,,,,0xFF01FE,,,"Bandages utilisés",,,,,,,,,,,,,,0xFF01FE,145,0x0,1,0x9,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
349,-1,-1,0,,,"Trajets aériens empruntés",,,,,,,,,,,,,,0xFF01FE,,,"Trajets aériens empruntés",,,,,,,,,,,,,,0xFF01FE,134,0x0,1,0x1,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
377,-1,-1,0,,,"Plus grand nombre de réputations exaltées",,,,,,,,,,,,,,0xFF01FE,,,"Plus grand nombre de réputations exaltées",,,,,,,,,,,,,,0xFF01FE,147,0x0,1,0x1,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
397,-1,-1,0,,,"Un pied dans l'arène",,,,,,,,,,,,,,0xFF01FE,,,"Gagner un match d'arène du championnat au niveau 80.",,,,,,,,,,,,,,0xFF01FE,165,0xA,1,0x0,3601,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
457,-1,-1,0,,,"« Prem's » au niveau 80 sur le royaume",,,,,,,,,,,,,,0xFF01FE,,,"Première personne du royaume à atteindre le niveau 80.",,,,,,,,,,,,,,0xFF01FE,81,0x0,1,0x100,3275,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
477,-1,574,0,,,"Donjon d'Utgarde",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les boss du donjon d'Utgarde.",,,,,,,,,,,,,,0xFF01FE,14806,0xA,1,0x0,3226,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
489,-1,574,0,,,"Donjon d'Utgarde : mode héroïque",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les boss du donjon d'Utgarde en mode héroïque.",,,,,,,,,,,,,,0xFF01FE,14921,0xA,1,0x0,3225,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
503,-1,-1,0,,,"50 quêtes achevées",,,,,,,,,,,,,,0xFF01FE,,,"Achever 50 quêtes.",,,,,,,,,,,,,,0xFF01FE,96,0xA,1,0x0,3421,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
522,-1,-1,0,,,"Quelqu'un m'aime",,,,,,,,,,,,,,0xFF01FE,,,"Monter une réputation jusqu'à Exalté.",,,,,,,,,,,,,,0xFF01FE,201,0xA,1,0x0,3609,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
588,-1,-1,0,,,"Nombre total de victoires honorables",,,,,,,,,,,,,,0xFF01FE,,,"Nombre total de victoires honorables",,,,,,,,,,,,,,0xFF01FE,136,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
605,-1,-1,0,,,"Une pièce des ancêtres",,,,,,,,,,,,,,0xFF01FE,,,"Recevoir une pièce des ancêtres.",,,,,,,,,,,,,,0xFF01FE,160,0xA,1,0x0,2717,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
625,-1,615,0,,,"Vaincre le vol draconique noir (25 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre Sartharion le Gardien d'Onyx en mode 25 joueurs.",,,,,,,,,,,,,,0xFF01FE,14923,0x19,1,0x0,3255,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
