long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,
92,-1,,,"Général",,,,,,,,,,,,,,0xFF01FE,1,
123,122,,,"Arènes",,,,,,,,,,,,,,0xFF01FE,1,
130,1,,,"Personnage",,,,,,,,,,,,,,0xFF01FE,1,
135,128,,,"Créatures",,,,,,,,,,,,,,0xFF01FE,1,
140,130,,,"Richesse",,,,,,,,,,,,,,0xFF01FE,1,
152,21,,,"Arènes cotées",,,,,,,,,,,,,,0xFF01FE,1,
160,155,,,"Fête lunaire",,,,,,,,,,,,,,0xFF01FE,1,
165,95,,,"Arène",,,,,,,,,,,,,,0xFF01FE,1,
170,169,,,"Cuisine",,,,,,,,,,,,,,0xFF01FE,1,
178,132,,,"Compétences secondaires",,,,,,,,,,,,,,0xFF01FE,1,
14777,97,,,"Royaumes de l'est",,,,,,,,,,,,,,0xFF01FE,1,
14808,168,,,"Classique",,,,,,,,,,,,,,0xFF01FE,1,
14821,14807,,,"Classique",,,,,,,,,,,,,,0xFF01FE,1,
14861,96,,,"Classique",,,,,,,,,,,,,,0xFF01FE,1,
14864,201,,,"Classique",,,,,,,,,,,,,,0xFF01FE,1,
96,-1,,,"Quêtes",,,,,,,,,,,,,,0xFF01FE,2,
124,122,,,"Champs de bataille",,,,,,,,,,,,,,0xFF01FE,2,
136,128,,,"Victoires honorables",,,,,,,,,,,,,,0xFF01FE,2,
141,1,,,"Combat",,,,,,,,,,,,,,0xFF01FE,2,
145,130,,,"Consommables",,,,,,,,,,,,,,0xFF01FE,2,
153,21,,,"Champs de bataille",,,,,,,,,,,,,,0xFF01FE,2,
171,169,,,"Pêche",,,,,,,,,,,,,,0xFF01FE,2,
173,132,,,"Métiers",,,,,,,,,,,,,,0xFF01FE,2,
187,155,,,"De l'amour dans l'air",,,,,,,,,,,,,,0xFF01FE,2,
14778,97,,,"Kalimdor",,,,,,,,,,,,,,0xFF01FE,2,
14801,95,,,"Vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,2,
14805,168,,,"The Burning Crusade",,,,,,,,,,,,,,0xFF01FE,2,
14822,14807,,,"The Burning Crusade",,,,,,,,,,,,,,0xFF01FE,2,
14862,96,,,"The Burning Crusade",,,,,,,,,,,,,,0xFF01FE,2,
14865,201,,,"The Burning Crusade",,,,,,,,,,,,,,0xFF01FE,2,
97,-1,,,"Exploration",,,,,,,,,,,,,,0xFF01FE,3,
125,122,,,"Donjons",,,,,,,,,,,,,,0xFF01FE,3,
128,1,,,"Victimes",,,,,,,,,,,,,,0xFF01FE,3,
137,128,,,"Coups fatals",,,,,,,,,,,,,,0xFF01FE,3,
147,130,,,"Réputation",,,,,,,,,,,,,,0xFF01FE,3,
154,21,,,"En extérieur",,,,,,,,,,,,,,0xFF01FE,3,
159,155,,,"Jardin des nobles",,,,,,,,,,,,,,0xFF01FE,3,
172,169,,,"Secourisme",,,,,,,,,,,,,,0xFF01FE,3,
14779,97,,,"Outreterre",,,,,,,,,,,,,,0xFF01FE,3,
14802,95,,,"Bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,3,
14806,168,,,"Donjons de Wrath of the Lich King",,,,,,,,,,,,,,0xFF01FE,3,
14823,14807,,,"Wrath of the Lich King",,,,,,,,,,,,,,0xFF01FE,3,
14863,96,,,"Wrath of the Lich King",,,,,,,,,,,,,,0xFF01FE,3,
14866,201,,,"Wrath of the Lich King",,,,,,,,,,,,,,0xFF01FE,3,
95,-1,,,"Joueur contre Joueur",,,,,,,,,,,,,,0xFF01FE,4,
122,1,,,"Morts",,,,,,,,,,,,,,0xFF01FE,4,
126,122,,,"En extérieur",,,,,,,,,,,,,,0xFF01FE,4,
163,155,,,"Semaine des enfants",,,,,,,,,,,,,,0xFF01FE,4,
191,130,,,"Équipement",,,,,,,,,,,,,,0xFF01FE,4,
14780,97,,,"Norfendre",,,,,,,,,,,,,,0xFF01FE,4,
14803,95,,,"Œil du cyclone",,,,,,,,,,,,,,0xFF01FE,4,
14921,168,,,"Donj. héro. de Lich King",,,,,,,,,,,,,,0xFF01FE,4,
14963,14807,,,"Les secrets d'Ulduar",,,,,,,,,,,,,,0xFF01FE,4,
127,122,,,"Résurrection",,,,,,,,,,,,,,0xFF01FE,5,
133,1,,,"Quêtes",,,,,,,,,,,,,,0xFF01FE,5,
161,155,,,"Solstice d'été",,,,,,,,,,,,,,0xFF01FE,5,
168,-1,,,"Donjons & raids",,,,,,,,,,,,,,0xFF01FE,5,
14804,95,,,"Goulet des Chanteguerres",,,,,,,,,,,,,,0xFF01FE,5,
14922,168,,,"Raids à 10 de Lich King",,,,,,,,,,,,,,0xFF01FE,5,
15021,14807,,,"L'appel de la Croisade",,,,,,,,,,,,,,0xFF01FE,5,
162,155,,,"Fête des Brasseurs",,,,,,,,,,,,,,0xFF01FE,6,
169,-1,,,"Métiers",,,,,,,,,,,,,,0xFF01FE,6,
14807,1,,,"Donjons & raids",,,,,,,,,,,,,,0xFF01FE,6,
14881,95,,,"Rivage des Anciens",,,,,,,,,,,,,,0xFF01FE,6,
14923,168,,,"Raids à 25 de Lich King",,,,,,,,,,,,,,0xFF01FE,6,
15062,14807,,,"La chute du roi-liche",,,,,,,,,,,,,,0xFF01FE,6,
132,1,,,"Compétences",,,,,,,,,,,,,,0xFF01FE,7,
158,155,,,"Sanssaint",,,,,,,,,,,,,,0xFF01FE,7,
201,-1,,,"Réputation",,,,,,,,,,,,,,0xFF01FE,7,
14901,95,,,"Joug-d'hiver",,,,,,,,,,,,,,0xFF01FE,7,
14961,168,,,"Secrets d'Ulduar, raid à 10",,,,,,,,,,,,,,0xFF01FE,7,
134,1,,,"Voyages",,,,,,,,,,,,,,0xFF01FE,8,
155,-1,,,"Évènements mondiaux",,,,,,,,,,,,,,0xFF01FE,8,
14962,168,,,"Secrets d'Ulduar, raid à 25",,,,,,,,,,,,,,0xFF01FE,8,
14981,155,,,"Bienfaits du pèlerin",,,,,,,,,,,,,,0xFF01FE,8,
15003,95,,,"L'île des Conquérants",,,,,,,,,,,,,,0xFF01FE,8,
81,-1,,,"Tours de force",,,,,,,,,,,,,,0xFF01FE,9,
131,1,,,"Social",,,,,,,,,,,,,,0xFF01FE,9,
156,155,,,"Voile d'hiver",,,,,,,,,,,,,,0xFF01FE,9,
15001,168,,,"L'appel de la Croisade, raid à 10",,,,,,,,,,,,,,0xFF01FE,9,
1,-1,,,"Statistiques",,,,,,,,,,,,,,0xFF01FE,10,
21,1,,,"Joueur contre Joueur",,,,,,,,,,,,,,0xFF01FE,10,
14941,155,,,"Tournoi d'Argent",,,,,,,,,,,,,,0xFF01FE,10,
15002,168,,,"L'appel de la Croisade, raid à 25",,,,,,,,,,,,,,0xFF01FE,10,
15041,168,,,"La chute du roi-liche, raid à 10",,,,,,,,,,,,,,0xFF01FE,11,
15042,168,,,"La chute du roi-liche, raid à 25",,,,,,,,,,,,,,0xFF01FE,12,
