long,long,long,long,long,long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,long,long,long,
34,6,5,0,10,0,0,0,0,,,"Atteindre le niveau 10",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
35,7,5,0,20,0,0,0,0,,,"Atteindre le niveau 20",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
36,8,5,0,30,0,0,0,0,,,"Atteindre le niveau 30",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
37,9,5,0,40,0,0,0,0,,,"Atteindre le niveau 40",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
38,10,5,0,50,0,0,0,0,,,"Atteindre le niveau 50",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
39,11,5,0,60,0,0,0,0,,,"Atteindre le niveau 60",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
40,12,5,0,70,0,0,0,0,,,"Atteindre le niveau 70",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
41,13,5,0,80,0,0,0,0,,,"Atteindre le niveau 80",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
72,31,10,0,5,2,0,2,0,,,"Achever une quête journalière chaque jour pendant cinq jours consécutifs",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
73,32,9,0,2000,0,0,0,0,,,"Achever 2 000 quêtes",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
74,33,11,3537,130,0,0,0,0,,,"Achever 130 quêtes dans la toundra Boréenne",,,,,,,,,,,,,,0xFF01FE,3,0,0,0,1,
75,34,11,495,130,0,0,0,0,,,"Achever 130 quêtes dans le fjord Hurlant",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
76,35,11,65,115,0,0,0,0,,,"Achever 115 quêtes dans la Désolation des dragons",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
77,36,11,66,100,0,0,0,0,,,"Achever 100 quêtes à Zul'Drak",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
78,37,11,394,85,0,0,0,0,,,"Achever 85 quêtes dans les Grisonnes",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
79,38,11,67,100,0,0,0,0,,,"Achever 100 quêtes aux pics Foudroyés",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
80,39,11,3711,75,0,0,0,0,,,"Achever 75 quêtes dans le bassin de Sholazar",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
81,40,11,210,140,0,0,0,0,,,"Achever 140 quêtes sur le glacier de la Couronne de glace",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
82,41,8,33,1,0,0,0,0,,,"Ma tendre toundra",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
94,46,8,42,1,0,0,0,0,,,"Royaumes de l'est",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
100,49,1,30,0,0,0,0,0,,,"Victoires dans la vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
102,51,1,529,0,0,0,0,0,,,"Victoires dans le bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
104,53,15,30,0,0,0,0,0,,,"Batailles pour la vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
105,54,15,566,0,0,0,0,0,,,"Batailles pour l'Œil du cyclone",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
106,55,15,529,0,0,0,0,0,,,"Batailles pour le bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
107,56,16,489,0,0,0,0,0,,,"Morts dans le goulet des Chanteguerres",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
108,57,16,30,0,0,0,0,0,,,"Morts dans la vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
110,59,16,529,0,0,0,0,0,,,"Morts dans le bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
