long,long,long,long,flags,long,long,long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,flags,long,None,None,long,float,float,None,
1,0,0,119,0x41,0,11,42,8,0,0,,,"Dun Morogh",,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.300000011921,,
2,0,40,120,0x40000040,0,11,0,9,0,0,,,"Longrivage",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
3,0,0,121,0x40,0,11,25,7,0,0,,,"Terres ingrates",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.10000000149,,
4,0,0,122,0x40,0,11,210,7,0,0,,,"Terres foudroyées",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
7,0,33,123,0x40000040,0,11,0,3,0,0,,,"Crique des Flots noirs",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
8,0,0,124,0x40,0,11,33,223,0,0,,,"Marais des Chagrins",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
9,0,12,125,0x40300000,0,11,35,1,0,0,,,"Vallée de Comté-du-nord",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
10,0,0,617,0x40,0,11,40,2,0,0,,,"Bois de la Pénombre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
11,0,0,618,0x40,0,11,44,227,0,0,,,"Les Paluns",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
12,0,0,126,0x40,0,11,35,1,0,0,,,"Forêt d'Elwynn",,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
13,0,10,555,0x40000040,0,11,48,11,0,0,,,"L'Arbre-monde",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
14,1,0,127,0x40,0,11,25,9,0,0,,,"Durotar",,,,,,,,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.40000000596,,
15,1,0,128,0x40,0,11,33,227,0,0,,,"Marécage d'Âprefange",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.40000000596,,
