long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,float,long,bool,long,
1,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,0,
2,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,1,
3,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,2,
4,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,3,
5,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,4,
6,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,5,
7,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,6,
8,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,7,
9,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,8,
10,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,9,
11,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,10,
12,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,11,
13,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,12,
14,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,13,
15,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,14,
16,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,15,
17,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,16,
18,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,17,
19,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,18,
20,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,19,
21,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,20,
22,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,21,
23,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,22,
24,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,23,
25,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,24,
26,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,25,
27,0,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0x39FF97FC,1.0,1,0,26,
28,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,0,
29,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,1,
30,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,2,
31,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,3,
32,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,4,
33,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,5,
34,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,6,
35,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,7,
36,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,8,
37,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,9,
38,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,10,
39,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,11,
40,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,12,
41,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,13,
42,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,14,
43,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,15,
44,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,16,
45,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,17,
46,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,18,
47,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,19,
48,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,20,
49,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,21,
50,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,22,
51,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,23,
52,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,24,
53,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,25,
54,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,26,
55,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,27,
56,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,28,
57,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,29,
58,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,30,
59,2,,,,,,,,,,,,,,,,,0xFF01FE,,,,,,,,,,,,,,,,,0xFF01CC,1.0,1,0,31,
