long,long,long,long,long,long,long,long,long,long,bool,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,long,flags,
1,30,-1,-1,-1,-1,-1,-1,-1,3,1,,,"Vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,5,1941,51,0x50,
2,489,-1,-1,-1,-1,-1,-1,-1,3,1,,,"Goulet des Chanteguerres",,,,,,,,,,,,,,0xFF01FE,10,1942,10,0x50,
3,529,-1,-1,-1,-1,-1,-1,-1,3,1,,,"Bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,15,1943,20,0x50,
4,559,-1,-1,-1,-1,-1,-1,-1,4,1,,,"Arène de Nagrand",,,,,,,,,,,,,,0xFF01FE,5,0,10,0x50,
5,562,-1,-1,-1,-1,-1,-1,-1,4,1,,,"Arène des Tranchantes",,,,,,,,,,,,,,0xFF01FE,5,0,10,0x50,
6,559,562,572,617,618,853,854,-1,4,1,,,"Toutes les arènes",,,,,,,,,,,,,,0xFF01FE,5,0,10,0x50,
7,566,-1,-1,-1,-1,-1,-1,-1,3,1,,,"L'Œil du cyclone",,,,,,,,,,,,,,0xFF01FE,15,2851,61,0x50,
8,572,-1,-1,-1,-1,-1,-1,-1,4,1,,,"Ruines de Lordaeron",,,,,,,,,,,,,,0xFF01FE,5,0,10,0x50,
9,607,-1,-1,-1,-1,-1,-1,-1,3,1,,,"Rivage des Anciens",,,,,,,,,,,,,,0xFF01FE,15,3695,71,0x50,
10,617,-1,-1,-1,-1,-1,-1,-1,4,1,,,"Egouts de Dalaran",,,,,,,,,,,,,,0xFF01FE,5,0,10,0x50,
11,618,-1,-1,-1,-1,-1,-1,-1,4,1,,,"L'arène des valeureux",,,,,,,,,,,,,,0xFF01FE,5,0,10,0x50,
30,628,-1,-1,-1,-1,-1,-1,-1,3,1,,,"Île des Conquérants",,,,,,,,,,,,,,0xFF01FE,5,4273,71,0x50,
32,30,489,529,566,607,628,726,761,3,1,,,"Champ de bataille aléatoire",,,,,,,,,,,,,,0xFF01FE,5,0,0,0x0,
120,761,-1,-1,-1,-1,-1,-1,-1,3,1,,,"La bataille de Gilnéas",,,,,,,,,,,,,,0xFF01FE,10,5360,10,0x50,
121,774,-1,-1,-1,-1,-1,-1,-1,3,1,,,"Temple de Kotmogu",,,,,,,,,,,,,,0xFF01FE,5,6306,20,0x50,
108,726,-1,-1,-1,-1,-1,-1,-1,3,1,,,"Les Pics Jumeaux",,,,,,,,,,,,,,0xFF01FE,10,5361,10,0x50,
109,853,-1,-1,-1,-1,-1,-1,-1,4,1,,,"Arène Tol'Viron",,,,,,,,,,,,,,0xFF01FE,5,0,10,0x50,
110,854,-1,-1,-1,-1,-1,-1,-1,4,1,,,"Le Croc du Tigre",,,,,,,,,,,,,,0xFF01FE,5,0,10,0x50,
