long,long,flags,bool,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,0,0x0,0,,,"Développement",,,,,,,,,,,,,,0xFF01FE,
2,0,0x1,0,,,"États-Unis",,,,,,,,,,,,,,0xFF01FE,
3,0,0x1,0,,,"Océanique",,,,,,,,,,,,,,0xFF01FE,
4,0,0x1,0,,,"Amérique latine",,,,,,,,,,,,,,0xFF01FE,
5,0,0x1,1,,,"Tournoi",,,,,,,,,,,,,,0xFF01FE,
6,0,0xA,0,,,"Corée",,,,,,,,,,,,,,0xFF01FE,
7,0,0xA,1,,,"Tournoi",,,,,,,,,,,,,,0xFF01FE,
8,205,0x1,0,,,"English",,,,,,,,,,,,,,0xFF01FE,
9,205,0x1,0,,,"Deutsch",,,,,,,,,,,,,,0xFF01FE,
10,205,0x1,0,,,"Français",,,,,,,,,,,,,,0xFF01FE,
11,205,0x1,0,,,"Español",,,,,,,,,,,,,,0xFF01FE,
12,256,0x4,0,,,"Russe",,,,,,,,,,,,,,0xFF01FE,
13,205,0x1,1,,,"Tournoi",,,,,,,,,,,,,,0xFF01FE,
14,0,0x11,0,,,"Taïwan",,,,,,,,,,,,,,0xFF01FE,
15,0,0x11,1,,,"Tournoi",,,,,,,,,,,,,,0xFF01FE,
16,0,0x11,0,,,"Chine",,,,,,,,,,,,,,0xFF01FE,
17,0,0x11,0,,,"CN1",,,,,,,,,,,,,,0xFF01FE,
18,0,0x11,0,,,"CN2",,,,,,,,,,,,,,0xFF01FE,
19,0,0x11,0,,,"CN3",,,,,,,,,,,,,,0xFF01FE,
20,0,0x11,0,,,"CN4",,,,,,,,,,,,,,0xFF01FE,
21,0,0x11,0,,,"CN5",,,,,,,,,,,,,,0xFF01FE,
22,0,0x11,0,,,"CN6",,,,,,,,,,,,,,0xFF01FE,
23,0,0x11,0,,,"CN7",,,,,,,,,,,,,,0xFF01FE,
24,0,0x11,0,,,"CN8",,,,,,,,,,,,,,0xFF01FE,
25,0,0x11,1,,,"Tournoi",,,,,,,,,,,,,,0xFF01FE,
26,0,0x0,0,,,"Serveur de test",,,,,,,,,,,,,,0xFF01FE,
27,0,0x0,1,,,"Tournoi",,,,,,,,,,,,,,0xFF01FE,
28,0,0x0,0,,,"Serveur QA",,,,,,,,,,,,,,0xFF01FE,
29,0,0x11,0,,,"CN9",,,,,,,,,,,,,,0xFF01FE,
30,0,0x0,0,,,"Serveur de test 2",,,,,,,,,,,,,,0xFF01FE,
31,0,0x11,0,,,"CN10",,,,,,,,,,,,,,0xFF01FE,
32,0,0x11,0,,,"CTC",,,,,,,,,,,,,,0xFF01FE,
33,0,0x11,0,,,"CNC",,,,,,,,,,,,,,0xFF01FE,
34,0,0x11,0,,,"CN1/4",,,,,,,,,,,,,,0xFF01FE,
35,0,0x11,0,,,"CN2/6/9",,,,,,,,,,,,,,0xFF01FE,
36,0,0x11,0,,,"CN3/7",,,,,,,,,,,,,,0xFF01FE,
37,0,0x11,0,,,"CN5/8",,,,,,,,,,,,,,0xFF01FE,
