long,long,bool,long,str,str,str,flags,long,long,
1,1,0,0,"Character\Human\Male\HumanMaleSkin00_00_HD.blp","","",0x11,0,0,
2,1,0,0,"Character\Human\Male\HumanMaleSkin00_01_HD.blp","","",0x11,0,1,
3,1,0,0,"Character\Human\Male\HumanMaleSkin00_02_HD.blp","","",0x11,0,2,
4,1,0,0,"Character\Human\Male\HumanMaleSkin00_03_HD.blp","","",0x11,0,3,
5,1,0,0,"Character\Human\Male\HumanMaleSkin00_04_HD.blp","","",0x11,0,4,
6,1,0,0,"Character\Human\Male\HumanMaleSkin00_05_HD.blp","","",0x11,0,5,
7,1,0,0,"Character\Human\Male\HumanMaleSkin00_06_HD.blp","","",0x11,0,6,
8,1,0,0,"Character\Human\Male\HumanMaleSkin00_07_HD.blp","","",0x11,0,7,
9,1,0,0,"Character\Human\Male\HumanMaleSkin00_08_HD.blp","","",0x11,0,8,
10,1,0,0,"Character\Human\Male\HumanMaleSkin00_09_HD.blp","","",0x11,0,9,
4281,1,0,0,"Character\Human\Male\HumanMaleSkin00_100_HD.blp","","",0x8,0,10,
4901,1,0,0,"Character\Human\Male\HumanMaleSkin00_101_HD.blp","","",0x8,0,11,
10173,1,0,0,"Character\Human\Male\HumanMaleSkin00_10_HD.blp","","",0x5,0,12,
10175,1,0,0,"Character\Human\Male\HumanMaleSkin00_11_HD.blp","","",0x5,0,13,
10177,1,0,0,"Character\Human\Male\HumanMaleSkin00_12_HD.blp","","",0x5,0,14,
5183,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_00_HD.blp","",0x1,0,0,
5184,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_01_HD.blp","",0x1,0,1,
5185,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_02_HD.blp","",0x1,0,2,
5186,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_03_HD.blp","",0x1,0,3,
5187,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_04_HD.blp","",0x1,0,4,
5188,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_05_HD.blp","",0x1,0,5,
5189,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_06_HD.blp","",0x1,0,6,
5190,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_07_HD.blp","",0x1,0,7,
5191,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_08_HD.blp","",0x1,0,8,
5192,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_09_HD.blp","",0x1,0,9,
10188,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_10_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_10_HD.blp","",0x5,0,12,
10189,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_11_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_11_HD.blp","",0x5,0,13,
10190,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_12_HD.blp","Character\Human\Male\HumanMaleFaceUpper00_12_HD.blp","",0x5,0,14,
5193,1,0,1,"Character\Human\Male\HumanMaleFaceLower01_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper01_00_HD.blp","",0x1,1,0,
5194,1,0,1,"Character\Human\Male\HumanMaleFaceLower01_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper01_01_HD.blp","",0x1,1,1,
5195,1,0,1,"Character\Human\Male\HumanMaleFaceLower01_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper01_02_HD.blp","",0x1,1,2,
5196,1,0,1,"Character\Human\Male\HumanMaleFaceLower01_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper01_03_HD.blp","",0x1,1,3,
5197,1,0,1,"Character\Human\Male\HumanMaleFaceLower01_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper01_04_HD.blp","",0x1,1,4,
5198,1,0,1,"Character\Human\Male\HumanMaleFaceLower01_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper01_05_HD.blp","",0x1,1,5,
5199,1,0,1,"Character\Human\Male\HumanMaleFaceLower01_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper01_06_HD.blp","",0x1,1,6,
5200,1,0,1,"Character\Human\Male\HumanMaleFaceLower01_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper01_07_HD.blp","",0x1,1,7,
5201,1,0,1,"Character\Human\Male\HumanMaleFaceLower01_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper01_08_HD.blp","",0x1,1,8,
5202,1,0,1,"Character\Human\Male\HumanMaleFaceLower01_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper01_09_HD.blp","",0x1,1,9,
5203,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_00_HD.blp","",0x1,2,0,
5204,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_01_HD.blp","",0x1,2,1,
5205,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_02_HD.blp","",0x1,2,2,
5206,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_03_HD.blp","",0x1,2,3,
5207,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_04_HD.blp","",0x1,2,4,
5208,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_05_HD.blp","",0x1,2,5,
5209,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_06_HD.blp","",0x1,2,6,
5210,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_07_HD.blp","",0x1,2,7,
5211,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_08_HD.blp","",0x1,2,8,
5212,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_09_HD.blp","",0x1,2,9,
10191,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_10_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_10_HD.blp","",0x5,2,12,
10192,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_11_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_11_HD.blp","",0x5,2,13,
10193,1,0,1,"Character\Human\Male\HumanMaleFaceLower02_12_HD.blp","Character\Human\Male\HumanMaleFaceUpper02_12_HD.blp","",0x5,2,14,
5213,1,0,1,"Character\Human\Male\HumanMaleFaceLower03_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper03_00_HD.blp","",0x1,3,0,
5214,1,0,1,"Character\Human\Male\HumanMaleFaceLower03_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper03_01_HD.blp","",0x1,3,1,
5215,1,0,1,"Character\Human\Male\HumanMaleFaceLower03_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper03_02_HD.blp","",0x1,3,2,
5216,1,0,1,"Character\Human\Male\HumanMaleFaceLower03_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper03_03_HD.blp","",0x1,3,3,
5217,1,0,1,"Character\Human\Male\HumanMaleFaceLower03_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper03_04_HD.blp","",0x1,3,4,
5218,1,0,1,"Character\Human\Male\HumanMaleFaceLower03_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper03_05_HD.blp","",0x1,3,5,
5219,1,0,1,"Character\Human\Male\HumanMaleFaceLower03_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper03_06_HD.blp","",0x1,3,6,
5220,1,0,1,"Character\Human\Male\HumanMaleFaceLower03_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper03_07_HD.blp","",0x1,3,7,
5221,1,0,1,"Character\Human\Male\HumanMaleFaceLower03_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper03_08_HD.blp","",0x1,3,8,
5222,1,0,1,"Character\Human\Male\HumanMaleFaceLower03_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper03_09_HD.blp","",0x1,3,9,
5223,1,0,1,"Character\Human\Male\HumanMaleFaceLower04_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper04_00_HD.blp","",0x1,4,0,
5224,1,0,1,"Character\Human\Male\HumanMaleFaceLower04_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper04_01_HD.blp","",0x1,4,1,
5225,1,0,1,"Character\Human\Male\HumanMaleFaceLower04_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper04_02_HD.blp","",0x1,4,2,
5226,1,0,1,"Character\Human\Male\HumanMaleFaceLower04_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper04_03_HD.blp","",0x1,4,3,
5227,1,0,1,"Character\Human\Male\HumanMaleFaceLower04_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper04_04_HD.blp","",0x1,4,4,
5228,1,0,1,"Character\Human\Male\HumanMaleFaceLower04_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper04_05_HD.blp","",0x1,4,5,
5229,1,0,1,"Character\Human\Male\HumanMaleFaceLower04_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper04_06_HD.blp","",0x1,4,6,
5230,1,0,1,"Character\Human\Male\HumanMaleFaceLower04_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper04_07_HD.blp","",0x1,4,7,
5231,1,0,1,"Character\Human\Male\HumanMaleFaceLower04_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper04_08_HD.blp","",0x1,4,8,
5232,1,0,1,"Character\Human\Male\HumanMaleFaceLower04_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper04_09_HD.blp","",0x1,4,9,
5233,1,0,1,"Character\Human\Male\HumanMaleFaceLower05_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper05_00_HD.blp","",0x1,5,0,
5234,1,0,1,"Character\Human\Male\HumanMaleFaceLower05_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper05_01_HD.blp","",0x1,5,1,
