long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,
1,5879,,,"Soldat %s",,,,,,,,,,,,,,0xFF01FE,,,"Soldat %s",,,,,,,,,,,,,,0xFF01FE,1,
2,5880,,,"Caporal %s",,,,,,,,,,,,,,0xFF01FE,,,"Caporal %s",,,,,,,,,,,,,,0xFF01FE,2,
3,5881,,,"Sergent %s",,,,,,,,,,,,,,0xFF01FE,,,"Sergent %s",,,,,,,,,,,,,,0xFF01FE,3,
4,5882,,,"Sergent-chef %s",,,,,,,,,,,,,,0xFF01FE,,,"Sergent-chef %s",,,,,,,,,,,,,,0xFF01FE,4,
5,5883,,,"Sergent-major %s",,,,,,,,,,,,,,0xFF01FE,,,"Sergent-major %s",,,,,,,,,,,,,,0xFF01FE,5,
6,5884,,,"Chevalier %s",,,,,,,,,,,,,,0xFF01FE,,,"Chevalier %s",,,,,,,,,,,,,,0xFF01FE,6,
7,5885,,,"Chevalier-lieutenant %s",,,,,,,,,,,,,,0xFF01FE,,,"Chevalier-lieutenant %s",,,,,,,,,,,,,,0xFF01FE,7,
8,5886,,,"Chevalier-capitaine %s",,,,,,,,,,,,,,0xFF01FE,,,"Chevalier-capitaine %s",,,,,,,,,,,,,,0xFF01FE,8,
9,5887,,,"Chevalier-champion %s",,,,,,,,,,,,,,0xFF01FE,,,"Chevalier-champion %s",,,,,,,,,,,,,,0xFF01FE,9,
10,5888,,,"Lieutenant-commandant %s",,,,,,,,,,,,,,0xFF01FE,,,"Lieutenant-commandant %s",,,,,,,,,,,,,,0xFF01FE,10,
11,5889,,,"Commandant %s",,,,,,,,,,,,,,0xFF01FE,,,"Commandant %s",,,,,,,,,,,,,,0xFF01FE,11,
12,5890,,,"Maréchal %s",,,,,,,,,,,,,,0xFF01FE,,,"Maréchal %s",,,,,,,,,,,,,,0xFF01FE,12,
13,5891,,,"Grand maréchal %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maréchal %s",,,,,,,,,,,,,,0xFF01FE,13,
14,5892,,,"Connétable %s",,,,,,,,,,,,,,0xFF01FE,,,"Connétable %s",,,,,,,,,,,,,,0xFF01FE,14,
