long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,long,long,flags,flags,
1,0,1,1,,,"Guerrier",,,,,,,,,,,,,,0xFF01FF,,,"Guerrière",,,,,,,,,,,,,,0xFF01EC,,,"Guerrier",,,,,,,,,,,,,,0xFF01EC,"WARRIOR",4,50,0x0,0x0,
2,0,0,1,,,"Paladin",,,,,,,,,,,,,,0xFF01FF,,,"",,,,,,,,,,,,,,0xFF01EC,,,"Paladin",,,,,,,,,,,,,,0xFF01EC,"PALADIN",10,58,0x0,0x0,
3,1,0,1,,,"Chasseur",,,,,,,,,,,,,,0xFF01FF,,,"Chasseresse",,,,,,,,,,,,,,0xFF01EC,,,"Chasseur",,,,,,,,,,,,,,0xFF01EC,"HUNTER",9,22,0x0,0x0,
4,1,3,1,,,"Voleur",,,,,,,,,,,,,,0xFF01FF,,,"Voleuse",,,,,,,,,,,,,,0xFF01EC,,,"Voleur",,,,,,,,,,,,,,0xFF01EC,"ROGUE",8,2,0x0,0x0,
5,0,0,1,,,"Prêtre",,,,,,,,,,,,,,0xFF01FF,,,"Prêtresse",,,,,,,,,,,,,,0xFF01EC,,,"Prêtre",,,,,,,,,,,,,,0xFF01EC,"PRIEST",6,2,0x0,0x0,
6,9,6,1,,,"Chevalier de la mort",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,,,"Chevalier de la mort",,,,,,,,,,,,,,0xFF01EC,"DEATHKNIGHT",15,122,0xA5,0x2,
7,1,0,1,,,"Chaman",,,,,,,,,,,,,,0xFF01FF,,,"Chamane",,,,,,,,,,,,,,0xFF01EC,,,"Chaman",,,,,,,,,,,,,,0xFF01EC,"SHAMAN",11,26,0x0,0x0,
8,0,0,1,,,"Mage",,,,,,,,,,,,,,0xFF01FF,,,"Mage",,,,,,,,,,,,,,0xFF01EC,,,"Mage",,,,,,,,,,,,,,0xFF01EC,"MAGE",3,2,0x0,0x0,
9,0,0,189,,,"Démoniste",,,,,,,,,,,,,,0xFF01FF,,,"Démoniste",,,,,,,,,,,,,,0xFF01EC,,,"Démoniste",,,,,,,,,,,,,,0xFF01EC,"WARLOCK",5,6,0x0,0x0,
10,3,3,1,,,"Moine",,,,,,,,,,,,,,0xFF01FF,,,"Moine",,,,,,,,,,,,,,0xFF01EC,,,"Moine",,,,,,,,,,,,,,0xFF01EC,"MONK",53,514,0x103,0x0,
11,0,0,1,,,"Druide",,,,,,,,,,,,,,0xFF01FF,,,"Druidesse",,,,,,,,,,,,,,0xFF01EC,,,"Druide",,,,,,,,,,,,,,0xFF01EC,"DRUID",7,10,0x0,0x0,
