long,long,long,flags,long,long,str,long,long,long,flags,str,long,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,str,str,bool,
1,12,1,0x102C,49,50,"Hu",7,7,15007,0x448,"Human",81,0x0,,,"Humain",,,,,,,,,,,,,,0xFF01FF,,,"Humaine",,,,,,,,,,,,,,0xFF01EC,,,"Humain",,,,,,,,,,,,,,0xFF01EC,"NORMAL","PIERCINGS","NORMAL",0,
2,12,2,0x102D,51,52,"Or",1,7,15007,0x448,"Orc",21,0x1,,,"Orc",,,,,,,,,,,,,,0xFF01FF,,,"Orque",,,,,,,,,,,,,,0xFF01EC,,,"Orc",,,,,,,,,,,,,,0xFF01EC,"NORMAL","PIERCINGS","NORMAL",0,
3,12,3,0x1033,53,54,"Dw",7,7,15007,0x442,"Dwarf",41,0x0,,,"Nain",,,,,,,,,,,,,,0xFF01FF,,,"Naine",,,,,,,,,,,,,,0xFF01EC,,,"Nain",,,,,,,,,,,,,,0xFF01EC,"NORMAL","PIERCINGS","NORMAL",0,
4,4,4,0x1031,55,56,"Ni",7,7,15007,0x448,"NightElf",61,0x0,,,"Elfe de la nuit",,,,,,,,,,,,,,0xFF01FF,,,"Elfe de la nuit",,,,,,,,,,,,,,0xFF01EC,,,"Elfe de la nuit",,,,,,,,,,,,,,0xFF01EC,"NORMAL","MARKINGS","NORMAL",0,
5,12,5,0x102E,57,58,"Sc",1,7,15007,0x448,"Scourge",2,0x1,,,"Mort-vivant",,,,,,,,,,,,,,0xFF01FF,,,"Morte-vivante",,,,,,,,,,,,,,0xFF01EC,,,"Mort-vivant",,,,,,,,,,,,,,0xFF01EC,"FEATURES","FEATURES","NORMAL",0,
6,14,6,0x102F,59,60,"Ta",1,7,15007,0x448,"Tauren",141,0x1,,,"Tauren",,,,,,,,,,,,,,0xFF01FF,,,"Taurène",,,,,,,,,,,,,,0xFF01EC,,,"Tauren",,,,,,,,,,,,,,0xFF01EC,"NORMAL","HAIR","HORNS",0,
7,12,115,0x1032,1563,1564,"Gn",7,7,15007,0x448,"Gnome",101,0x0,,,"Gnome",,,,,,,,,,,,,,0xFF01FE,,,"Gnome",,,,,,,,,,,,,,0xFF01EC,,,"Gnome",,,,,,,,,,,,,,0xFF01EC,"NORMAL","EARRINGS","NORMAL",0,
8,14,116,0x1030,1478,1479,"Tr",1,7,15007,0x448,"Troll",121,0x1,,,"Troll",,,,,,,,,,,,,,0xFF01FE,,,"Trollesse",,,,,,,,,,,,,,0xFF01EC,,,"Troll",,,,,,,,,,,,,,0xFF01EC,"TUSKS","TUSKS","NORMAL",0,
9,1,1,0x0,6894,6895,"Go",7,7,15007,0x448,"Goblin",0,0x2,,,"Gobelin",,,,,,,,,,,,,,0xFF01FE,,,"Gobeline",,,,,,,,,,,,,,0xFF01EC,,,"Gobelin",,,,,,,,,,,,,,0xFF01EC,"NORMAL","NONE","NORMAL",0,
10,12,1610,0x102E,15476,15475,"Be",1,7,15007,0x448,"BloodElf",162,0x1,,,"Elfe de sang",,,,,,,,,,,,,,0xFF01FE,,,"Elfe de sang",,,,,,,,,,,,,,0xFF01EC,,,"Elfe de sang",,,,,,,,,,,,,,0xFF01EC,"NORMAL","EARRINGS","NORMAL",1,
11,14,1629,0x102C,16125,16126,"Dr",7,7,15007,0x448,"Draenei",163,0x0,,,"Draeneï",,,,,,,,,,,,,,0xFF01FE,,,"Draeneï",,,,,,,,,,,,,,0xFF01EC,,,"Draeneï",,,,,,,,,,,,,,0xFF01EC,"NORMAL","HORNS","NORMAL",1,
12,5,1,0x0,16981,16980,"Fo",7,7,15007,0x448,"FelOrc",0,0x2,,,"Gangr'orc",,,,,,,,,,,,,,0xFF01FE,,,"Gangr'orque",,,,,,,,,,,,,,0xFF01EC,,,"Gangr'orc",,,,,,,,,,,,,,0xFF01EC,"NORMAL","NORMAL","NORMAL",0,
13,1,1,0x0,17402,17403,"Na",7,7,15007,0x448,"Naga_",0,0x2,,,"Naga",,,,,,,,,,,,,,0xFF01FE,,,"Naga",,,,,,,,,,,,,,0xFF01EC,,,"Naga",,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
14,5,1,0x0,17576,17577,"Br",7,7,15007,0x448,"Broken",0,0x2,,,"Roué",,,,,,,,,,,,,,0xFF01FE,,,"Rouée",,,,,,,,,,,,,,0xFF01EC,,,"Roué",,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
15,1,1,0x0,17578,17579,"Sk",7,7,15007,0x448,"Skeleton",0,0x2,,,"Squelette",,,,,,,,,,,,,,0xFF01FE,,,"Squelette",,,,,,,,,,,,,,0xFF01EC,,,"Squelette",,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
16,9,1,0x0,21685,21686,"Vr",7,7,15007,0x448,"Vrykul",0,0x2,,,"Vrykul",,,,,,,,,,,,,,0xFF01FE,,,"Vrykule",,,,,,,,,,,,,,0xFF01EC,,,"Vrykul",,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
17,1,1,0x0,21780,21781,"Tu",7,7,15007,0x448,"Tuskarr",0,0x2,,,"Rohart",,,,,,,,,,,,,,0xFF01FE,,,"Rohart",,,,,,,,,,,,,,0xFF01EC,,,"Rohart",,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
18,15,1,0x0,21963,21964,"Ft",7,7,15007,0x448,"ForestTroll",0,0x2,,,"Troll des forêts",,,,,,,,,,,,,,0xFF01FE,,,"Trollesse des forêts",,,,,,,,,,,,,,0xFF01EC,,,"Troll des forêts",,,,,,,,,,,,,,0xFF01EC,"TUSKS","TUSKS","Normal",0,
19,5,1,0x0,26316,26317,"Wt",7,7,15007,0x448,"Taunka",0,0x2,,,"Taunka",,,,,,,,,,,,,,0xFF01FE,,,"Taunka",,,,,,,,,,,,,,0xFF01EC,,,"Taunka",,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
20,5,1,0x0,26871,26872,"NS",7,7,15007,0x448,"NorthrendSkeleton",0,0x2,,,"Squelette du Norfendre",,,,,,,,,,,,,,0xFF01FE,,,"Squelette du Norfendre",,,,,,,,,,,,,,0xFF01EC,,,"Squelette du Norfendre",,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
21,5,1,0x0,26873,26874,"It",7,7,15007,0x448,"IceTroll",0,0x2,,,"Troll des glaces",,,,,,,,,,,,,,0xFF01FE,,,"Trollesse des glaces",,,,,,,,,,,,,,0xFF01EC,,,"Troll des glaces",,,,,,,,,,,,,,0xFF01EC,"Normal","Normal","Normal",0,
25,12,1,0x102C,32845,32846,"Pa",7,7,15007,0x448,"Pandaren_a",259,0x0,,,"(A)Pandaren",,,,,,,,,,,,,,0xFF01FE,,,"(A)Pandaren",,,,,,,,,,,,,,0xFF01EC,,,"(A)Pandaren",,,,,,,,,,,,,,0xFF01EC,"PANDA","PANDA_FEM","NORMAL",0,
26,12,2,0x102D,32845,32846,"Pa",1,7,15007,0x448,"Pandaren_h",259,0x1,,,"(H)Pandaren",,,,,,,,,,,,,,0xFF01FE,,,"(H)Pandaren",,,,,,,,,,,,,,0xFF01EC,,,"(H)Pandaren",,,,,,,,,,,,,,0xFF01EC,"PANDA","PANDA_FEM","NORMAL",0,
