long,str,long,float,float,float,float,
1,"Cameras\PalantirOfAzora.mdx",0,-9282.41992188,-3329.65991211,116.341003418,4.60766983032,
2,"Cameras\FlybyUndead.mdx",3358,1658.57995605,1662.91003418,141.23399353,3.14159011841,
122,"Cameras\FlybyNightElf.mdx",3800,10474.0,813.130981445,1318.66003418,3.7349998951,
142,"Cameras\FlyByHuman.mdx",3840,-8945.51953125,-118.786003113,82.9306030273,0.191985994577,
162,"Cameras\FlyByGnome.mdx",3841,-5784.35009766,424.735992432,426.592010498,0.925024986267,
182,"Cameras\FlyByTroll.mdx",4080,-774.695007324,-4911.20996094,19.6126995087,2.94960999489,
202,"Cameras\FlyByTauren.mdx",4122,-2873.26000977,-266.821014404,53.9164009094,3.15904998779,
224,"Cameras\Scry_cam.mdx",0,-153.585998535,-3450.84008789,139.330993652,3.35103011131,
234,"Cameras\FlyByDwarf.mdx",3740,-5579.16015625,-455.776000977,406.476013184,4.71238994598,
235,"Cameras\FlybyOrc.mdx",3760,-603.411010742,-4193.41015625,41.091999054,4.67748022079,
243,"Cameras\FlyByBloodElf.mdx",9156,8099.12988281,-6942.68017578,66.7039031982,1.13445997238,
244,"Cameras\FlybyDraenei.mdx",9155,-3963.27001953,-13938.7001953,99.6887969971,5.20107984543,
245,"Cameras\FlyBySunwell5Man.mdx",12213,-149.783996582,-354.238006592,-77.7890014648,5.34071016312,
246,"Cameras\FlyByDeathKnight.mdx",12938,2301.88989258,-5346.31982422,88.9572982788,2.1642100811,
249,"Cameras\TimeTempleOne.mdx",172909,13508.2001953,12968.2001953,503.489990234,0.730000019073,
250,"Cameras\TimeTempleTwo.mdx",172909,12640.4003906,12820.2001953,467.089996338,0.070000000298,
251,"Cameras\ForgottensReach.mdx",172906,10956.4003906,12065.0996094,91.8300018311,5.57000017166,
343,"Cameras\FlyByPandaren.mdx",31699,1441.08996582,3371.69995117,170.697998047,1.25663995743,
