long,long,str,long,float,long,long,float,float,float,None,long,long,long,float,float,float,float,float,float,float,float,float,float,float,float,float,float,
1,10,"Creature\Basilisk\Basilisk.mdx",1,1.0,1,7,18.0,12.0,1.0,,0,0,1,0.694400012493,2.08299994469,0.0,-6.11823987961,-3.00923991203,-0.205842003226,2.77329993248,3.08227992058,2.06979990005,1.0,1.0,0.0,0.0,0.0,
2,2,"Creature\BogBeast\BogBeast.mdx",1,1.0,1,-1,18.0,12.0,1.0,,0,0,2,0.694400012493,2.08299994469,0.0,-0.803960025311,-2.56791996956,-0.177568003535,1.74573004246,2.11365008354,2.84163999557,1.0,1.0,0.0,0.0,0.0,
3,2,"Creature\Centaur\Centaur.mdx",1,1.0,1,-1,18.0,12.0,1.0,,0,0,3,0.694400012493,2.08299994469,0.0,-1.45706999302,-0.507094979286,-0.00472000008449,0.991472005844,0.523132026196,2.76393008232,1.0,1.0,0.0,0.0,0.0,
4,2,"Creature\CrystalSpider\CrystalSpider.mdx",1,1.0,1,0,18.0,12.0,1.0,,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
5,2,"Creature\DarkHound\DarkHound.mdx",1,1.0,1,-1,18.0,12.0,1.0,,0,0,5,0.611100018024,1.66700005531,0.0,-1.34619998932,-0.473691999912,-0.010816000402,0.81945002079,0.423426985741,1.61991000175,1.0,1.0,0.0,0.0,0.0,
6,9,"Creature\DragonWhelp\DragonWhelp.mdx",0,1.0,1,-1,18.0,12.0,1.0,,0,0,6,0.694400012493,2.08299994469,0.0,-0.752445995808,-0.94352799654,0.979083001614,0.637077987194,0.96622300148,3.19061994553,1.0,1.0,0.0,0.0,0.0,
8,0,"Creature\furbolg\Furbolg.mdx",1,1.0,1,7,18.0,12.0,1.0,,0,0,8,0.611100018024,2.03099989891,0.0,-0.586773991585,-0.951519012451,-0.000769999984186,1.08375000954,0.951810002327,1.96815001965,1.0,1.0,0.0,0.0,0.0,
9,3,"Creature\Ghost\Ghost.mdx",1,1.0,1,4,18.0,12.0,1.0,,0,0,9,0.611100018024,2.03099989891,0.0,-1.88821995258,-1.92079997063,-0.331674993038,1.40622997284,1.53624999523,3.10960006714,1.0,1.0,0.0,0.0,0.0,
10,0,"Creature\Gnoll\gnoll.mdx",1,1.0,1,7,18.0,12.0,1.0,,0,0,10,0.611100018024,2.03099989891,0.0,-0.773347020149,-0.695158004761,0.000414999987697,0.731812000275,0.757685005665,1.75619995594,1.0,1.0,0.0,0.0,0.0,
11,0,"Creature\Grell\Grell.mdx",0,1.0,1,4,18.0,12.0,1.0,,0,0,11,0.472200006247,1.52799999714,0.0,-1.46379005909,-0.768815994263,-0.00277799996547,0.697103023529,0.748070001602,1.42325997353,1.0,1.0,0.0,0.0,0.0,
12,1,"Creature\Harpy\Harpy.mdx",1,1.0,1,-1,18.0,12.0,1.0,,0,0,12,0.611100018024,2.03099989891,0.0,-0.560316026211,-1.66741001606,0.857127010822,0.60470700264,1.69726002216,4.54123020172,1.0,1.0,0.0,0.0,0.0,
13,0,"Creature\HUFMCitizenLow\HUFMCitizenLow.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,13,0.509700000286,2.03099989891,0.0,-0.198980003595,-0.37892600894,-0.0144159998745,0.390325009823,0.32205298543,1.89610004425,1.0,1.0,0.0,0.0,0.0,
14,0,"Creature\HUFMCitizenMid\HUFMCitizenMid.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,14,0.509700000286,2.03099989891,0.0,-0.230800002813,-0.378926992416,-0.014414999634,0.390320003033,0.322057008743,1.88332998753,1.0,1.0,0.0,0.0,0.0,
15,0,"Creature\HUFMMerchant\HUFMMerchant.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,15,0.509700000286,2.03099989891,0.0,-0.198983997107,-0.378926992416,-0.014414999634,0.390320003033,0.322057008743,1.9016699791,1.0,1.0,0.0,0.0,0.0,
16,0,"Creature\HumanThief\HumanThief.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,16,0.694400012493,2.08299994469,0.0,-0.489163011312,-0.396400988102,-0.0144250001758,0.580314993858,0.315948992968,1.77575004101,1.0,1.0,0.0,0.0,0.0,
17,0,"Creature\HUMLBlackSmith\HUMLBlackSmith.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,17,0.509700000286,2.03099989891,0.0,-0.294739991426,-0.582370996475,-0.00705299992114,0.51945400238,0.555571973324,2.00862002373,1.0,1.0,0.0,0.0,0.0,
18,0,"Creature\HUMLMagicSmith\HUMLMagicSmith.mdx",1,1.0,1,1,18.0,12.0,1.0,,0,0,18,0.509700000286,2.03099989891,0.0,-0.294739991426,-0.689696013927,-0.00705200014636,0.617837011814,0.555571973324,2.27554011345,1.0,1.0,0.0,0.0,0.0,
