long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,bool,
1,,,"Bête",,,,,,,,,,,,,,0xFF01FE,0,
2,,,"Draconien",,,,,,,,,,,,,,0xFF01FE,0,
3,,,"Démon",,,,,,,,,,,,,,0xFF01FE,0,
4,,,"Elémentaire",,,,,,,,,,,,,,0xFF01FE,0,
5,,,"Géant",,,,,,,,,,,,,,0xFF01FE,0,
6,,,"Mort-vivant",,,,,,,,,,,,,,0xFF01FE,0,
7,,,"Humanoïde",,,,,,,,,,,,,,0xFF01FE,0,
8,,,"Bestiole",,,,,,,,,,,,,,0xFF01FE,1,
9,,,"Machine",,,,,,,,,,,,,,0xFF01FE,0,
10,,,"Non spécifié",,,,,,,,,,,,,,0xFF01FE,0,
11,,,"Totem",,,,,,,,,,,,,,0xFF01FE,0,
12,,,"Familier pacifique",,,,,,,,,,,,,,0xFF01FE,1,
13,,,"Nuage de gaz",,,,,,,,,,,,,,0xFF01FE,1,
