long,long,long,str,
901,741,1,"Косматого молодого волка",
902,741,2,"Косматому молодому волку",
903,741,3,"Косматого молодого волка",
904,741,4,"Косматым молодым волком",
905,741,5,"Косматом молодом волке",
906,742,1,"кролика",
907,742,2,"кролику",
908,742,3,"кролика",
909,742,4,"кроликом",
910,742,5,"кролике",
911,743,1,"Трогга Каменной Челюсти",
912,743,2,"Троггу Каменной Челюсти",
913,743,3,"Трогга Каменной Челюсти",
914,743,4,"Троггом Каменной Челюсти",
915,743,5,"Трогге Каменной Челюсти",
916,744,6,"Ваш навык владения двуручными топорами",
91353,744,7,"Ваш навык владения двуручными топорами должен",
917,745,6,"Ваш навык владения посохами",
91375,745,7,"Ваш навык владения посохами должен",
918,746,6,"Ваш навык владения двуручным ударным оружием",
919,747,6,"Ваш навык владения мечами",
91369,747,7,"Ваш навык владения мечами должен",
920,748,6,"Ваш навык владения жезлами",
91356,748,7,"Ваш навык владения жезлами должен",
921,749,6,"Ваш навык владения древковым оружием",
91354,749,7,"Ваш навык владения древковым оружием должен",
922,750,6,"Ваш навык владения огнестрельным оружием",
91371,750,7,"Ваш навык владения огнестрельным оружием должен",
923,751,6,"Ваш навык владения кистевым оружием",
91361,751,7,"Ваш навык владения кистевым оружием должен",
924,752,6,"Ваш навык владения арбалетами",
91345,752,7,"Ваш навык владения арбалетами должен",
925,753,6,"Ваш навык владения топорами",
91380,753,7,"Ваш навык владения топорами должен",
926,754,6,"Ваш навык владения метательным оружием",
91367,754,7,"Ваш навык владения метательным оружием должен",
927,755,6,"Ваш навык владения луками",
91366,755,7,"Ваш навык владения луками должен",
928,756,6,"Ваш навык владения кинжалами",
91360,756,7,"Ваш навык владения кинжалами должен",
929,757,6,"Ваш навык владения ударным оружием",
930,758,6,"Ваш навык владения двуручными мечами",
91352,758,7,"Ваш навык владения двуручными мечами должен",
931,759,6,"Ваш навык боя двумя руками",
91346,759,7,"Ваш навык боя двумя руками должен",
932,760,6,"Ваш навык защиты",
91358,760,7,"Ваш навык защиты должен",
133262,761,1,"наложения чар",
133283,761,2,"наложению чар",
133304,761,3,"наложение чар",
133325,761,4,"наложением чар",
133346,761,5,"наложении чар",
933,761,6,"Ваш навык наложения чар",
91370,761,7,"Ваш навык наложения чар должен",
131938,761,8,"Наложение чар подвергается",
133266,762,1,"ювелирного дела",
133287,762,2,"ювелирному делу",
133308,762,3,"ювелирное дело",
133329,762,4,"ювелирным делом",
133350,762,5,"ювелирном деле",
934,762,6,"Ваше знание ювелирного дела",
91382,762,7,"Ваше знание ювелирного дела должно",
133261,763,1,"кузнечного дела",
133282,763,2,"кузнечному делу",
133303,763,3,"кузнечное дело",
133324,763,4,"кузнечным делом",
133345,763,5,"кузнечном деле",
935,763,6,"Ваше знание кузнечного дела",
91364,763,7,"Ваше знание кузнечного дела должно",
936,764,6,"Ваше знание механики",
91368,764,7,"Ваше знание механики должно",
133260,765,1,"алхимии",
133281,765,2,"алхимии",
133302,765,3,"алхимию",
133323,765,4,"алхимией",
133344,765,5,"алхимии",
937,765,6,"Ваше знание алхимии",
91344,765,7,"Ваше знание алхимии должно",
133265,766,1,"портняжного дела",
133286,766,2,"портняжному делу",
133307,766,3,"портняжное дело",
133328,766,4,"портняжным делом",
133349,766,5,"портняжном деле",
938,766,6,"Ваше знание портняжного дела",
91374,766,7,"Ваше знание портняжного дела должно",
133264,767,1,"кожевенного дела",
133285,767,2,"кожевенному делу",
133306,767,3,"кожевенное дело",
133327,767,4,"кожевенным делом",
133348,767,5,"кожевенном деле",
939,767,6,"Ваше знание кожевенного дела",
91362,767,7,"Ваше знание кожевенного дела должно",
133267,768,1,"травничества",
133288,768,2,"травничеству",
133309,768,3,"травничество",
133330,768,4,"травничеством",
133351,768,5,"травничестве",
940,768,6,"Ваш навык травничества",
91381,768,7,"Ваш навык травничества должен",
133268,769,1,"горного дела",
133289,769,2,"горному делу",
133310,769,3,"горное дело",
133331,769,4,"горным делом",
133352,769,5,"горном деле",
941,769,6,"Ваше знание горного дела",
91350,769,7,"Ваше знание горного дела должно",
942,770,6,"Ваш навык свежевания",
91378,770,7,"Ваш навык свежевания должен",
133271,771,1,"рыбной ловли",
