long,long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,
464,33,0,0,0,,,"Rethiltripe",,,,,,,,,,,,,,0xFF01FE,,
465,33,0,1000,1,,,"Tranchegriffe le Boucher",,,,,,,,,,,,,,0xFF01FE,,
466,33,0,2000,2,,,"Baron d'Argelaine",,,,,,,,,,,,,,0xFF01FE,,
467,33,0,3000,3,,,"Commandant Printeval",,,,,,,,,,,,,,0xFF01FE,,
468,33,0,4000,4,,,"Odo l'Aveugle",,,,,,,,,,,,,,0xFF01FE,,
469,33,0,5000,5,,,"Fenrus le Dévoreur",,,,,,,,,,,,,,0xFF01FE,,
470,33,0,6000,6,,,"Maître-loup Nandos",,,,,,,,,,,,,,0xFF01FE,,
471,33,0,7000,7,,,"Archimage Arugal",,,,,,,,,,,,,,0xFF01FE,,
536,34,0,0,0,,,"Targorr le Terrifiant",,,,,,,,,,,,,,0xFF01FE,,
537,34,0,1000,1,,,"Kam Furie-du-fond",,,,,,,,,,,,,,0xFF01FE,,
538,34,0,2000,2,,,"Hamhock",,,,,,,,,,,,,,0xFF01FE,,
540,34,0,4000,4,,,"Dextren Ward",,,,,,,,,,,,,,0xFF01FE,,
539,34,0,5000,3,,,"Bazil Thredd",,,,,,,,,,,,,,0xFF01FE,,
161,36,0,0,0,,,"Rhahk'zor",,,,,,,,,,,,,,0xFF01FE,,
162,36,0,500,1,,,"Sneed",,,,,,,,,,,,,,0xFF01FE,,
163,36,0,750,2,,,"Gilnid",,,,,,,,,,,,,,0xFF01FE,,
164,36,0,875,3,,,"M. Châtiment",,,,,,,,,,,,,,0xFF01FE,,
165,36,0,937,4,,,"Macaron",,,,,,,,,,,,,,0xFF01FE,,
166,36,0,968,5,,,"Capitaine Vertepeau",,,,,,,,,,,,,,0xFF01FE,,
167,36,0,1000,6,,,"Edwin VanCleef",,,,,,,,,,,,,,0xFF01FE,,
585,43,0,0,0,,,"Dame Anacondra",,,,,,,,,,,,,,0xFF01FE,,
586,43,0,1000,1,,,"Seigneur Cobrahn",,,,,,,,,,,,,,0xFF01FE,,
587,43,0,2000,2,,,"Kresh",,,,,,,,,,,,,,0xFF01FE,,
588,43,0,3000,3,,,"Seigneur Pythas",,,,,,,,,,,,,,0xFF01FE,,
589,43,0,4000,4,,,"Skum",,,,,,,,,,,,,,0xFF01FE,,
590,43,0,5000,5,,,"Seigneur Serpentis",,,,,,,,,,,,,,0xFF01FE,,
591,43,0,6000,6,,,"Verdan l'Immortel",,,,,,,,,,,,,,0xFF01FE,,
592,43,0,7000,7,,,"Mutanus le Dévoreur",,,,,,,,,,,,,,0xFF01FE,,
440,47,0,-1000,2,,,"Nécrorateur Jargba",,,,,,,,,,,,,,0xFF01FE,,
438,47,0,0,0,,,"Roogug",,,,,,,,,,,,,,0xFF01FE,,
439,47,0,1000,1,,,"Aggem Malépine",,,,,,,,,,,,,,0xFF01FE,,
441,47,0,3000,3,,,"Seigneur Brusquebroche",,,,,,,,,,,,,,0xFF01FE,,
883,47,0,3500,5,,,"Agathelos le Déchaîné",,,,,,,,,,,,,,0xFF01FE,,
443,47,0,4000,4,,,"Charlga Trancheflanc",,,,,,,,,,,,,,0xFF01FE,,
219,48,0,0,0,,,"Ghamoo-ra",,,,,,,,,,,,,,0xFF01FE,,
220,48,0,1000,1,,,"Dame Sarevess",,,,,,,,,,,,,,0xFF01FE,,
221,48,0,2000,2,,,"Gelihast",,,,,,,,,,,,,,0xFF01FE,,
222,48,0,3000,3,,,"Lorgus Jett",,,,,,,,,,,,,,0xFF01FE,,
224,48,0,5000,5,,,"Vieux Serra'kis",,,,,,,,,,,,,,0xFF01FE,,
225,48,0,6000,6,,,"Seigneur du crépuscule Kelris",,,,,,,,,,,,,,0xFF01FE,,
226,48,0,7000,7,,,"Aku'mai",,,,,,,,,,,,,,0xFF01FE,,
547,70,0,0,0,,,"Revelosh",,,,,,,,,,,,,,0xFF01FE,,
548,70,0,1000,1,,,"Les nains perdus",,,,,,,,,,,,,,0xFF01FE,,
549,70,0,2000,2,,,"Ironaya",,,,,,,,,,,,,,0xFF01FE,,
551,70,0,4000,4,,,"Ancien gardien des pierres",,,,,,,,,,,,,,0xFF01FE,,
552,70,0,5000,5,,,"Galgann Martel-de-feu",,,,,,,,,,,,,,0xFF01FE,,
553,70,0,6000,6,,,"Grimlok",,,,,,,,,,,,,,0xFF01FE,,
554,70,0,7000,7,,,"Archaedas",,,,,,,,,,,,,,0xFF01FE,,
379,90,0,2000,2,,,"Grubbis",,,,,,,,,,,,,,0xFF01FE,,
378,90,0,2500,1,,,"Retombée visqueuse",,,,,,,,,,,,,,0xFF01FE,,
380,90,0,3000,3,,,"Electrocuteur 6000",,,,,,,,,,,,,,0xFF01FE,,
381,90,0,4000,4,,,"Faucheur de foule 9-60",,,,,,,,,,,,,,0xFF01FE,,
382,90,0,5000,5,,,"Mekgénieur Thermojoncteur",,,,,,,,,,,,,,0xFF01FE,,
485,109,0,0,0,,,"Atal'alarion",,,,,,,,,,,,,,0xFF01FE,,
488,109,0,500,3,,,"Jammal'an le prophète",,,,,,,,,,,,,,0xFF01FE,,
486,109,0,1000,1,,,"Fauche-rêve",,,,,,,,,,,,,,0xFF01FE,,
487,109,0,2000,2,,,"Tisserand",,,,,,,,,,,,,,0xFF01FE,,
490,109,0,5000,5,,,"Morphaz",,,,,,,,,,,,,,0xFF01FE,,
491,109,0,6000,6,,,"Hazzas",,,,,,,,,,,,,,0xFF01FE,,
492,109,0,7000,7,,,"Avatar d'Hakkar",,,,,,,,,,,,,,0xFF01FE,,
493,109,0,8000,8,,,"Ombre d'Eranikus",,,,,,,,,,,,,,0xFF01FE,,
434,129,0,0,0,,,"Tuten'kash",,,,,,,,,,,,,,0xFF01FE,,
435,129,0,1000,1,,,"Mordresh Oeil-de-feu",,,,,,,,,,,,,,0xFF01FE,,
436,129,0,2000,2,,,"Glouton",,,,,,,,,,,,,,0xFF01FE,,
437,129,0,3000,3,,,"Amnennar le Porte-froid",,,,,,,,,,,,,,0xFF01FE,,
444,189,0,0,0,,,"Interrogateur Vislar",,,,,,,,,,,,,,0xFF01FE,,
445,189,0,1000,1,,,"Mage de sang Thalnos",,,,,,,,,,,,,,0xFF01FE,,
446,189,0,2000,2,,,"Maître-chien Loksey",,,,,,,,,,,,,,0xFF01FE,,
447,189,0,3000,3,,,"Arcaniste Doan",,,,,,,,,,,,,,0xFF01FE,,
448,189,0,4000,4,,,"Hérode",,,,,,,,,,,,,,0xFF01FE,,
449,189,0,5000,5,,,"Grand Inquisiteur Fairbanks",,,,,,,,,,,,,,0xFF01FE,,
450,189,0,6000,6,,,"Grande inquisitrice Blanchetête",,,,,,,,,,,,,,0xFF01FE,,
593,209,0,0,0,,,"Hydromancienne Velratha",,,,,,,,,,,,,,0xFF01FE,,
594,209,0,1000,1,,,"Ghaz'rilla",,,,,,,,,,,,,,0xFF01FE,,
595,209,0,2000,2,,,"Antu'sul",,,,,,,,,,,,,,0xFF01FE,,
596,209,0,3000,3,,,"Theka le Martyr",,,,,,,,,,,,,,0xFF01FE,,
597,209,0,4000,4,,,"Féticheur Zum'rah",,,,,,,,,,,,,,0xFF01FE,,
598,209,0,5000,5,,,"Nekrum Mâchentrailles",,,,,,,,,,,,,,0xFF01FE,,
599,209,0,6000,6,,,"Prêtre des ombres Sezz'ziz",,,,,,,,,,,,,,0xFF01FE,,
600,209,0,7000,7,,,"Chef Ukorz Scalpessable",,,,,,,,,,,,,,0xFF01FE,,
267,229,0,0,0,,,"Généralissime Omokk",,,,,,,,,,,,,,0xFF01FE,,
268,229,0,1000,1,,,"Chasseresse des ombres Vosh'gajin",,,,,,,,,,,,,,0xFF01FE,,
269,229,0,2000,2,,,"Maître de guerre Voone",,,,,,,,,,,,,,0xFF01FE,,
270,229,0,3000,3,,,"Matriarche Couveuse",,,,,,,,,,,,,,0xFF01FE,,
271,229,0,4000,4,,,"Urok Hurleruine",,,,,,,,,,,,,,0xFF01FE,,
272,229,0,5000,5,,,"Intendant Zigris",,,,,,,,,,,,,,0xFF01FE,,
274,229,0,5500,7,,,"Halycon",,,,,,,,,,,,,,0xFF01FE,,
273,229,0,6000,6,,,"Gizrul l'esclavagiste",,,,,,,,,,,,,,0xFF01FE,,
275,229,0,8000,8,,,"Seigneur Wyrmthalak",,,,,,,,,,,,,,0xFF01FE,,
276,229,0,9000,9,,,"Pyrogarde Prophète ardent",,,,,,,,,,,,,,0xFF01FE,,
277,229,0,10000,10,,,"Solakar Voluteflamme",,,,,,,,,,,,,,0xFF01FE,,
278,229,0,11000,11,,,"Chef de guerre Rend Main-noire",,,,,,,,,,,,,,0xFF01FE,,
279,229,0,12000,12,,,"La Bête",,,,,,,,,,,,,,0xFF01FE,,
280,229,0,13000,13,,,"Général Drakkisath",,,,,,,,,,,,,,0xFF01FE,,
227,230,0,0,0,,,"Grande Interrogratrice Gerstahn",,,,,,,,,,,,,,0xFF01FE,,
228,230,0,1000,1,,,"Seigneur Roccor",,,,,,,,,,,,,,0xFF01FE,,
229,230,0,2000,2,,,"Maître-chien Grebmar",,,,,,,,,,,,,,0xFF01FE,,
230,230,0,3000,3,,,"Cercle de la loi",,,,,,,,,,,,,,0xFF01FE,,
231,230,0,4000,4,,,"Pyromancien Blé-du-savoir",,,,,,,,,,,,,,0xFF01FE,,
232,230,0,5000,5,,,"Seigneur Incendius",,,,,,,,,,,,,,0xFF01FE,,
233,230,0,6000,6,,,"Gardien Stilgiss",,,,,,,,,,,,,,0xFF01FE,,
234,230,0,7000,7,,,"Fineous Sombrevire",,,,,,,,,,,,,,0xFF01FE,,
