long,long,long,float,float,float,float,long,
31,0,1,-510.0,424.0,-40.3333015442,582.333007813,0,
44,0,1,0.0,0.0,0.0,0.0,0,
56,533,1,-3734.10009766,-2640.27001953,2886.61010742,3615.83007813,488,
57,533,2,-4234.10009766,-3140.27001953,2886.61010742,3615.83007813,488,
58,533,3,-3787.0,-2587.0,2336.0,3136.0,488,
59,533,4,-4287.35009766,-3087.02001953,2336.61010742,3136.83007813,488,
60,533,5,-4400.08984375,-2330.2800293,2311.34008789,3691.2199707,488,
73,533,6,-5522.29003906,-4866.35009766,3379.25,3816.54003906,488,
27,571,1,222.494995117,1052.51000977,5513.33007813,6066.66992188,495,
26,571,2,352.645996094,915.869995117,5599.85009766,5975.33984375,495,
1,574,1,-310.406005859,424.174987793,25.6665000916,515.388000488,491,
2,574,2,-238.156005859,242.925003052,-16.3332996368,304.386993408,491,
41,574,3,-510.906005859,225.675003052,-75.3335037231,415.721008301,491,
39,575,1,-697.559020996,-148.623001099,186.919998169,552.87701416,491,
40,575,2,-747.557983398,8.62195968628,157.839004517,661.958007813,491,
25,576,1,-708.068969727,393.212005615,64.0755004883,798.263000488,486,
42,578,1,787.252990723,1301.95996094,877.070983887,1220.20996094,486,
43,578,2,712.252990723,1376.95996094,927.070983887,1370.20996094,486,
45,578,3,787.252990723,1301.95996094,927.070983887,1270.20996094,486,
46,578,4,897.258972168,1191.95996094,990.406005859,1186.86999512,486,
34,595,1,731.059997559,1856.35998535,1891.76000977,2641.95996094,161,
53,599,1,206.324005127,1126.52001953,762.443969727,1375.91003418,495,
37,600,1,-927.010009766,-307.069000244,-595.859985352,-182.565994263,496,
38,600,2,-1002.01000977,-382.069000244,-595.859985352,-182.565994263,496,
47,601,1,-30.0,722.973999023,292.141998291,794.125,488,
48,601,2,400.0,692.973999023,450.473999023,645.789978027,488,
49,601,3,462.125,829.625,395.0,640.0,488,
54,602,1,-282.54901123,283.686004639,1157.05004883,1534.54003906,495,
55,602,2,-538.54901123,169.68800354,959.719970703,1431.88000488,495,
69,603,1,-445.234985352,224.216003418,1392.70996094,1839.01000977,495,
70,603,2,-674.739990234,653.721008301,1679.04003906,2564.67993164,495,
71,603,3,-315.75,594.75,1612.0,2219.0,495,
72,603,4,1684.98999023,3254.44995117,2122.5300293,3168.83007813,495,
98,603,5,-310.014007568,309.454986572,1834.77001953,2247.75,495,
36,604,1,259.886993408,1164.92004395,1465.52001953,2068.87011719,496,
52,608,1,665.346984863,921.57598877,1813.34997559,1984.17004395,504,
61,616,1,1036.70996094,1466.7800293,611.127990723,897.841003418,486,
50,619,1,-1205.7199707,-233.302001953,200.404998779,848.684020996,488,
63,624,1,-812.518981934,585.736022949,-634.08001709,298.089996338,501,
103,631,1,1384.32995605,2739.80004883,-764.840026855,138.807006836,492,
104,631,2,1631.0,2698.0,-754.666992188,-43.3333015442,492,
105,631,3,2116.33007813,2311.80004883,-580.312988281,-449.99798584,492,
106,631,4,1993.56994629,2767.2800293,4012.40991211,4528.22021484,492,
107,631,5,2216.06005859,3364.80004883,4002.40991211,4768.22998047,492,
108,631,6,2586.57006836,2960.2800293,4455.75,4704.87988281,492,
109,631,7,-2271.55004883,-1978.29003906,410.291992188,605.79901123,492,
110,631,8,-2648.26000977,-2400.33007813,414.108001709,579.395996094,492,
101,632,1,1686.0300293,3134.12988281,4814.52978516,5779.93017578,492,
94,649,1,-41.2551994324,328.730987549,446.360992432,693.018981934,492,
100,649,1,-41.2551994324,328.730987549,446.360992432,693.018981934,492,
95,649,2,-211.259994507,528.736022949,433.023986816,926.354003906,492,
96,650,1,437.42364502,807.409790039,629.447875977,876.105895996,492,
99,650,1,437.42401123,807.409973145,629.447998047,876.106018066,492,
102,668,1,1469.98999023,2349.01000977,5126.99023438,5713.00976562,492,
142,33,1,2003.76989746,2356.19995117,-319.882995605,-84.9296035767,21,
143,33,2,2147.55664063,2359.98339844,-303.214996338,-161.597000122,21,
144,33,3,2103.77001953,2256.19995117,-193.216033936,-91.5960693359,21,
145,33,4,2103.77001953,2256.19995117,-193.214996338,-91.5903015137,21,
146,33,5,2103.77001953,2256.19995117,-193.214996338,-91.5903015137,21,
147,33,6,2080.77001953,2279.19995117,-182.546020508,-50.2593917847,21,
148,33,7,2023.77001953,2296.19995117,-278.216033936,-96.5960693359,21,
165,34,1,-188.330993652,189.822006226,-31.469499588,220.632995605,301,
166,36,1,-796.622009277,-237.358001709,-337.509002686,35.3334999084,39,
167,36,2,-1016.61999512,-517.356994629,-267.509002686,65.3332977295,39,
28,43,1,-375.946014404,560.528991699,-410.145996094,214.169998169,11,
149,47,1,1322.4699707,2058.91992188,1858.68005371,2349.63989258,607,
162,48,1,-381.29598999,502.92401123,-677.146972656,-87.6669998169,43,
163,48,2,-581.296020508,302.92401123,-927.146972656,-337.66696167,43,
164,48,3,-281.29800415,2.92600011826,-877.14831543,-687.665649414,43,
171,70,1,-248.548995972,645.119018555,-391.472991943,204.305999756,17,
180,70,2,52.5485992432,545.119018555,-57.7734985352,270.606994629,17,
168,90,1,-277.772003174,491.895996094,-694.0,-180.888000488,27,
169,90,2,-77.7720031738,691.895996094,-714.0,-200.888000488,27,
170,90,3,-127.772003174,741.895996094,-967.333007813,-387.554992676,27,
