long,long,long,long,float,
1329,0,22841,31,-10000.0,
1325,0,22842,31,-10000.0,
1324,0,22843,31,-10000.0,
1327,0,22848,31,-10000.0,
1328,0,22849,31,-10000.0,
1326,0,22850,31,-10000.0,
1323,0,22881,31,-10000.0,
1542,533,19866,57,-10000.0,
1530,533,19867,57,-10000.0,
1531,533,19868,57,-10000.0,
1535,533,19869,57,-10000.0,
1538,533,19870,57,-10000.0,
1541,533,19871,57,-10000.0,
1528,533,19872,57,-10000.0,
1529,533,19873,57,-10000.0,
1532,533,19874,57,-10000.0,
1514,533,19875,56,-10000.0,
1536,533,19877,57,-10000.0,
1523,533,19879,56,-10000.0,
1527,533,19880,57,-10000.0,
1533,533,19881,57,-10000.0,
1537,533,19883,57,-10000.0,
1543,533,19884,58,-10000.0,
1549,533,19885,58,-10000.0,
1550,533,19886,58,-10000.0,
1551,533,19887,58,-10000.0,
1552,533,19888,58,-10000.0,
1553,533,19889,58,-10000.0,
1555,533,19890,58,-10000.0,
1556,533,19892,58,-10000.0,
1522,533,19893,56,-10000.0,
1554,533,19896,58,-10000.0,
1512,533,19897,56,-10000.0,
1525,533,19898,56,-10000.0,
1520,533,19899,56,-10000.0,
1524,533,19900,56,-10000.0,
1516,533,19901,56,-10000.0,
1515,533,19902,56,-10000.0,
1517,533,19903,56,-10000.0,
1513,533,19904,56,-10000.0,
1518,533,19905,56,-10000.0,
1562,533,19906,59,-10000.0,
1563,533,19907,59,-10000.0,
1564,533,19908,59,-10000.0,
1565,533,19909,59,-10000.0,
1566,533,19910,59,-10000.0,
1567,533,19911,59,-10000.0,
1570,533,19913,59,-10000.0,
1571,533,19914,59,-10000.0,
1568,533,19916,59,-10000.0,
1559,533,19917,59,-10000.0,
1573,533,19918,59,-10000.0,
1560,533,19919,59,-10000.0,
1572,533,19920,59,-10000.0,
1569,533,19921,59,-10000.0,
1558,533,19922,59,-10000.0,
1561,533,19923,59,-10000.0,
1534,533,19924,57,-10000.0,
1540,533,19925,57,-10000.0,
1526,533,19926,57,-10000.0,
1539,533,19927,57,-10000.0,
1521,533,19929,56,-10000.0,
1519,533,19930,56,-10000.0,
1574,533,19931,60,-10000.0,
1544,533,19932,58,-10000.0,
1545,533,19933,58,-10000.0,
1546,533,19934,58,-10000.0,
1547,533,19935,58,-10000.0,
1548,533,19936,58,-10000.0,
1695,533,20064,73,-10000.0,
1557,533,20075,58,-10000.0,
1511,533,20076,56,-10000.0,
1694,533,20118,73,-10000.0,
1692,533,20119,73,-10000.0,
1693,533,20120,73,-10000.0,
1182,571,23935,27,0.0,
1183,571,23936,27,0.0,
