long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,,,"%s est bien d’accord avec %s.",,,,,,,,,,,,,,0xFF01FE,
2,,,"%s est bien d’accord avec vous.",,,,,,,,,,,,,,0xFF01FE,
3,,,"Vous êtes bien d’accord avec %s.",,,,,,,,,,,,,,0xFF01FE,
4,,,"%s est bien d’accord.",,,,,,,,,,,,,,0xFF01FE,
5,,,"Vous êtes bien d’accord.",,,,,,,,,,,,,,0xFF01FE,
6,,,"%s est stupéfait par %s !",,,,,,,,,,,,,,0xFF01FE,
7,,,"Vous stupéfiez %s !",,,,,,,,,,,,,,0xFF01FE,
8,,,"Vous êtes stupéfait par %s !",,,,,,,,,,,,,,0xFF01FE,
9,,,"%s trouve ça stupéfiant !",,,,,,,,,,,,,,0xFF01FE,
10,,,"Vous trouvez ça stupéfiant !",,,,,,,,,,,,,,0xFF01FE,
11,,,"%s lève un poing rageur en direction |2 %s, bouillant de colère.",,,,,,,,,,,,,,0xFF01FE,
12,,,"%s lève un poing rageur en votre direction, bouillant de colère.",,,,,,,,,,,,,,0xFF01FE,
13,,,"Sous l'emprise de la colère, vous levez un poing rageur en direction |2 %s.",,,,,,,,,,,,,,0xFF01FE,
14,,,"%s lève un poing rageur, bouillant de colère.",,,,,,,,,,,,,,0xFF01FE,
15,,,"Vous levez un poing rageur sous l'emprise de la colère.",,,,,,,,,,,,,,0xFF01FE,
16,,,"%s lève un poing rageur en direction |2 %s, bouillante de colère.",,,,,,,,,,,,,,0xFF01FE,
17,,,"%s lève un poing rageur en direction de vous, bouillante de colère.",,,,,,,,,,,,,,0xFF01FE,
18,,,"%s lève un poing rageur, bouillante de colère.",,,,,,,,,,,,,,0xFF01FE,
19,,,"%s présente ses excuses à %s. Toutes mes confuses !",,,,,,,,,,,,,,0xFF01FE,
20,,,"%s vous présente ses excuses. Toutes mes confuses !",,,,,,,,,,,,,,0xFF01FE,
21,,,"Vous présentez vos excuses à %s. Toutes mes confuses !",,,,,,,,,,,,,,0xFF01FE,
22,,,"%s présente ses excuses à tout le monde. Toutes mes confuses !",,,,,,,,,,,,,,0xFF01FE,
23,,,"Vous présentez vos excuses à tout le monde. Toutes mes confuses !",,,,,,,,,,,,,,0xFF01FE,
24,,,"%s applaudit %s. Bravo !",,,,,,,,,,,,,,0xFF01FE,
25,,,"%s vous applaudit. Bravo !",,,,,,,,,,,,,,0xFF01FE,
26,,,"Vous applaudissez %s. Bravo !",,,,,,,,,,,,,,0xFF01FE,
27,,,"%s applaudit. Bravo !",,,,,,,,,,,,,,0xFF01FE,
28,,,"Vous applaudissez. Bravo !",,,,,,,,,,,,,,0xFF01FE,
29,,,"%s est bien trop timide pour attirer l’attention |2 %s.",,,,,,,,,,,,,,0xFF01FE,
30,,,"%s est bien trop timide pour attirer votre attention.",,,,,,,,,,,,,,0xFF01FE,
31,,,"Vous êtes bien trop timide pour attirer l’attention |2 %s.",,,,,,,,,,,,,,0xFF01FE,
32,,,"%s est vraiment timide.",,,,,,,,,,,,,,0xFF01FE,
33,,,"Vous êtes vraiment timide.",,,,,,,,,,,,,,0xFF01FE,
34,,,"%s fait signe d’approcher à %s.",,,,,,,,,,,,,,0xFF01FE,
35,,,"%s vous fait signe d’approcher.",,,,,,,,,,,,,,0xFF01FE,
36,,,"Vous faites signe d’approcher à %s.",,,,,,,,,,,,,,0xFF01FE,
37,,,"%s fait signe à tout le monde d’approcher.",,,,,,,,,,,,,,0xFF01FE,
38,,,"Vous faites signe à tout le monde d’approcher.",,,,,,,,,,,,,,0xFF01FE,
39,,,"%s supplie %s. C'est pitoyable.",,,,,,,,,,,,,,0xFF01FE,
40,,,"%s vous supplie. C'est pitoyable.",,,,,,,,,,,,,,0xFF01FE,
41,,,"Vous suppliez %s. C'est pitoyable.",,,,,,,,,,,,,,0xFF01FE,
42,,,"%s supplie tous les gens qui l'entourent. C'est pitoyable.",,,,,,,,,,,,,,0xFF01FE,
43,,,"Vous suppliez tous les gens qui vous entourent. C'est pitoyable.",,,,,,,,,,,,,,0xFF01FE,
44,,,"%s supplie tous les gens qui l'entourent. C'est pitoyable.",,,,,,,,,,,,,,0xFF01FE,
45,,,"%s mord %s. Aïeuh !",,,,,,,,,,,,,,0xFF01FE,
46,,,"%s vous mord. Aïeuh !",,,,,,,,,,,,,,0xFF01FE,
47,,,"Vous mordez %s. Aïeuh !",,,,,,,,,,,,,,0xFF01FE,
48,,,"%s cherche quelqu'un à mordre.",,,,,,,,,,,,,,0xFF01FE,
49,,,"Vous cherchez quelqu'un à mordre.",,,,,,,,,,,,,,0xFF01FE,
50,,,"Le sang s'écoule des blessures |2 %s.",,,,,,,,,,,,,,0xFF01FE,
51,,,"Le sang s'écoule de vos blessures.",,,,,,,,,,,,,,0xFF01FE,
52,,,"%s fait un clin d’œil à %s.",,,,,,,,,,,,,,0xFF01FE,
53,,,"%s vous fait un clin d’œil.",,,,,,,,,,,,,,0xFF01FE,
54,,,"Vous faites un clin d’œil à %s.",,,,,,,,,,,,,,0xFF01FE,
55,,,"%s fait un clin d’œil.",,,,,,,,,,,,,,0xFF01FE,
56,,,"Vous clignez des yeux.",,,,,,,,,,,,,,0xFF01FE,
57,,,"%s regarde %s en rougissant.",,,,,,,,,,,,,,0xFF01FE,
58,,,"%s vous regarde en rougissant.",,,,,,,,,,,,,,0xFF01FE,
59,,,"Vous regardez %s en rougissant.",,,,,,,,,,,,,,0xFF01FE,
60,,,"%s rougit.",,,,,,,,,,,,,,0xFF01FE,
61,,,"Vous rougissez.",,,,,,,,,,,,,,0xFF01FE,
62,,,"%s frappe %s sur le museau. Ouille !",,,,,,,,,,,,,,0xFF01FE,
63,,,"%s vous frappe sur le museau. Ouille !",,,,,,,,,,,,,,0xFF01FE,
64,,,"Vous frappez %s sur le museau. Ouille !",,,,,,,,,,,,,,0xFF01FE,
65,,,"%s se donne un coup sur le museau. Ouille !",,,,,,,,,,,,,,0xFF01FE,
66,,,"Vous vous donnez un coup sur le museau. Ouille !",,,,,,,,,,,,,,0xFF01FE,
67,,,"%s se donne un coup sur le museau. Ouille !",,,,,,,,,,,,,,0xFF01FE,
68,,,"%s trouve %s d'un ennui mortel.",,,,,,,,,,,,,,0xFF01FE,
69,,,"%s vous trouve d'un ennui mortel.",,,,,,,,,,,,,,0xFF01FE,
70,,,"Vous trouvez %s d'un ennui mortel.",,,,,,,,,,,,,,0xFF01FE,
71,,,"%s s’ennuie à mourir. Quel calvaire !",,,,,,,,,,,,,,0xFF01FE,
72,,,"Vous vous ennuyez à mourir. Quel calvaire !",,,,,,,,,,,,,,0xFF01FE,
73,,,"%s sautille devant %s.",,,,,,,,,,,,,,0xFF01FE,
74,,,"%s se met à sautiller devant vous.",,,,,,,,,,,,,,0xFF01FE,
75,,,"Vous vous mettez à sautiller devant %s.",,,,,,,,,,,,,,0xFF01FE,
76,,,"%s sautille sans arrêt.",,,,,,,,,,,,,,0xFF01FE,
77,,,"Vous sautillez sans arrêt.",,,,,,,,,,,,,,0xFF01FE,
78,,,"%s revient dans une seconde. Ne bougez pas, %s !",,,,,,,,,,,,,,0xFF01FE,
79,,,"%s revient dans une seconde. Ne bougez pas.",,,,,,,,,,,,,,0xFF01FE,
80,,,"Vous dites à %s que vous revenez dans une seconde.",,,,,,,,,,,,,,0xFF01FE,
81,,,"%s revient dans une seconde.",,,,,,,,,,,,,,0xFF01FE,
82,,,"Vous dites à ceux qui vous entourent que vous revenez dans une seconde.",,,,,,,,,,,,,,0xFF01FE,
83,,,"%s s’incline devant %s.",,,,,,,,,,,,,,0xFF01FE,
84,,,"%s s’incline devant vous.",,,,,,,,,,,,,,0xFF01FE,
85,,,"Vous vous inclinez devant %s.",,,,,,,,,,,,,,0xFF01FE,
86,,,"%s s’incline avec grâce.",,,,,,,,,,,,,,0xFF01FE,
87,,,"Vous vous inclinez avec grâce.",,,,,,,,,,,,,,0xFF01FE,
88,,,"%s rote grossièrement au nez |2 %s.",,,,,,,,,,,,,,0xFF01FE,
89,,,"%s vous rote grossièrement au nez.",,,,,,,,,,,,,,0xFF01FE,
90,,,"Vous rotez grossièrement au nez |2 %s.",,,,,,,,,,,,,,0xFF01FE,
91,,,"%s rote bruyamment.",,,,,,,,,,,,,,0xFF01FE,
92,,,"Vous rotez bruyamment.",,,,,,,,,,,,,,0xFF01FE,
93,,,"%s dit au revoir à %s. Adieu !",,,,,,,,,,,,,,0xFF01FE,
94,,,"%s vous dit au revoir. Adieu !",,,,,,,,,,,,,,0xFF01FE,
95,,,"Vous dites au revoir à %s. Adieu !",,,,,,,,,,,,,,0xFF01FE,
96,,,"%s dit au revoir à tout le monde. Adieu !",,,,,,,,,,,,,,0xFF01FE,
97,,,"Vous dites au revoir à tout le monde. Adieu !",,,,,,,,,,,,,,0xFF01FE,
98,,,"%s glousse hystériquement en regardant %s.",,,,,,,,,,,,,,0xFF01FE,
99,,,"%s glousse hystériquement en vous regardant.",,,,,,,,,,,,,,0xFF01FE,
100,,,"Vous gloussez hystériquement en regardant %s.",,,,,,,,,,,,,,0xFF01FE,
101,,,"La situation inspire à %s un gloussement hystérique.",,,,,,,,,,,,,,0xFF01FE,
102,,,"La situation vous inspire un gloussement hystérique.",,,,,,,,,,,,,,0xFF01FE,
103,,,"%s acclame %s !",,,,,,,,,,,,,,0xFF01FE,
104,,,"%s vous acclame.",,,,,,,,,,,,,,0xFF01FE,
105,,,"Vous acclamez %s.",,,,,,,,,,,,,,0xFF01FE,
106,,,"%s lance des acclamations !",,,,,,,,,,,,,,0xFF01FE,
107,,,"Vous lancez des acclamations !",,,,,,,,,,,,,,0xFF01FE,
108,,,"%s se pavane autour |2 %s en battant des bras. Cot, cot, cot, codec !",,,,,,,,,,,,,,0xFF01FE,
109,,,"%s se pavane autour de vous en battant des bras. Cot, cot, cot, codec !",,,,,,,,,,,,,,0xFF01FE,
110,,,"Vous vous pavanez autour |2 %s en battant des bras. Cot, cot, cot, codec !",,,,,,,,,,,,,,0xFF01FE,
111,,,"%s se pavane en battant des bras. Cot, cot, cot, codec !",,,,,,,,,,,,,,0xFF01FE,
112,,,"Vous vous pavanez en battant des bras. Cot, cot, cot, codec !",,,,,,,,,,,,,,0xFF01FE,
113,,,"%s s'esclaffe en regardant %s.",,,,,,,,,,,,,,0xFF01FE,
114,,,"%s s'eclaffe en vous regardant.",,,,,,,,,,,,,,0xFF01FE,
115,,,"Vous vous esclaffez en regardant %s.",,,,,,,,,,,,,,0xFF01FE,
116,,,"%s s'esclaffe bruyamment.",,,,,,,,,,,,,,0xFF01FE,
117,,,"Vous vous esclaffez bruyamment.",,,,,,,,,,,,,,0xFF01FE,
118,,,"%s applaudit chaleureusement %s.",,,,,,,,,,,,,,0xFF01FE,
119,,,"%s vous applaudit chaleureusement.",,,,,,,,,,,,,,0xFF01FE,
120,,,"Vous applaudissez chaleureusement %s.",,,,,,,,,,,,,,0xFF01FE,
121,,,"%s applaudit chaleureusement.",,,,,,,,,,,,,,0xFF01FE,
122,,,"Vous applaudissez chaleureusement.",,,,,,,,,,,,,,0xFF01FE,
123,,,"%s regarde %s d'un air confus.",,,,,,,,,,,,,,0xFF01FE,
124,,,"%s vous regarde d'un air confus.",,,,,,,,,,,,,,0xFF01FE,
125,,,"Vous regardez %s d'un air confus.",,,,,,,,,,,,,,0xFF01FE,
126,,,"%s nage en pleine confusion.",,,,,,,,,,,,,,0xFF01FE,
127,,,"Vous nagez en pleine confusion.",,,,,,,,,,,,,,0xFF01FE,
128,,,"%s congratule %s.",,,,,,,,,,,,,,0xFF01FE,
129,,,"%s vous congratule.",,,,,,,,,,,,,,0xFF01FE,
130,,,"Vous congratulez %s.",,,,,,,,,,,,,,0xFF01FE,
131,,,"%s congratule tout le monde.",,,,,,,,,,,,,,0xFF01FE,
132,,,"Vous congratulez tous ceux qui vous entourent.",,,,,,,,,,,,,,0xFF01FE,
133,,,"%s regarde %s en toussant.",,,,,,,,,,,,,,0xFF01FE,
