long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
28,,,"Le MJ a-t-il apporté une réponse ou une solution adaptée à votre question/problème ?",,,,,,,,,,,,,,0xFF01FE,
29,,,"L’information fournie était-elle facile à comprendre et/ou à appliquer ?",,,,,,,,,,,,,,0xFF01FE,
30,,,"Au cours de vos échanges, le MJ était-il informé, poli et compréhensif ?",,,,,,,,,,,,,,0xFF01FE,
31,,,"Quelle note donneriez-vous au temps de réponse à votre requête ?",,,,,,,,,,,,,,0xFF01FE,
32,,,"Quelle note donneriez-vous quant à votre expérience avec le MJ qui vous a aidé dans votre requête ?",,,,,,,,,,,,,,0xFF01FE,
33,,,"En vous basant sur votre expérience de l'assistance en jeu, recommanderiez-vous WoW à d’autres personnes ?",,,,,,,,,,,,,,0xFF01FE,
35,,,"Suite à cette expérience avec le service clientèle de Blizzard, seriez-vous prêt à recommander les produits et services de Blizzard à vos amis ?",,,,,,,,,,,,,,0xFF01FE,
36,,,"Votre problème est-il résolu ?",,,,,,,,,,,,,,0xFF01FE,
37,,,"De manière générale, mon expérience avec le service clientèle de Blizzard était :",,,,,,,,,,,,,,0xFF01FE,
38,,,"Le délai de réponse du service d’assistance de Blizzard était :",,,,,,,,,,,,,,0xFF01FE,
39,,,"Le professionnalisme de ce représentant de Blizzard était :",,,,,,,,,,,,,,0xFF01FE,
40,,,"Les explications de ce représentant de Blizzard étaient :",,,,,,,,,,,,,,0xFF01FE,
41,,,"De manière générale, l'aide de ce représentant de Blizzard était :",,,,,,,,,,,,,,0xFF01FE,
