long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
0,,,"<non fixé>",,,,,,,,,,,,,,0xFF01FE,
1,,,"Coincé",,,,,,,,,,,,,,0xFF01FE,
2,,,"Comportement/Harcèlement/Nommage",,,,,,,,,,,,,,0xFF01FE,
3,,,"Guilde",,,,,,,,,,,,,,0xFF01FE,
4,,,"Objet",,,,,,,,,,,,,,0xFF01FE,
5,,,"Environnement",,,,,,,,,,,,,,0xFF01FE,
6,,,"Personnage non-joueur hors quête/Monstre errant",,,,,,,,,,,,,,0xFF01FE,
7,,,"Quête/Personnage non-joueur de quête",,,,,,,,,,,,,,0xFF01FE,
8,,,"Problème technique",,,,,,,,,,,,,,0xFF01FE,
9,,,"Compte et facturation",,,,,,,,,,,,,,0xFF01FE,
10,,,"Votre personnage",,,,,,,,,,,,,,0xFF01FE,
11,,,"Objets d'arène/honneur",,,,,,,,,,,,,,0xFF01FE,
12,,,"Points d'arène/honneur",,,,,,,,,,,,,,0xFF01FE,
13,,,"Automatisation/Triche/Piratage",,,,,,,,,,,,,,0xFF01FE,
14,,,"Signalement de bug",,,,,,,,,,,,,,0xFF01FE,
15,,,"Compte compromis",,,,,,,,,,,,,,0xFF01FE,
16,,,"Suggestions de jeu",,,,,,,,,,,,,,0xFF01FE,
17,,,"Expérience de jeu",,,,,,,,,,,,,,0xFF01FE,
18,,,"Banque de guilde",,,,,,,,,,,,,,0xFF01FE,
19,,,"Maître de guilde",,,,,,,,,,,,,,0xFF01FE,
20,,,"Harcèlement",,,,,,,,,,,,,,0xFF01FF,
21,,,"Nom de guilde/équipe d'arène/personnage/familier innaproprié",,,,,,,,,,,,,,0xFF01FE,
22,,,"Résolution de problème connu",,,,,,,,,,,,,,0xFF01FE,
23,,,"Signalement de latence/ralentissement",,,,,,,,,,,,,,0xFF01FE,
24,,,"Butin/erreur d'attribution",,,,,,,,,,,,,,0xFF01FE,
25,,,"Courrier",,,,,,,,,,,,,,0xFF01FE,
26,,,"Requête extérieure au jeu",,,,,,,,,,,,,,0xFF01FE,
27,,,"Contrôle parental",,,,,,,,,,,,,,0xFF01FE,
28,,,"Changement de nom de personnage",,,,,,,,,,,,,,0xFF01FE,
29,,,"TPP",,,,,,,,,,,,,,0xFF01FE,
30,,,"Statut et suivi de restauration",,,,,,,,,,,,,,0xFF01FE,
31,,,"Serveur/Instance",,,,,,,,,,,,,,0xFF01FE,
32,,,"Spam",,,,,,,,,,,,,,0xFF01FE,
33,,,"Cas de suicide",,,,,,,,,,,,,,0xFF01FE,
34,,,"Suspension",,,,,,,,,,,,,,0xFF01FE,
35,,,"Problème technique/sonore/graphique",,,,,,,,,,,,,,0xFF01FE,
36,,,"Problème d'IU",,,,,,,,,,,,,,0xFF01FE,
37,,,"Escroquerie",,,,,,,,,,,,,,0xFF01FF,
