long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
396,,,"|cffffd100Astuce :|r Les donneurs de quête proches qui attendent votre retour sont indiqués par un point d'interrogation sur votre minicarte.",,,,,,,,,,,,,,0xFF01FE,
201,,,"|cffffd100Astuce :|r Vous pouvez annuler l'incantation d'un sort en vous déplaçant, en sautant ou en appuyant sur la touche d'échappement.",,,,,,,,,,,,,,0xFF01FE,
221,,,"|cffffd100Astuce :|r Cliquer sur le nom d'un joueur dans la fenêtre de discussion vous permet de lui envoyer un message privé.",,,,,,,,,,,,,,0xFF01FE,
258,,,"|cffffd100Astuce :|r Si vous cliquez sur le nom d'un personnage-joueur dans la fenêtre de discussion tout en appuyant sur la touche Maj, des informations supplémentaires à son sujet apparaîtront.",,,,,,,,,,,,,,0xFF01FE,
222,,,"|cffffd100Astuce :|r Vous pouvez cliquer sur un objet tout en appuyant sur <Ctrl> pour voir quelle serait votre apparence si vous le portiez.",,,,,,,,,,,,,,0xFF01FE,
223,,,"|cffffd100Astuce :|r Un objet dont le nom apparaît en gris est de piètre qualité et peut le plus souvent être vendu sans regret à un marchand.",,,,,,,,,,,,,,0xFF01FE,
224,,,"|cffffd100Astuce :|r Un objet dont le nom apparaît en blanc est utile aux joueurs d'une certaine façon. Il peut être utilisé ou vendu à l'hôtel des ventes.",,,,,,,,,,,,,,0xFF01FE,
225,,,"|cffffd100Astuce :|r Vous pouvez envoyer du courrier aux autres joueurs ou même à vos autres personnages à partir de n'importe quelle boîte aux lettres du jeu.",,,,,,,,,,,,,,0xFF01FE,
226,,,"|cffffd100Astuce :|r Vous pouvez cliquer sur un objet tout en appuyant sur la touche Maj pour créer un lien vers cet objet dans la fenêtre de discussion.",,,,,,,,,,,,,,0xFF01FE,
384,,,"|cffffd100Astuce :|r Vous pouvez annuler une amélioration amicale sur vous-même par un clic droit sur l’icône de l'effet du sort.",,,,,,,,,,,,,,0xFF01FE,
282,,,"|cffffd100Astuce :|r Lorsque vous apprenez un métier ou une compétence secondaire, le bouton qui vous permet d'exécuter cette compétence se trouve dans l'onglet général de votre grimoire.",,,,,,,,,,,,,,0xFF01FE,
227,,,"|cffffd100Astuce :|r Les raccourcis de toutes vos barres d'actions peuvent être reconfigurés dans l'interface d'association de touches.",,,,,,,,,,,,,,0xFF01FE,
229,,,"|cffffd100Astuce :|r Sur votre feuille de personnage se trouve un onglet de réputation qui vous indique votre statut auprès de différents groupes.",,,,,,,,,,,,,,0xFF01FE,
263,,,"|cffffd100Astuce :|r Vous pouvez utiliser la touche de tabulation pour sélectionner les ennemis proches se trouvant devant vous.",,,,,,,,,,,,,,0xFF01FE,
321,,,"|cffffd100Astuce :|r Si vous avez des difficultés à trouver quelque chose dans une capitale, demandez à un garde de vous indiquer votre chemin.",,,,,,,,,,,,,,0xFF01FE,
476,,,"|cffffd100Astuce :|r Vous pouvez utiliser la touche V pour montrer les informations essentielles concernant votre ennemi au-dessus de sa tête. Vous pouvez ainsi voir la vie de votre ennemi et les sorts qu'il lance. Cela vous permet également de changer plus facilement de cible.",,,,,,,,,,,,,,0xFF01FE,
