long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,,,"La foire de Sombrelune est installée dans la sublime forêt d'Elwynn.

Rendez visite à Silas Sombrelune et sa troupe, jouez à des jeux qui mettront à l'épreuve votre esprit et vos nerfs, et découvrez des visions exotiques venues des quatre coins d'Azeroth… et au-delà !",,,,,,,,,,,,,,0xFF01FE,
2,,,"Azeroth est en fête ! Vous pouvez admirer un feu d’artifice toutes les heures dans les capitales, et ce pendant toute la nuit !",,,,,,,,,,,,,,0xFF01FE,
4,,,"Un tournoi de pêche qui se déroule le long des côtes de la vallée de Strangleronce. Pêchez autant de courbines que possible !

Serez-vous le maître pêcheur, qui, le premier, attrapera quarante poissons et gagnera le grand prix ?",,,,,,,,,,,,,,0xFF01FE,
8,,,"D'abord célébrée par les nains, la fête des Brasseurs attire aujourd'hui toutes les races d'Azeroth !

Rendez-vous dans le camp de l'Alliance, à l'extérieur de Forgefer, ou dans le camp de la Horde, à l'extérieur d'Orgrimmar, et joignez-vous à la fête !",,,,,,,,,,,,,,0xFF01FE,
9,,,"Il y a quelque chose dans l'air dans les capitales d'Azeroth. Gardes et habitants passent leurs journées à donner des cadeaux à d'autres citoyens amoureux et à en recevoir.",,,,,,,,,,,,,,0xFF01FE,
10,,,"Un moment de joie et de fête, dédié à la plus chaude saison de l'année.",,,,,,,,,,,,,,0xFF01FE,
11,,,"Lorsque le soleil se couche, la fin du solstice est célébrée toutes les heures par des feux d'artifice époustouflants.

Pour voir le spectacle, rendez-vous dans n'importe quelle capitale ou à Baie-du-Butin.",,,,,,,,,,,,,,0xFF01FE,
12,,,"Montrez à un orphelin à quoi ressemble la vie d'un héros ! Rendez visite à la directrice de l'orphelinat Rossignol à Hurlevent, à la directrice de l'orphelinat Plainteguerre à Orgrimmar, à Miss Hérikorde à Shattrath, ou à la directrice de l'orphelinat Aria à Dalaran, et réalisez les rêves d'un enfant !",,,,,,,,,,,,,,0xFF01FE,
13,,,"Le Grand-père Hiver se rend dans les villes de Forgefer et d'Orgrimmar, avec l'aimable autorisation des Gourmandises Fumebois. Et dans tout Azeroth, c'est la saison de la bonne humeur !",,,,,,,,,,,,,,0xFF01FE,
14,,,"La fête du Jardin des nobles est arrivée. Les terres où chaque jeune héros teste ses forces pour la première fois cachent toutes des œufs remplis de trésors. Combien arriverez-vous à en trouver ?",,,,,,,,,,,,,,0xFF01FE,
15,,,"La Sanssaint célèbre la séparation entre les Réprouvés et le Fléau.

La fête et l'espièglerie règnent tandis que les aubergistes d'Azeroth distribuent bonbons et blagues à qui le leur demande.",,,,,,,,,,,,,,0xFF01FE,
16,,,"La fête des Moissons permet de rendre hommage à ceux qui ont sacrifié leur vie pour aider leurs amis et leurs alliés. Des festins sont organisés à Orgrimmar et Forgefer en l'honneur de ces héros disparus.",,,,,,,,,,,,,,0xFF01FE,
17,,,"Chaque année, les druides de Reflet-de-lune commémorent la victoire de leur cité sur un mal ancien. Pendant la fête lunaire, les citoyens d’Azeroth ont l’occasion de rendre hommage à leurs anciens en écoutant leurs avis, en participant à de splendides festins et bien entendu… en tirant des feux d’artifice !",,,,,,,,,,,,,,0xFF01FE,
18,,,"Lancée par les nains, la fête des Brasseurs célèbre aujourd'hui la bière et la fête partout dans le monde.",,,,,,,,,,,,,,0xFF01FE,
21,,,"Le capitaine DeMeza fait voile sur la ville gobeline de Baie-du-Butin. Elle recrute des amoureux de la terre dans les rangs de ses boucaniers.

Si vous vous sentez une âme de pirate, rendez visite au capitaine Demeza et à ses hommes de main dans les capitales !",,,,,,,,,,,,,,0xFF01FE,
22,,,"La bataille pour la vallée d'Alterac s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent à Alterac.",,,,,,,,,,,,,,0xFF01FE,
23,,,"La bataille pour le bassin d'Arathi s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent à Arathi.",,,,,,,,,,,,,,0xFF01FE,
24,,,"La bataille pour l'Œil du cyclone s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent dans l'Œil.",,,,,,,,,,,,,,0xFF01FE,
