long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,,,"Foire de Sombrelune",,,,,,,,,,,,,,0xFF01FE,
5,,,"Fêtes des artifices",,,,,,,,,,,,,,0xFF01FE,
6,,,"Concours de pêche de Strangleronce",,,,,,,,,,,,,,0xFF01FE,
7,,,"Fête des Brasseurs",,,,,,,,,,,,,,0xFF01FE,
9,,,"De l'amour dans l'air",,,,,,,,,,,,,,0xFF01FE,
11,,,"Fête du Feu du solstice d'été",,,,,,,,,,,,,,0xFF01FE,
12,,,"Féerie des artifices",,,,,,,,,,,,,,0xFF01FE,
13,,,"Semaine des enfants",,,,,,,,,,,,,,0xFF01FE,
14,,,"Voile d'hiver",,,,,,,,,,,,,,0xFF01FE,
15,,,"Le Jardin des nobles",,,,,,,,,,,,,,0xFF01FE,
16,,,"Sanssaint",,,,,,,,,,,,,,0xFF01FE,
17,,,"Fête des moissons",,,,,,,,,,,,,,0xFF01FE,
18,,,"Fête lunaire",,,,,,,,,,,,,,0xFF01FE,
19,,,"Fête des Brasseurs",,,,,,,,,,,,,,0xFF01FE,
21,,,"Jour des pirates",,,,,,,,,,,,,,0xFF01FE,
22,,,"Appel aux armes : vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,
23,,,"Appel aux armes : bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,
24,,,"Appel aux armes : Œil du cyclone",,,,,,,,,,,,,,0xFF01FE,
25,,,"Appel aux armes : goulet des Chanteguerres",,,,,,,,,,,,,,0xFF01FE,
41,,,"Appel aux armes : rivage des Anciens",,,,,,,,,,,,,,0xFF01FE,
61,,,"Lancement de Wrath of the Lich King",,,,,,,,,,,,,,0xFF01FE,
81,,,"Jour des morts",,,,,,,,,,,,,,0xFF01FE,
101,,,"Les Bienfaits du pèlerin",,,,,,,,,,,,,,0xFF01FE,
121,,,"Appel aux armes : île des Conquérants",,,,,,,,,,,,,,0xFF01FE,
141,,,"Promotion Punk",,,,,,,,,,,,,,0xFF01FE,
161,,,"Tournoi de pêche kalu'ak",,,,,,,,,,,,,,0xFF01FE,
