long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
0,,,"AUCUNE",,,,,,,,,,,,,,0xFF01FE,
1,,,"Flèches",,,,,,,,,,,,,,0xFF01FE,
2,,,"Balles",,,,,,,,,,,,,,0xFF01FE,
3,,,"Fragments d'âme",,,,,,,,,,,,,,0xFF01FE,
4,,,"Fournitures de travail du cuir",,,,,,,,,,,,,,0xFF01FE,
5,,,"Fournitures de calligraphie",,,,,,,,,,,,,,0xFF01FF,
6,,,"Herbes",,,,,,,,,,,,,,0xFF01FE,
7,,,"Fournitures d'enchanteur",,,,,,,,,,,,,,0xFF01FE,
8,,,"Fournitures d'ingénieur",,,,,,,,,,,,,,0xFF01FE,
9,,,"Clés",,,,,,,,,,,,,,0xFF01FE,
10,,,"Gemmes",,,,,,,,,,,,,,0xFF01FE,
11,,,"Fournitures de mineur",,,,,,,,,,,,,,0xFF01FE,
12,,,"Équipement lié",,,,,,,,,,,,,,0xFF01FE,
13,,,"Mascottes",,,,,,,,,,,,,,0xFF01FE,
14,,,"Monnaies",,,,,,,,,,,,,,0xFF01FE,
15,,,"Objets de quêtes",,,,,,,,,,,,,,0xFF01FE,
