long,long,bool,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
0,0,0,,,"Consommable",,,,,,,,,,,,,,0xFF01FE,
1,1,0,,,"Conteneur",,,,,,,,,,,,,,0xFF01FE,
2,2,1,,,"Arme",,,,,,,,,,,,,,0xFF01FE,
3,3,0,,,"Gemme",,,,,,,,,,,,,,0xFF01FE,
4,4,0,,,"Armure",,,,,,,,,,,,,,0xFF01FE,
5,5,0,,,"Composant",,,,,,,,,,,,,,0xFF01FE,
6,6,0,,,"Projectile",,,,,,,,,,,,,,0xFF01FE,
7,7,0,,,"Artisanat",,,,,,,,,,,,,,0xFF01FE,
8,8,0,,,"Générique(OBSOLETE)",,,,,,,,,,,,,,0xFF01FE,
9,9,0,,,"Recette",,,,,,,,,,,,,,0xFF01FE,
10,10,0,,,"Argent",,,,,,,,,,,,,,0xFF01FE,
11,6,0,,,"Carquois",,,,,,,,,,,,,,0xFF01FE,
12,0,0,,,"Quête",,,,,,,,,,,,,,0xFF01FE,
13,0,0,,,"Clé",,,,,,,,,,,,,,0xFF01FE,
14,1,0,,,"Permanent(OBSOLETE)",,,,,,,,,,,,,,0xFF01FE,
15,0,0,,,"Divers",,,,,,,,,,,,,,0xFF01FE,
16,12,0,,,"Glyphe",,,,,,,,,,,,,,0xFF01FE,
