long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,bool,
2,,,"Gemmes de joaillier",,,,,,,,,,,,,,0xFF01FE,3,1,
3,,,"Pierre de soins",,,,,,,,,,,,,,0xFF01FE,1,0,
4,,,"Gemme de mana",,,,,,,,,,,,,,0xFF01FE,1,0,
6,,,"Joyau-tempête",,,,,,,,,,,,,,0xFF01FE,1,1,
7,,,"Perle enchantée",,,,,,,,,,,,,,0xFF01FE,1,1,
8,,,"Lien de lumière",,,,,,,,,,,,,,0xFF01FE,1,1,
9,,,"Lien de pierre",,,,,,,,,,,,,,0xFF01FE,1,1,
10,,,"Choix de la mort",,,,,,,,,,,,,,0xFF01FE,1,1,
11,,,"Verdict de la mort",,,,,,,,,,,,,,0xFF01FE,1,1,
12,,,"Serment d'Eitrigg",,,,,,,,,,,,,,0xFF01FE,1,1,
13,,,"Ferveur des Givre-nés",,,,,,,,,,,,,,0xFF01FE,1,1,
14,,,"Fétiche du pouvoir volatil",,,,,,,,,,,,,,0xFF01FE,1,1,
15,,,"Vitalité du mastodonte",,,,,,,,,,,,,,0xFF01FE,1,1,
16,,,"Règne de la mort",,,,,,,,,,,,,,0xFF01FE,1,1,
17,,,"Règne des non-vivants",,,,,,,,,,,,,,0xFF01FE,1,1,
18,,,"Scarabée d'obstruction de Satrina",,,,,,,,,,,,,,0xFF01FE,1,1,
19,,,"Réconfort des vaincus",,,,,,,,,,,,,,0xFF01FE,1,1,
20,,,"Réconfort des défunts",,,,,,,,,,,,,,0xFF01FE,1,1,
21,,,"Talisman du pouvoir volatil",,,,,,,,,,,,,,0xFF01FE,1,1,
22,,,"Vengeance des Réprouvés",,,,,,,,,,,,,,0xFF01FE,1,1,
23,,,"Appel de la victoire",,,,,,,,,,,,,,0xFF01FE,1,1,
24,,,"Bague de l'agression cruelle",,,,,,,,,,,,,,0xFF01FE,1,0,
25,,,"Bague de violence déplorable",,,,,,,,,,,,,,0xFF01FE,1,1,
26,,,"Bague du roi traître",,,,,,,,,,,,,,0xFF01FE,1,0,
27,,,"Bague des Val'kyrs jumelles",,,,,,,,,,,,,,0xFF01FE,1,1,
28,,,"Bague du tempérament violent",,,,,,,,,,,,,,0xFF01FE,1,1,
29,,,"Anneau carnivore",,,,,,,,,,,,,,0xFF01FE,1,1,
30,,,"Cercle du sombre réparateur",,,,,,,,,,,,,,0xFF01FE,1,1,
31,,,"Bague tempête-de-feu",,,,,,,,,,,,,,0xFF01FE,1,1,
32,,,"Anneau tempête-de-feu",,,,,,,,,,,,,,0xFF01FE,1,1,
33,,,"Bague de Gormok",,,,,,,,,,,,,,0xFF01FE,1,1,
34,,,"Jonc des Val'kyrs jumelles",,,,,,,,,,,,,,0xFF01FE,1,1,
35,,,"Manifestation horrible",,,,,,,,,,,,,,0xFF01FE,1,1,
36,,,"Bague du traqueur des plans",,,,,,,,,,,,,,0xFF01FE,1,1,
37,,,"Chevalière du traqueur des plans",,,,,,,,,,,,,,0xFF01FE,1,1,
38,,,"Anneau de l'agression cruelle",,,,,,,,,,,,,,0xFF01FE,1,1,
