long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,long,long,long,long,long,long,long,long,flags,flags,
5,,,"du singe",,,,,,,,,,,,,,0xFF01FE,"Monkey",2802,2803,0,0,0,6666,10000,0,0x0,0x0,
6,,,"de l'aigle",,,,,,,,,,,,,,0xFF01FE,"Eagle",2804,2803,0,0,0,6666,10000,0,0x0,0x0,
7,,,"de l'ours",,,,,,,,,,,,,,0xFF01FE,"Bear",2803,2805,0,0,0,10000,6666,0,0x0,0x0,
8,,,"de la baleine",,,,,,,,,,,,,,0xFF01FE,"Whale",2806,2803,0,0,0,6666,10000,0,0x0,0x0,
9,,,"de la chouette",,,,,,,,,,,,,,0xFF01FE,"Owl",2804,2806,0,0,0,6666,6666,0,0x0,0x0,
10,,,"du gorille",,,,,,,,,,,,,,0xFF01FE,"Gorilla",2804,2805,0,0,0,6666,6666,0,0x0,0x0,
11,,,"de l'épervier",,,,,,,,,,,,,,0xFF01FE,"Falcon",2802,2804,0,0,0,6666,6666,0,0x0,0x0,
12,,,"du sanglier",,,,,,,,,,,,,,0xFF01FE,"Boar",2806,2805,0,0,0,6666,6666,0,0x0,0x0,
13,,,"du loup",,,,,,,,,,,,,,0xFF01FE,"Wolf",2802,2806,0,0,0,6666,6666,0,0x0,0x0,
14,,,"du tigre",,,,,,,,,,,,,,0xFF01FE,"Tiger",2802,2805,0,0,0,6666,6666,0,0x0,0x0,
15,,,"d'Esprit",,,,,,,,,,,,,,0xFF01FE,"Spirit",2806,0,0,0,0,10000,0,0,0x0,0x0,
16,,,"d'Endurance",,,,,,,,,,,,,,0xFF01FE,"Stamina",2803,0,0,0,0,15000,0,0,0x0,0x0,
17,,,"de Force",,,,,,,,,,,,,,0xFF01FE,"Strength",2805,0,0,0,0,10000,0,0,0x0,0x0,
18,,,"d'Agilité",,,,,,,,,,,,,,0xFF01FE,"Agility",2802,0,0,0,0,10000,0,0,0x0,0x0,
19,,,"d'Intelligence",,,,,,,,,,,,,,0xFF01FE,"Intellect",2804,0,0,0,0,10000,0,0,0x0,0x0,
20,,,"de puissance",,,,,,,,,,,,,,0xFF01FE,"Power",2825,0,0,0,0,20000,0,0,0x0,0x0,
21,,,"de puissance des sorts",,,,,,,,,,,,,,0xFF01FE,"Spell Power : Used to Be Arcane Wrath",2824,0,0,0,0,11700,0,0,0x0,0x0,
22,,,"de puissance des sorts",,,,,,,,,,,,,,0xFF01FE,"Spell Power: Used to Be Fiery Wrath",2824,0,0,0,0,11700,0,0,0x0,0x0,
23,,,"de puissance des sorts",,,,,,,,,,,,,,0xFF01FE,"Spell Power: Used to Be Frozen Wrath",2824,0,0,0,0,11700,0,0,0x0,0x0,
24,,,"de puissance des sorts",,,,,,,,,,,,,,0xFF01FE,"Spell Power (used to be Nature's Wrath)",2824,0,0,0,0,11700,0,0,0x0,0x0,
25,,,"de puissance des sorts",,,,,,,,,,,,,,0xFF01FE,"Spell Power: Used to Be Shadow Wrath",2824,0,0,0,0,11700,0,0,0x0,0x0,
26,,,"de puissance des sorts",,,,,,,,,,,,,,0xFF01FE,"Spell Power",2824,0,0,0,0,11700,0,0,0x0,0x0,
27,,,"de défense",,,,,,,,,,,,,,0xFF01FE,"Defense",2813,0,0,0,0,10000,0,0,0x0,0x0,
28,,,"de régénération",,,,,,,,,,,,,,0xFF01FE,"Regeneration",2814,0,0,0,0,4000,0,0,0x0,0x0,
29,,,"d'esquive",,,,,,,,,,,,,,0xFF01FE,"Eluding",2815,2802,0,0,0,6666,6666,0,0x0,0x0,
30,,,"de concentration",,,,,,,,,,,,,,0xFF01FE,"Concentration",2816,0,0,0,0,4000,0,0,0x0,0x0,
31,,,"de protection contre les Arcanes",,,,,,,,,,,,,,0xFF01FE,"Arcane Protection",2803,2817,0,0,0,10000,6666,0,0x0,0x0,
32,,,"de protection contre le Feu",,,,,,,,,,,,,,0xFF01FE,"Fire Protection",2803,2818,0,0,0,10000,6666,0,0x0,0x0,
33,,,"de protection contre le Givre",,,,,,,,,,,,,,0xFF01FE,"Frost Protection",2803,2819,0,0,0,10000,6666,0,0x0,0x0,
34,,,"de protection contre la Nature",,,,,,,,,,,,,,0xFF01FE,"Nature Protection",2803,2820,0,0,0,10000,6666,0,0x0,0x0,
35,,,"de protection contre l'Ombre",,,,,,,,,,,,,,0xFF01FE,"Shadow Protection",2803,2821,0,0,0,10000,6666,0,0x0,0x0,
36,,,"du sorcier",,,,,,,,,,,,,,0xFF01FE,"Sorcerer",2803,2804,2824,0,0,7889,5259,6153,0x0,0x0,
37,,,"du médecin",,,,,,,,,,,,,,0xFF01FE,"Physician",2803,2804,2824,0,0,7889,5259,6153,0x0,0x0,
38,,,"du prophète",,,,,,,,,,,,,,0xFF01FE,"Prophet",2804,2806,2824,0,0,5259,5259,6153,0x0,0x0,
39,,,"de l'invocateur",,,,,,,,,,,,,,0xFF01FE,"Invoker",2804,2824,2822,0,0,5259,6153,5259,0x0,0x0,
40,,,"du bandit",,,,,,,,,,,,,,0xFF01FE,"Bandit",2802,2803,2825,0,0,5259,7889,10518,0x0,0x0,
41,,,"de la bête",,,,,,,,,,,,,,0xFF01FE,"Beast",2805,2802,2803,0,0,5259,5259,7889,0x0,0x0,
42,,,"du hiérophante",,,,,,,,,,,,,,0xFF01FE,"Hierophant",2803,2806,2824,0,0,7889,5259,6153,0x0,0x0,
43,,,"du soldat",,,,,,,,,,,,,,0xFF01FE,"Soldier",2805,2803,2823,0,0,5259,7889,5259,0x0,0x0,
44,,,"des anciens",,,,,,,,,,,,,,0xFF01FE,"Elder",2803,2804,2816,0,0,7889,5259,2104,0x0,0x0,
45,,,"du champion",,,,,,,,,,,,,,0xFF01FE,"Champion",2805,2803,2813,0,0,5259,7889,5259,0x0,0x0,
46,,,"du test",,,,,,,,,,,,,,0xFF01FE,"Test",2798,2799,2800,2802,2806,20,20,20,0x5,0x5,
47,,,"de blocage",,,,,,,,,,,,,,0xFF01FE,"Blocking",2826,2805,0,0,0,6666,6666,0,0x0,0x0,
48,,,"de l'épreuve du paladin",,,,,,,,,,,,,,0xFF01FE,"Paladin Testing",2805,2906,2824,0,0,3506,5234,4102,0x0,0x0,
49,,,"du bosquet",,,,,,,,,,,,,,0xFF01FE,"Grove",2805,2802,2803,0,0,7266,4106,4790,0x0,0x0,
50,,,"de la chasse",,,,,,,,,,,,,,0xFF01FE,"Hunt",2825,2802,2804,0,0,14532,4106,3193,0x0,0x0,
51,,,"de la raison",,,,,,,,,,,,,,0xFF01FE,"Mind",2824,2822,2804,0,0,8501,4106,3193,0x0,0x0,
52,,,"de la croisade",,,,,,,,,,,,,,0xFF01FE,"Crusade",2824,2804,2813,0,0,8501,4106,3193,0x0,0x0,
53,,,"de la vision",,,,,,,,,,,,,,0xFF01FE,"Vision",2824,2804,2803,0,0,8501,4106,3193,0x0,0x0,
54,,,"de l'ancêtre",,,,,,,,,,,,,,0xFF01FE,"Ancestor",2805,2823,2803,0,0,7266,4106,4790,0x0,0x0,
55,,,"du cauchemar",,,,,,,,,,,,,,0xFF01FE,"Nightmare",2811,2803,2804,0,0,8501,6159,3193,0x0,0x0,
56,,,"de la bataille",,,,,,,,,,,,,,0xFF01FE,"Battle",2805,2803,2823,0,0,7266,6159,3193,0x0,0x0,
57,,,"de l'Ombre",,,,,,,,,,,,,,0xFF01FE,"Shadow",2825,2802,2803,0,0,14532,4106,4790,0x0,0x0,
58,,,"du soleil",,,,,,,,,,,,,,0xFF01FE,"Sun",2824,2803,2804,0,0,6153,5259,5259,0x0,0x0,
59,,,"de la lune",,,,,,,,,,,,,,0xFF01FE,"Moon",2804,2803,2806,0,0,5259,5259,5259,0x0,0x0,
60,,,"du fauve",,,,,,,,,,,,,,0xFF01FE,"Wild",2825,2803,2802,0,0,10518,5259,5259,0x0,0x0,
61,,,"de puissance des sorts",,,,,,,,,,,,,,0xFF01FE,"Spell Power (Resistance)",2824,0,0,0,0,2659,0,0,0x0,0x0,
62,,,"de Force",,,,,,,,,,,,,,0xFF01FE,"Strength (resistance)",2805,0,0,0,0,5000,0,0,0x0,0x0,
63,,,"d'Agilité",,,,,,,,,,,,,,0xFF01FE,"Agility (resistance)",2802,0,0,0,0,5000,0,0,0x0,0x0,
64,,,"de puissance",,,,,,,,,,,,,,0xFF01FE,"Power (resistance)",2825,0,0,0,0,10000,0,0,0x0,0x0,
65,,,"de magie",,,,,,,,,,,,,,0xFF01FE,"Magic (resistance)",2824,0,0,0,0,5850,0,0,0x0,0x0,
66,,,"du chevalier",,,,,,,,,,,,,,0xFF01FE,"Knight",2803,2813,2824,0,0,7889,5259,6153,0x0,0x0,
67,,,"du voyant",,,,,,,,,,,,,,0xFF01FE,"Seer",2803,2822,2824,0,0,7889,5259,6153,0x0,0x0,
68,,,"de l'ours",,,,,,,,,,,,,,0xFF01FE,"Bear (<60)",2805,2803,0,0,0,6666,6666,0,0x0,0x0,
69,,,"de l'aigle",,,,,,,,,,,,,,0xFF01FE,"Eagle (<60)",2803,2804,0,0,0,6666,6666,0,0x0,0x0,
70,,,"de l'ancêtre",,,,,,,,,,,,,,0xFF01FE,"Ancestor (<60)",2805,2822,2803,0,0,7266,4106,3193,0x0,0x0,
71,,,"du bandit",,,,,,,,,,,,,,0xFF01FE,"Bandit (<60)",2802,2803,2825,0,0,5259,5259,10518,0x0,0x0,
72,,,"de la bataille",,,,,,,,,,,,,,0xFF01FE,"Battle (<60)",2805,2803,2822,0,0,7266,4106,3193,0x0,0x0,
73,,,"des anciens",,,,,,,,,,,,,,0xFF01FE,"Elder (<60)",2803,2804,2816,0,0,5259,5259,2104,0x0,0x0,
74,,,"de la bête",,,,,,,,,,,,,,0xFF01FE,"Beast (<60)",2805,2802,2803,0,0,5259,5259,5259,0x0,0x0,
75,,,"du champion",,,,,,,,,,,,,,0xFF01FE,"Champion (<60)",2805,2803,2813,0,0,5259,5259,5259,0x0,0x0,
76,,,"du bosquet",,,,,,,,,,,,,,0xFF01FE,"Grove (<60)",2805,2802,2803,0,0,7266,4106,3193,0x0,0x0,
77,,,"du chevalier",,,,,,,,,,,,,,0xFF01FE,"Knight (<60)",2803,2813,2824,0,0,5259,5259,6153,0x0,0x0,
78,,,"du singe",,,,,,,,,,,,,,0xFF01FE,"Monkey (<60)",2802,2803,0,0,0,6666,6666,0,0x0,0x0,
79,,,"de la lune",,,,,,,,,,,,,,0xFF01FE,"Moon (<60)",2804,2803,2806,0,0,5259,3506,5259,0x0,0x0,
80,,,"du fauve",,,,,,,,,,,,,,0xFF01FE,"Wild (<60)",2825,2803,2802,0,0,10518,3506,5259,0x0,0x0,
81,,,"de la baleine",,,,,,,,,,,,,,0xFF01FE,"Whale (<60)",2803,2806,0,0,0,6666,6666,0,0x0,0x0,
82,,,"de la vision",,,,,,,,,,,,,,0xFF01FE,"Vision (<60)",2824,2804,2803,0,0,8501,4106,2129,0x0,0x0,
83,,,"du soleil",,,,,,,,,,,,,,0xFF01FE,"Sun (<60)",2824,2803,2804,0,0,6153,3506,5259,0x0,0x0,
84,,,"d'Endurance",,,,,,,,,,,,,,0xFF01FE,"Stamina (<60)",2803,0,0,0,0,10000,0,0,0x0,0x0,
85,,,"du sorcier",,,,,,,,,,,,,,0xFF01FE,"Sorcerer (<60)",2803,2804,2824,0,0,5259,5259,6153,0x0,0x0,
