long,long,long,long,long,long,long,long,long,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
0,0,-1,-1,0,3,3,2,3,0x0,,,"Consommables",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
0,5,-1,-1,0,1,3,2,3,0x0,,,"Nourriture & boissons",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
0,1,-1,-1,0,1,3,2,3,0x0,,,"Potion",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
0,2,-1,-1,0,1,3,2,3,0x0,,,"Élixir",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
0,3,-1,-1,0,1,3,2,3,0x0,,,"Flacon",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
0,7,-1,-1,0,1,3,2,3,0x0,,,"Bandage",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
0,6,-1,-1,0,1,3,2,3,0x0,,,"Amélioration d'objet",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
0,4,-1,-1,0,1,3,2,3,0x0,,,"Parchemin",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
0,8,-1,-1,0,1,3,2,3,0x0,,,"Autre",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
1,0,-1,-1,0,0,0,0,3,0x0,,,"Sac",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
1,1,-1,-1,0,4,0,0,3,0x0,,,"Sac d'âme",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
1,2,-1,-1,0,0,0,0,3,0x0,,,"Sac d'herbes",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
1,3,-1,-1,0,0,0,0,3,0x0,,,"Sac d'enchanteur",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
1,4,-1,-1,0,0,0,0,3,0x0,,,"Sac d'ingénieur",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
1,5,-1,-1,0,0,0,0,3,0x0,,,"Sac de gemmes",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
1,6,-1,-1,0,0,0,0,3,0x0,,,"Sac de mineur",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
