long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,None,flags,
5,,,"Wrath of the Lich King  - mode héroïque",,,,,,,,,,,,,,0xFF01FE,1,,0x5,
4,,,"Wrath of the Lich King  - mode normal",,,,,,,,,,,,,,0xFF01FE,2,,0x1,
3,,,"The Burning Crusade - mode héroïque",,,,,,,,,,,,,,0xFF01FE,3,,0x5,
2,,,"The Burning Crusade - mode normal",,,,,,,,,,,,,,0xFF01FE,4,,0x1,
1,,,"Donjons classiques",,,,,,,,,,,,,,0xFF01FE,5,,0x1,
9,,,"Raid de Wrath of the Lich King (25)",,,,,,,,,,,,,,0xFF01FE,17,,0x2,
8,,,"Raid de Wrath of the Lich King (10)",,,,,,,,,,,,,,0xFF01FE,18,,0x2,
7,,,"Raid de The Burning Crusade",,,,,,,,,,,,,,0xFF01FE,19,,0x2,
6,,,"Raids classiques",,,,,,,,,,,,,,0xFF01FE,20,,0x2,
11,,,"Évènements mondiaux",,,,,,,,,,,,,,0xFF01FE,21,,0x0,
