long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,long,long,long,long,long,long,flags,long,str,flags,None,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,,,"Cavernes des lamentations",,,,,,,,,,,,,,0xFF01FE,15,25,19,17,20,43,0,3,0x1,-1,"WAILINGCAVERNS",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
2,,,"Scholomance",,,,,,,,,,,,,,0xFF01FE,55,65,60,0,0,289,0,3,0x1,-1,"SCHOLOMANCE",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
4,,,"Gouffre de Ragefeu",,,,,,,,,,,,,,0xFF01FE,15,21,16,15,16,389,0,3,0x1,0,"RAGEFIRECHASM",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
6,,,"Mortemines",,,,,,,,,,,,,,0xFF01FE,15,25,19,17,20,36,0,3,0x1,-1,"DEADMINES",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
8,,,"Donjon d'Ombrecroc",,,,,,,,,,,,,,0xFF01FE,16,26,20,18,21,33,0,3,0x1,-1,"SHADOWFANGKEEP",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
10,,,"Profondeurs de Brassenoire",,,,,,,,,,,,,,0xFF01FE,19,29,23,21,24,48,0,3,0x1,-1,"BLACKFATHOMDEEPS",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
12,,,"Prison de Hurlevent",,,,,,,,,,,,,,0xFF01FE,20,30,24,22,25,34,0,3,0x1,1,"STORMWINDSTOCKADES",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
14,,,"Gnomeregan",,,,,,,,,,,,,,0xFF01FE,23,33,27,25,28,90,0,3,0x1,-1,"GNOMEREGAN",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
16,,,"Kraal de Tranchebauge",,,,,,,,,,,,,,0xFF01FE,22,32,26,24,27,47,0,3,0x1,-1,"RAZORFENKRAUL",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
18,,,"Monastère écarlate - Cimetière",,,,,,,,,,,,,,0xFF01FE,27,37,31,29,32,189,0,3,0x1,-1,"SCARLETMONASTERY",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
20,,,"Souilles de Tranchebauge",,,,,,,,,,,,,,0xFF01FE,32,42,36,34,37,129,0,3,0x1,-1,"RAZORFENDOWNS",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
22,,,"Uldaman",,,,,,,,,,,,,,0xFF01FE,35,45,39,37,40,70,0,3,0x1,-1,"ULDAMAN",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
24,,,"Zul'Farrak",,,,,,,,,,,,,,0xFF01FE,41,51,45,43,46,209,0,3,0x1,-1,"ZULFARAK",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
26,,,"Maraudon - Cristaux oranges",,,,,,,,,,,,,,0xFF01FE,41,51,45,43,46,349,0,3,0x1,-1,"MARAUDON",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
28,,,"Temple englouti",,,,,,,,,,,,,,0xFF01FE,45,55,49,47,50,109,0,3,0x1,-1,"SUNKENTEMPLE",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
30,,,"Profondeurs de Rochenoire - Prison",,,,,,,,,,,,,,0xFF01FE,47,57,51,49,52,230,0,3,0x1,-1,"BLACKROCKDEPTHS",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
32,,,"Bas du pic Rochenoire",,,,,,,,,,,,,,0xFF01FE,55,65,58,57,58,229,0,3,0x1,-1,"BLACKROCKSPIRE",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
34,,,"Hache-tripes - est",,,,,,,,,,,,,,0xFF01FE,53,63,57,55,58,429,0,3,0x1,-1,"DIREMAUL",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
36,,,"Hache-tripes - ouest",,,,,,,,,,,,,,0xFF01FE,55,65,58,58,58,429,0,3,0x1,-1,"DIREMAUL",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
38,,,"Hache-tripes - nord",,,,,,,,,,,,,,0xFF01FE,55,65,60,0,0,429,0,3,0x1,-1,"DIREMAUL",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
40,,,"Stratholme - Grande porte",,,,,,,,,,,,,,0xFF01FE,55,65,60,0,0,329,0,3,0x1,-1,"STRATHOLME",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
136,,,"Remparts des Flammes infernales",,,,,,,,,,,,,,0xFF01FE,57,67,63,59,62,543,0,3,0x1,-1,"HELLFIRECITADEL",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
137,,,"Fournaise du sang",,,,,,,,,,,,,,0xFF01FE,59,68,64,61,63,542,0,3,0x1,-1,"HELLFIRECITADEL",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
138,,,"Salles brisées",,,,,,,,,,,,,,0xFF01FE,67,75,70,0,0,540,0,3,0x1,-1,"HELLFIRECITADEL",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
140,,,"Enclos aux esclaves",,,,,,,,,,,,,,0xFF01FE,60,69,65,62,64,547,0,3,0x1,-1,"COILFANG",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
146,,,"Basse-tourbière",,,,,,,,,,,,,,0xFF01FE,61,70,66,63,65,546,0,3,0x1,-1,"COILFANG",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
147,,,"Caveau de la vapeur",,,,,,,,,,,,,,0xFF01FE,67,75,70,0,0,545,0,3,0x1,-1,"COILFANG",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
148,,,"Tombes-mana",,,,,,,,,,,,,,0xFF01FE,62,71,67,64,66,557,0,3,0x1,-1,"AUCHINDOUN",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
149,,,"Cryptes Auchenaï",,,,,,,,,,,,,,0xFF01FE,63,72,68,65,67,558,0,3,0x1,-1,"AUCHINDOUN",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
150,,,"Salles des Sethekk",,,,,,,,,,,,,,0xFF01FE,65,73,69,67,68,556,0,3,0x1,-1,"AUCHINDOUN",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
151,,,"Labyrinthe des ombres",,,,,,,,,,,,,,0xFF01FE,67,75,70,0,0,555,0,3,0x1,-1,"AUCHINDOUN",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
163,,,"Monastère écarlate - Armurerie",,,,,,,,,,,,,,0xFF01FE,32,42,36,34,37,189,0,3,0x1,-1,"SCARLETMONASTERY",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
164,,,"Monastère écarlate - Cathédrale",,,,,,,,,,,,,,0xFF01FE,35,45,39,37,40,189,0,3,0x1,-1,"SCARLETMONASTERY",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
165,,,"Monastère écarlate - Bibliothèque",,,,,,,,,,,,,,0xFF01FE,30,40,34,32,35,189,0,3,0x1,-1,"SCARLETMONASTERY",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
170,,,"L'évasion de Fort-de-Durn",,,,,,,,,,,,,,0xFF01FE,64,73,69,66,68,560,0,3,0x1,-1,"CAVERNSOFTIME",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
171,,,"Le Noir Marécage",,,,,,,,,,,,,,0xFF01FE,68,75,70,0,0,269,0,3,0x1,-1,"CAVERNSOFTIME",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
172,,,"Le Méchanar",,,,,,,,,,,,,,0xFF01FE,67,75,70,0,0,554,0,3,0x1,-1,"TEMPESTKEEP",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
173,,,"La Botanica",,,,,,,,,,,,,,0xFF01FE,67,75,70,0,0,553,0,3,0x1,-1,"TEMPESTKEEP",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
174,,,"L’Arcatraz",,,,,,,,,,,,,,0xFF01FE,68,75,70,0,0,552,0,3,0x1,-1,"TEMPESTKEEP",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
198,,,"Terrasse des Magistères",,,,,,,,,,,,,,0xFF01FE,68,75,70,0,0,585,0,3,0x1,-1,"MAGISTERSTERRACE",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
202,,,"Donjon d'Utgarde",,,,,,,,,,,,,,0xFF01FE,68,80,72,69,72,574,0,3,0x1,-1,"UTGARDE",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
