long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,,,"Orc",,,,,,,,,,,,,,0xFF01FE,
2,,,"Darnassien",,,,,,,,,,,,,,0xFF01FE,
3,,,"Taurahe",,,,,,,,,,,,,,0xFF01FE,
6,,,"Nain",,,,,,,,,,,,,,0xFF01FE,
7,,,"Commun",,,,,,,,,,,,,,0xFF01FE,
8,,,"Démoniaque",,,,,,,,,,,,,,0xFF01FE,
9,,,"Titan",,,,,,,,,,,,,,0xFF01FE,
10,,,"Thalassien",,,,,,,,,,,,,,0xFF01FE,
11,,,"Draconique",,,,,,,,,,,,,,0xFF01FE,
12,,,"Kalimag",,,,,,,,,,,,,,0xFF01FE,
13,,,"Gnome",,,,,,,,,,,,,,0xFF11FE,
14,,,"Troll",,,,,,,,,,,,,,0xFF01FF,
33,,,"Bas-parler",,,,,,,,,,,,,,0xFF01FE,
35,,,"Draeneï",,,,,,,,,,,,,,0xFF01FE,
36,,,"Zombie",,,,,,,,,,,,,,0x6FFF5FE,
37,,,"Binaire gnome",,,,,,,,,,,,,,0xFFE7FE,
38,,,"Binaire gobelin",,,,,,,,,,,,,,0xFF01FE,
43,,,"Pandaren",,,,,,,,,,,,,,0xFF01FE,
44,,,"Pandaren",,,,,,,,,,,,,,0xFF01FE,
