long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,
1,,,"Crochetage",,,,,,,,,,,,,,0xFF01FE,,,"Objets verrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Crocheter",,,,,,,,,,,,,,0xFF01FE,"PickLock",
2,,,"Herboristerie",,,,,,,,,,,,,,0xFF01FE,,,"Herbes",,,,,,,,,,,,,,0xFF01FE,,,"Collecter",,,,,,,,,,,,,,0xFF01FE,"GatherHerbs",
3,,,"Minage",,,,,,,,,,,,,,0xFF01FE,,,"Gisements de minerai",,,,,,,,,,,,,,0xFF01FE,,,"Miner",,,,,,,,,,,,,,0xFF01FE,"Mine",
4,,,"Désarmement de piège",,,,,,,,,,,,,,0xFF01FE,,,"Piège",,,,,,,,,,,,,,0xFF01FE,,,"Désarmer",,,,,,,,,,,,,,0xFF01FE,"",
5,,,"Ouverture",,,,,,,,,,,,,,0xFF01FE,,,"Objets déverrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Ouvrir",,,,,,,,,,,,,,0xFF01FE,"",
6,,,"Trésor (DND)",,,,,,,,,,,,,,0xFF01FE,,,"Trésor",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,"",
7,,,"Gemmes elfiques calcifiées (DND)",,,,,,,,,,,,,,0xFF01FE,,,"Gemmes elfiques calcifiées",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,"",
8,,,"Fermeture",,,,,,,,,,,,,,0xFF01FE,,,"Objets déverrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Fermer",,,,,,,,,,,,,,0xFF01FE,"",
9,,,"Pose de piège",,,,,,,,,,,,,,0xFF01FE,,,"Piège",,,,,,,,,,,,,,0xFF01FE,,,"Armer",,,,,,,,,,,,,,0xFF01FE,"",
10,,,"Ouverture rapide",,,,,,,,,,,,,,0xFF01FE,,,"Objets déverrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Ouvrir",,,,,,,,,,,,,,0xFF01FE,"",
11,,,"Fermeture rapide",,,,,,,,,,,,,,0xFF01FE,,,"Objets déverrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Fermer",,,,,,,,,,,,,,0xFF01FE,"",
12,,,"Ouverture (bricolage)",,,,,,,,,,,,,,0xFF01FE,,,"Objets déverrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Ouvrir",,,,,,,,,,,,,,0xFF01FE,"",
13,,,"Ouverture (à genoux)",,,,,,,,,,,,,,0xFF01FE,,,"Objets déverrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Ouvrir",,,,,,,,,,,,,,0xFF01FE,"",
14,,,"Ouverture (en attaquant)",,,,,,,,,,,,,,0xFF01FE,,,"Objets déverrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Ouvrir",,,,,,,,,,,,,,0xFF01FE,"",
15,,,"Gahz'ridienne (DND)",,,,,,,,,,,,,,0xFF01FE,,,"Gahz'ridienne",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,"",
16,,,"Explosif",,,,,,,,,,,,,,0xFF01FE,,,"Objets verrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Faire sauter",,,,,,,,,,,,,,0xFF01FE,"",
17,,,"Ouverture JcJ",,,,,,,,,,,,,,0xFF01FE,,,"Objets déverrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Ouvrir",,,,,,,,,,,,,,0xFF01FE,"",
18,,,"Fermeture JcJ",,,,,,,,,,,,,,0xFF01FE,,,"Objets déverrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Fermer",,,,,,,,,,,,,,0xFF01FE,"",
19,,,"Pêche",,,,,,,,,,,,,,0xFF01FE,,,"Poisson",,,,,,,,,,,,,,0xFF01FE,,,"Pêcher",,,,,,,,,,,,,,0xFF01FE,"FishingCursor",
20,,,"Calligraphie",,,,,,,,,,,,,,0xFF01FE,,,"Tomes",,,,,,,,,,,,,,0xFF01FE,,,"Déchiffrer",,,,,,,,,,,,,,0xFF01FE,"",
21,,,"Ouverture à partir d'un véhicule",,,,,,,,,,,,,,0xFF01FE,,,"Objets déverrouillés",,,,,,,,,,,,,,0xFF01FE,,,"Ouvrir",,,,,,,,,,,,,,0xFF01FE,"",
