long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
83,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Ceci est un test",,,,,,,,,,,,,,0xFF01FE,
84,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Merci de m’avoir rendu visite, $N. Il est bon de savoir que nous ne sommes pas oubliés.",,,,,,,,,,,,,,0xFF01FE,
85,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Merci de m’avoir rendu visite, $N. Il est bon de savoir que nous ne sommes pas oubliés.",,,,,,,,,,,,,,0xFF01FE,
86,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Cette babiole ne vous apportera aucune réponse, mais elle vous amusera peut-être.",,,,,,,,,,,,,,0xFF01FE,
87,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Bonjour, je suis Gubber Blump.

J'espère que vous allez bien et que vous continuez à pêcher. Dans la famille Blump, on adore pêcher. Voici une petite babiole qui vous permettra de pêcher plus efficacement. Bonne chance et merci encore de m'aider à attraper ces mérous.

Bonne pêche !

Gubber Blump",,,,,,,,,,,,,,0xFF01FE,
88,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Merci de m’avoir rendu visite, $N. Il est bon de savoir que nous ne sommes pas oubliés.",,,,,,,,,,,,,,0xFF01FE,
89,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Merci de m’avoir rendu visite, $N. Il est bon de savoir que nous ne sommes pas oubliés.",,,,,,,,,,,,,,0xFF01FE,
90,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Merci de m’avoir rendu visite, $N. Il est bon de savoir que nous ne sommes pas oubliés.",,,,,,,,,,,,,,0xFF01FE,
91,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Cette babiole ne vous apportera aucune réponse, mais elle vous amusera peut-être.",,,,,,,,,,,,,,0xFF01FE,
92,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Merci de m’avoir rendu visite, $N. Il est bon de savoir que nous ne sommes pas oubliés.",,,,,,,,,,,,,,0xFF01FE,
93,,,"",,,,,,,,,,,,,,0xFF01FC,,,"$gEstimé:Estimée; $N,$B$BJ'ai parcouru la pile de textes que vous m'avez apportés, et j'ai décodé pour vous les articles joints. J'ai soigneusement sélectionné les textes qui, selon moi, vous seront utiles. J'ai éprouvé quelque difficulté à rejoindre une boîte aux lettres sans être repéré, mais les mois passés dans le désert m'ont donné de bonnes bases dans l'art de la discrétion !$B$BJ'espère que vous les apprécierez.$B$B-Ortell",,,,,,,,,,,,,,0xFF01FE,
94,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Salut, $N !$B$BJe deviens assez doué, maintenant, pour m’introduire dans le fort Cénarien et utiliser leur boîte aux lettres. J’ai inclus dans cette missive de nouveaux articles intéressants. J’espère qu’ils vous seront utiles !$B$B-Ortell",,,,,,,,,,,,,,0xFF01FE,
95,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Merci de m’avoir rendu visite, $N. Il est bon de savoir que nous ne sommes pas oubliés.",,,,,,,,,,,,,,0xFF01FE,
96,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Merci de m’avoir rendu visite, $N. Il est bon de savoir que nous ne sommes pas oubliés.",,,,,,,,,,,,,,0xFF01FE,
97,,,"",,,,,,,,,,,,,,0xFF01FC,,,"Merci de m’avoir rendu visite, $N. Il est bon de savoir que nous ne sommes pas oubliés.",,,,,,,,,,,,,,0xFF01FE,
