long,str,long,long,bool,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,float,long,float,float,long,flags,flags,flags,
0,"Azeroth",0,0,0,,,"Royaumes de l'est",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FE,320,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
1,"Kalimdor",0,0,0,,,"Kalimdor",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,321,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
13,"test",0,2,0,,,"Test",,,,,,,,,,,,,,0xFF01FE,3817,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
25,"ScottTest",0,2,0,,,"Test de Scott",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,323,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
30,"PVPZone01",3,0,1,,,"Vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,0,,,"Cachée dans les montagnes d’Alterac, la vallée d’Alterac est le domaine des Loups-de-givre, le clan natal de Thrall.

Les nains Foudrepique, à la recherche de richesses et d’indices sur leur passé, y ont établi une tête de pont.

Les Loups-de-givre, très attachés à leur territoire, ne tolèrent pas cette intrusion. Ils ont levé une armée… une armée qui rêve de massacres perpétrés au nom d’une juste cause.",,,,,,,,,,,,,,0xFF01FE,,,"Cachée dans les montagnes d’Alterac, la vallée d’Alterac est le domaine des Loups-de-givre, le clan natal de Thrall.

Les nains Foudrepique, à la recherche de richesses et d’indices sur leur passé, y ont établi une tête de pont.

Les Loups-de-givre, très attachés à leur territoire, ne tolèrent pas cette intrusion. Ils ont levé une armée… une armée qui rêve de massacres perpétrés au nom d’une juste cause.",,,,,,,,,,,,,,0xFF01FE,104,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
33,"Shadowfang",1,0,0,,,"Donjon d'Ombrecroc",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,204,1.0,0,-230.989364624,1571.5703125,-1,0x0,0x0,0xA,
34,"StormwindJail",1,0,0,,,"Prison de Hurlevent",,,,,,,,,,,,,,0xFF01FE,717,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,194,1.0,0,-8762.37890625,848.010314941,-1,0x0,0x0,0xA,
35,"StormwindPrison",0,0,0,,,"<inutilisé>Prison de Hurlevent",,,,,,,,,,,,,,0xFF01FE,717,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,23,1.0,0,-8762.4765625,848.049133301,-1,0x0,0x0,0x0,
36,"DeadminesInstance",1,0,0,,,"Mortemines",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,142,1.0,0,-11207.7988281,1681.15087891,-1,0x0,0x0,0xA,
37,"PVPZone02",0,0,1,,,"Cratère d'Azshara",,,,,,,,,,,,,,0xFF01FE,0,,,"Ecrasez l'Alliance !",,,,,,,,,,,,,,0xFF01FE,,,"Défendez-vous contre l'assaut de la Horde !",,,,,,,,,,,,,,0xFF01FF,25,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
42,"Collin",0,2,0,,,"Test de Collin",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
43,"WailingCaverns",1,0,0,,,"Cavernes des Lamentations",,,,,,,,,,,,,,0xFF01FE,718,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,143,1.0,1,-751.131225586,-2209.24047852,-1,0x0,0x0,0xA,
44,"Monastery",1,0,0,,,"<inutilisé> Monastère",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,42,1.0,0,2892.41333008,-811.241333008,-1,0x0,0x0,0xA,
47,"RazorfenKraulInstance",1,0,0,,,"Kraal de Tranchebauge",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,188,1.0,1,-4459.44921875,-1660.21179199,-1,0x0,0x0,0xA,
48,"Blackfathom",1,0,0,,,"Profondeurs de Brassenoire",,,,,,,,,,,,,,0xFF01FE,719,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,196,1.0,1,4249.12060547,748.387084961,-1,0x0,0x0,0xA,
70,"Uldaman",1,0,0,,,"Uldaman",,,,,,,,,,,,,,0xFF01FE,1337,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,144,1.0,0,-6060.18164063,-2954.99731445,-1,0x0,0x0,0xA,
90,"GnomeragonInstance",1,0,0,,,"Gnomeregan",,,,,,,,,,,,,,0xFF01FE,721,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,193,1.0,0,-5162.66162109,931.598754883,-1,0x0,0x0,0xA,
109,"SunkenTemple",1,0,0,,,"Temple englouti",,,,,,,,,,,,,,0xFF01FE,1477,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,191,1.0,0,-10170.1035156,-3995.96801758,-1,0x0,0x0,0xA,
129,"RazorfenDowns",1,0,0,,,"Souilles de Tranchebauge",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,145,1.0,1,-4662.8828125,-2535.87158203,-1,0x0,0x0,0xA,
169,"EmeraldDream",2,0,0,,,"Rêve d'émeraude",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,-1,0.0,0.0,-1,0x0,0x0,0x28,
189,"MonasteryInstances",1,0,0,,,"Monastère écarlate",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,190,1.0,0,2892.23535156,-811.263671875,-1,0x0,0x0,0xA,
209,"TanarisInstance",1,0,0,,,"Zul'Farrak",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,146,1.0,1,-6790.57666016,-2891.27807617,-1,0x0,0x0,0xA,
229,"BlackRockSpire",1,0,0,,,"Pic Rochenoire",,,,,,,,,,,,,,0xFF01FE,1583,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,189,1.0,0,-7522.52685547,-1233.04150391,-1,0x0,0x0,0xA,
230,"BlackrockDepths",1,0,0,,,"Profondeurs de Rochenoire",,,,,,,,,,,,,,0xFF01FE,1584,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,103,1.0,0,-7178.09472656,-928.639465332,-1,0x0,0x0,0x5,
