long,str,long,bool,
195,"Agamand",1,0,
196,"Andromath",1,0,
197,"Antonidas",1,0,
198,"Fordred",1,0,
199,"Nielas",1,0,
200,"Nielas",1,0,
201,"Arius",1,0,
202,"Arugal",1,0,
203,"Sten",1,0,
204,"Ballador",1,0,
205,"Barthilas",1,0,
206,"Aedelas",1,0,
207,"Conjurus",1,0,
208,"Rex",1,0,
209,"Danath",1,0,
210,"Saidin",1,0,
211,"Dalar",1,0,
212,"Alonsus",1,0,
213,"Tenn",1,0,
214,"Tirion",1,0,
215,"Taelan",1,0,
216,"Gavinrad",1,0,
217,"Granis",1,0,
218,"Genn",1,0,
219,"Nandis",1,0,
220,"Geros",1,0,
221,"Jorn",1,0,
222,"Khadgar",1,0,
223,"Landazar",1,0,
224,"Shal",1,0,
225,"Anduin",1,0,
226,"Doril",1,0,
227,"Marn",1,0,
228,"Malak",1,0,
229,"Manadar",1,0,
230,"Medivh",1,0,
231,"Arthas",1,0,
232,"Terenas",1,0,
233,"Morlune",1,0,
234,"Moroes",1,0,
235,"Daelin",1,0,
236,"Rhonin",1,0,
237,"Sage",1,0,
238,"Duncan",1,0,
239,"Manos",1,0,
240,"Peril",1,0,
241,"Aran",1,0,
242,"Thoras",1,0,
243,"Turalyon",1,0,
244,"Uther",1,0,
245,"Varien",1,0,
246,"Llane",1,0,
247,"Zann",1,0,
1327,"Aimery",1,0,
1328,"Alex",1,0,
1329,"Alonso",1,0,
1330,"Ander",1,0,
1331,"Anselm",1,0,
1332,"Apollo",1,0,
1333,"Arlan",1,0,
1334,"Benedict",1,0,
1335,"Berenger",1,0,
1336,"Bertren",1,0,
1337,"Bruce",1,0,
1338,"Carl",1,0,
1339,"Carlin",1,0,
1340,"Carter",1,0,
1341,"Cedric",1,0,
1342,"Clement",1,0,
1343,"Clinton",1,0,
1344,"Daniel",1,0,
1345,"Darren",1,0,
1346,"Derek",1,0,
1347,"Eric",1,0,
1348,"Errol",1,0,
1349,"Everard",1,0,
1350,"Garth",1,0,
1351,"Geoff",1,0,
1352,"Graham",1,0,
1353,"Gregory",1,0,
1354,"Guillaume",1,0,
1355,"Hadrian",1,0,
1356,"Halian",1,0,
1357,"Harold",1,0,
1358,"Isaac",1,0,
1359,"Jack",1,0,
1360,"Jacob",1,0,
1361,"Jed",1,0,
1362,"Jeff",1,0,
1363,"Jeremiah",1,0,
1364,"Jessie",1,0,
1365,"Jethro",1,0,
1366,"Johan",1,0,
1367,"Judd",1,0,
1368,"Leroy",1,0,
1369,"Mitchell",1,0,
1370,"Paul",1,0,
1371,"Raiford",1,0,
1372,"Reese",1,0,
1373,"Regis",1,0,
1374,"Reid",1,0,
1375,"Robert",1,0,
1376,"Rodney",1,0,
1377,"Taylor",1,0,
1378,"Thibault",1,0,
1379,"Todd",1,0,
1380,"Walter",1,0,
1381,"Warin",1,0,
1382,"Warren",1,0,
1383,"Wayne",1,0,
1384,"Wymon",1,0,
1385,"Xander",1,0,
1386,"Yves",1,0,
2493,"Abelard",1,0,
2494,"Adin",1,0,
2495,"Adorian",1,0,
2496,"Aiden",1,0,
2497,"Aironus",1,0,
2498,"Alden",1,0,
2499,"Alexios",1,0,
2500,"Anders",1,0,
2501,"Anson",1,0,
2502,"Artim",1,0,
2503,"Ashton",1,0,
2504,"Austen",1,0,
2505,"Bailby",1,0,
2506,"Barraud",1,0,
2507,"Benes",1,0,
2508,"Brayden",1,0,
2509,"Caleb",1,0,
2510,"Cayden",1,0,
2511,"Cayne",1,0,
2512,"Cedrick",1,0,
2513,"Clark",1,0,
2514,"Clayton",1,0,
2515,"Corey",1,0,
2516,"Curtis",1,0,
2517,"Daician",1,0,
2518,"Dallin",1,0,
2519,"Damone",1,0,
2520,"Davin",1,0,
2521,"Devon",1,0,
2522,"Dewey",1,0,
2523,"Draven",1,0,
2524,"Dyrius",1,0,
2525,"Eames",1,0,
2526,"Edward",1,0,
2527,"Elgar",1,0,
2528,"Elroy",1,0,
2529,"Ethon",1,0,
2530,"Fanley",1,0,
2531,"Filmore",1,0,
2532,"Fletcher",1,0,
2533,"Franklin",1,0,
2534,"Gage",1,0,
2535,"Galan",1,0,
2536,"Gannet",1,0,
2537,"Gerrick",1,0,
2538,"Gunnar",1,0,
2539,"Haiden",1,0,
2540,"Haldane",1,0,
2541,"Halsey",1,0,
2542,"Holden",1,0,
2543,"Hudson",1,0,
2544,"Iridian",1,0,
2545,"Jaaron",1,0,
2546,"Jairund",1,0,
2547,"Jarek",1,0,
2548,"Jayson",1,0,
2549,"Jesse",1,0,
2550,"Joel",1,0,
2551,"Jonah",1,0,
2552,"Jonathan",1,0,
2553,"Justus",1,0,
2554,"Kai",1,0,
2555,"Kalvin",1,0,
2556,"Karsh",1,0,
2557,"Kashel",1,0,
2558,"Kaylan",1,0,
2559,"Keifer",1,0,
2560,"Keion",1,0,
2561,"Kenton",1,0,
2562,"Kevyn",1,0,
2563,"Koby",1,0,
2564,"Korban",1,0,
2565,"Kuthbert",1,0,
2566,"Lamarre",1,0,
2567,"Lars",1,0,
2568,"Lashan",1,0,
2569,"Layton",1,0,
