long,long,long,long,long,long,
1,30,0,51,60,0,
2,30,1,61,70,1,
3,30,2,71,79,2,
4,30,3,80,85,3,
5,489,0,10,19,0,
6,489,1,20,29,0,
7,489,2,30,39,0,
8,489,3,40,49,0,
9,489,4,50,59,0,
10,489,5,60,69,0,
11,489,6,70,79,0,
12,489,7,80,85,0,
13,529,0,20,29,0,
14,529,1,30,39,0,
15,529,2,40,49,0,
16,529,3,50,59,0,
17,529,4,60,69,0,
18,529,5,70,79,0,
19,529,6,80,85,0,
20,559,0,10,14,0,
21,559,1,15,19,0,
22,559,2,20,24,0,
23,559,3,25,29,0,
24,559,4,30,34,0,
25,559,5,35,39,0,
26,559,6,40,44,0,
27,559,7,45,49,0,
28,559,8,50,54,0,
29,559,9,55,59,0,
30,559,10,60,64,0,
31,559,11,65,69,0,
32,559,12,70,74,0,
33,559,13,75,79,0,
34,559,14,80,84,0,
35,559,15,85,89,0,
36,562,0,10,14,0,
37,562,1,15,19,0,
38,562,2,20,24,0,
39,562,3,25,29,0,
40,562,4,30,34,0,
41,562,5,35,39,0,
42,562,6,40,44,0,
43,562,7,45,49,0,
44,562,8,50,54,0,
45,562,9,55,59,0,
46,562,10,60,64,0,
47,562,11,65,69,0,
48,562,12,70,74,0,
49,562,13,75,79,0,
50,562,14,80,84,0,
51,562,15,85,89,0,
52,566,0,61,69,0,
53,566,1,70,79,0,
54,566,2,80,85,0,
55,572,0,10,14,0,
56,572,1,15,19,0,
57,572,2,20,24,0,
58,572,3,25,29,0,
59,572,4,30,34,0,
60,572,5,35,39,0,
61,572,6,40,44,0,
62,572,7,45,49,0,
63,572,8,50,54,0,
64,572,9,55,59,0,
65,572,10,60,64,0,
66,572,11,65,69,0,
67,572,12,70,74,0,
68,572,13,75,79,0,
69,572,14,80,84,0,
70,572,15,85,89,0,
71,607,0,71,79,0,
72,607,1,80,84,1,
73,607,2,85,85,2,
74,617,0,10,14,0,
75,617,1,15,19,0,
76,617,2,20,24,0,
77,617,3,25,29,0,
78,617,4,30,34,0,
79,617,5,35,39,0,
80,617,6,40,44,0,
81,617,7,45,49,0,
82,617,8,50,54,0,
83,617,9,55,59,0,
84,617,10,60,64,0,
85,617,11,65,69,0,
86,617,12,70,74,0,
87,617,13,75,79,0,
88,617,14,80,84,0,
89,617,15,85,89,0,
90,618,0,10,14,0,
91,618,1,15,19,0,
92,618,2,20,24,0,
93,618,3,25,29,0,
94,618,4,30,34,0,
95,618,5,35,39,0,
96,618,6,40,44,0,
97,618,7,45,49,0,
98,618,8,50,54,0,
99,618,9,55,59,0,
100,618,10,60,64,0,
101,618,11,65,69,0,
102,618,12,70,74,0,
103,618,13,75,79,0,
104,618,14,80,84,0,
105,618,15,85,89,0,
106,628,0,71,79,0,
107,628,1,80,84,1,
108,628,2,85,89,2,
109,726,0,10,19,0,
110,726,1,20,29,0,
111,726,2,30,39,0,
112,726,3,40,49,0,
113,726,4,50,59,0,
114,726,5,60,69,0,
115,726,6,70,79,0,
116,726,7,80,85,0,
117,761,0,10,19,0,
118,761,1,20,29,0,
119,761,2,30,39,0,
120,761,3,40,49,0,
121,761,4,50,59,0,
122,761,5,60,69,0,
123,761,6,70,79,0,
124,761,7,80,85,0,
125,774,0,20,29,0,
126,774,1,30,39,0,
127,774,2,40,49,0,
128,774,3,50,59,0,
129,774,4,60,69,0,
130,774,5,70,79,0,
131,774,6,80,84,0,
132,774,7,85,89,0,
133,774,8,90,99,0,
134,853,0,10,14,0,
135,853,1,15,19,0,
136,853,2,20,24,0,
137,853,3,25,29,0,
138,853,4,30,34,0,
139,853,5,35,39,0,
140,853,6,40,44,0,
141,853,7,45,49,0,
142,853,8,50,54,0,
143,853,9,55,59,0,
144,853,10,60,64,0,
145,853,11,65,69,0,
146,853,12,70,74,0,
147,853,13,75,79,0,
148,853,14,80,84,0,
149,853,15,85,89,0,
150,854,0,10,14,0,
151,854,1,15,19,0,
152,854,2,20,24,0,
153,854,3,25,29,0,
154,854,4,30,34,0,
155,854,5,35,39,0,
156,854,6,40,44,0,
157,854,7,45,49,0,
158,854,8,50,54,0,
159,854,9,55,59,0,
160,854,10,60,64,0,
161,854,11,65,69,0,
162,854,12,70,74,0,
163,854,13,75,79,0,
164,854,14,80,84,0,
165,854,15,85,89,0,
