long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,,,"Groupe",,,,,,,,,,,,,,0xFF01FE,
21,,,"Vie",,,,,,,,,,,,,,0xFF01FE,
41,,,"JcJ",,,,,,,,,,,,,,0xFF01FE,
62,,,"Raid",,,,,,,,,,,,,,0xFF01FE,
81,,,"Donjon",,,,,,,,,,,,,,0xFF01FE,
82,,,"Évènement mondial",,,,,,,,,,,,,,0xFF01FE,
83,,,"Légendaire",,,,,,,,,,,,,,0xFF01FE,
84,,,"Escorte",,,,,,,,,,,,,,0xFF01FE,
85,,,"Héroïque",,,,,,,,,,,,,,0xFF01FE,
88,,,"Raid (10)",,,,,,,,,,,,,,0xFF01FE,
89,,,"Raid (25)",,,,,,,,,,,,,,0xFF01FE,
