long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,,,"Épique",,,,,,,,,,,,,,0xFF01FE,
21,,,"REUSE - vieilles caves des lamentation",,,,,,,,,,,,,,0xFF01FE,
22,,,"Saisonnier",,,,,,,,,,,,,,0xFF01FE,
23,,,"REUSE - vieille Fossoyeuse",,,,,,,,,,,,,,0xFF01FE,
24,,,"Herboristerie",,,,,,,,,,,,,,0xFF01FE,
25,,,"Champs de bataille",,,,,,,,,,,,,,0xFF01FE,
41,,,"REUSE - vieil Uldaman",,,,,,,,,,,,,,0xFF01FE,
61,,,"Démoniste",,,,,,,,,,,,,,0xFF01FE,
81,,,"Guerrier",,,,,,,,,,,,,,0xFF01FE,
82,,,"Chaman",,,,,,,,,,,,,,0xFF01FE,
101,,,"Pêcheur",,,,,,,,,,,,,,0xFF01FE,
121,,,"Forgeron",,,,,,,,,,,,,,0xFF01FE,
141,,,"Paladin",,,,,,,,,,,,,,0xFF01FE,
161,,,"Mage",,,,,,,,,,,,,,0xFF01FE,
162,,,"Voleur",,,,,,,,,,,,,,0xFF01FE,
181,,,"Alchimiste",,,,,,,,,,,,,,0xFF01FE,
182,,,"Travailleur du cuir",,,,,,,,,,,,,,0xFF01FE,
201,,,"Ingénieur",,,,,,,,,,,,,,0xFF01FE,
221,,,"Carte au trésor",,,,,,,,,,,,,,0xFF01FE,
241,,,"Tournoi",,,,,,,,,,,,,,0xFF01FE,
261,,,"Chasseur",,,,,,,,,,,,,,0xFF01FE,
262,,,"Prêtre",,,,,,,,,,,,,,0xFF01FE,
263,,,"Druide",,,,,,,,,,,,,,0xFF01FE,
264,,,"Tailleur",,,,,,,,,,,,,,0xFF01FE,
284,,,"Spécial",,,,,,,,,,,,,,0xFF01FE,
304,,,"Cuisinier",,,,,,,,,,,,,,0xFF01FE,
324,,,"Secourisme",,,,,,,,,,,,,,0xFF01FE,
344,,,"Légendaire",,,,,,,,,,,,,,0xFF01FE,
364,,,"Foire de Sombrelune",,,,,,,,,,,,,,0xFF01FE,
365,,,"Guerre d'Ahn'Qiraj",,,,,,,,,,,,,,0xFF01FE,
366,,,"Fête lunaire",,,,,,,,,,,,,,0xFF01FE,
367,,,"Réputation",,,,,,,,,,,,,,0xFF01FE,
368,,,"Invasion",,,,,,,,,,,,,,0xFF01FE,
369,,,"Solstice d'été",,,,,,,,,,,,,,0xFF01FE,
370,,,"Fête des Brasseurs",,,,,,,,,,,,,,0xFF01FE,
371,,,"Calligraphie",,,,,,,,,,,,,,0xFF01FE,
372,,,"Chevalier de la mort",,,,,,,,,,,,,,0xFF01FE,
373,,,"Joaillerie",,,,,,,,,,,,,,0xFF01FE,
374,,,"Jardin des nobles",,,,,,,,,,,,,,0xFF01FE,
375,,,"Bienfaits du pèlerin",,,,,,,,,,,,,,0xFF01FE,
376,,,"De l'amour dans l'air",,,,,,,,,,,,,,0xFF01FE,
