long,long,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,bool,
6,7,0x0,,,"Givre",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,188,,,"",,,,,,,,,,,,,,0xFF01EC,0,
8,7,0x0,,,"Feu",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,183,,,"",,,,,,,,,,,,,,0xFF01EC,0,
26,7,0x0,,,"Armes",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,514,,,"",,,,,,,,,,,,,,0xFF01EC,0,
38,7,0x0,,,"Combat",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,243,,,"",,,,,,,,,,,,,,0xFF01EC,0,
39,7,0x0,,,"Finesse",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,250,,,"",,,,,,,,,,,,,,0xFF01EC,0,
43,6,0x0,,,"Epées",,,,,,,,,,,,,,0xFF01FF,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
44,6,0x0,,,"Haches",,,,,,,,,,,,,,0xFF01FF,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
45,6,0x0,,,"Arcs",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
46,6,0x0,,,"Armes à feu",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
50,7,0x0,,,"Maîtrise des bêtes",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,255,,,"",,,,,,,,,,,,,,0xFF01EC,0,
