long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,bool,str,
0,,,"Aucun",,,,,,,,,,,,,,0xFF01FE,0,0,"",
1,,,"Magie",,,,,,,,,,,,,,0xFF01FE,0,1,"Magic",
2,,,"Malédiction",,,,,,,,,,,,,,0xFF01FE,0,1,"Curse",
3,,,"Maladie",,,,,,,,,,,,,,0xFF01FE,0,1,"Disease",
4,,,"Poison",,,,,,,,,,,,,,0xFF01FE,0,1,"Poison",
5,,,"Camouflage",,,,,,,,,,,,,,0xFF01FE,0,0,"",
6,,,"Invisibilité",,,,,,,,,,,,,,0xFF01FE,0,0,"",
7,,,"Tous (M+M+M+P)",,,,,,,,,,,,,,0xFF01FE,30,0,"",
8,,,"Spécial – PNJ uniquement",,,,,,,,,,,,,,0xFF01FE,0,0,"",
9,,,"Enrager",,,,,,,,,,,,,,0xFF01FE,0,1,"",
10,,,"Bijoux ZG",,,,,,,,,,,,,,0xFF01FE,0,0,"",
11,,,"ZZOLD INUTILISE",,,,,,,,,,,,,,0xFF01FE,0,0,"",
