long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,,,"Enclume",,,,,,,,,,,,,,0xFF01FE,
2,,,"Métier à tisser",,,,,,,,,,,,,,0xFF01FE,
3,,,"Forge",,,,,,,,,,,,,,0xFF01FE,
4,,,"Feu de cuisine",,,,,,,,,,,,,,0xFF01FE,
5,,,"Fragments de Myzrael",,,,,,,,,,,,,,0xFF01FE,
6,,,"Puits Sabot-d'hiver",,,,,,,,,,,,,,0xFF01FE,
7,,,"Puits Corne-tonnerre",,,,,,,,,,,,,,0xFF01FE,
8,,,"Puits Crin-sauvage",,,,,,,,,,,,,,0xFF01FE,
9,,,"Feu tribal",,,,,,,,,,,,,,0xFF01FE,
10,,,"Atelier des machines",,,,,,,,,,,,,,0xFF01FE,
11,,,"Puits de lune de Sombrevallon",,,,,,,,,,,,,,0xFF01FE,
12,,,"Puits de lune de Brise-stellaire",,,,,,,,,,,,,,0xFF01FE,
13,,,"Réserves du Puits de lune d'Arlithrien",,,,,,,,,,,,,,0xFF01FE,
14,,,"Puits de lune de la clairière de l’Oracle",,,,,,,,,,,,,,0xFF01FE,
15,,,"Aéroport de la KapitalRisk",,,,,,,,,,,,,,0xFF01FE,
16,,,"Wagon (bleu) de la KapitalRisk",,,,,,,,,,,,,,0xFF01FE,
17,,,"Wagon (rouge) de la KapitalRisk",,,,,,,,,,,,,,0xFF01FE,
18,,,"Explosifs NG-5 (rouges)",,,,,,,,,,,,,,0xFF01FE,
19,,,"Explosifs NG-5 (bleus)",,,,,,,,,,,,,,0xFF01FE,
20,,,"Flamme d'Uzel",,,,,,,,,,,,,,0xFF01FE,
21,,,"Puits de lune d’Orneval",,,,,,,,,,,,,,0xFF01FE,
22,,,"Autel dégradé par la mer",,,,,,,,,,,,,,0xFF01FE,
23,,,"Réseaux souterrains proches",,,,,,,,,,,,,,0xFF01FE,
43,,,"Cercle d’invocation de Fossoyeuse",,,,,,,,,,,,,,0xFF01FE,
63,,,"Autel du Chaman",,,,,,,,,,,,,,0xFF01FE,
83,,,"Cercle d’invocation de Hurlevent",,,,,,,,,,,,,,0xFF01FE,
103,,,"Cercle d’invocation des Tarides",,,,,,,,,,,,,,0xFF01FE,
123,,,"Cascade du Lac Miroir",,,,,,,,,,,,,,0xFF01FE,
143,,,"L'antre des Serres",,,,,,,,,,,,,,0xFF01FE,
163,,,"Cascade de Xavian",,,,,,,,,,,,,,0xFF01FE,
164,,,"Pierre de Lien extérieure",,,,,,,,,,,,,,0xFF01FE,
183,,,"Troubles dans la faille de mana",,,,,,,,,,,,,,0xFF01FE,
203,,,"Cercle d’invocation d’Orgrimmar",,,,,,,,,,,,,,0xFF01FE,
223,,,"Fontaine des Irécailles",,,,,,,,,,,,,,0xFF01FE,
224,,,"Point d’eau des hurans",,,,,,,,,,,,,,0xFF01FE,
225,,,"Eau pure - Pins argentés",,,,,,,,,,,,,,0xFF01FE,
226,,,"Puits de printemps",,,,,,,,,,,,,,0xFF01FE,
243,,,"Fontaine du Temple de la lune",,,,,,,,,,,,,,0xFF01FE,
263,,,"Autel de Jintha'Alor",,,,,,,,,,,,,,0xFF01FE,
