long,long,long,long,long,long,long,long,long,long,long,long,long,long,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,flags,long,long,long,long,long,long,long,
1,0,6,0,0,6,0,0,6,0,0,0,0,0,"","","Croque-roc 3","","","","","","","","","","","","","",0xFF01FE,61,9,0,0,0,0,0,
2,0,1,0,0,0,0,0,0,0,0,8034,0,0,"","","Arme de givre 1","","","","","","","","","","","","","",0xFF01FE,33,9,0,0,0,0,0,
3,0,3,0,0,100,0,0,100,0,0,15568,0,0,"","","Langue de feu 3","","","","","","","","","","","","","",0xFF01FE,32,9,0,0,0,0,0,
4,0,3,0,0,100,0,0,100,0,0,15567,0,0,"","","Langue de feu 2","","","","","","","","","","","","","",0xFF01FE,32,9,0,0,0,0,0,
5,0,3,0,0,100,0,0,100,0,0,10400,0,0,"","","Langue de feu 1","","","","","","","","","","","","","",0xFF01FE,32,9,0,0,0,0,0,
6,0,6,0,0,4,0,0,4,0,0,0,0,0,"","","Croque-roc 2","","","","","","","","","","","","","",0xFF01FE,61,9,0,0,0,0,0,
7,0,1,0,0,30,0,0,30,0,0,2818,0,0,"","","Poison mortel","","","","","","","","","","","","","",0xFF01FE,26,9,0,0,0,0,0,
8,0,1,0,0,30,0,0,30,0,0,2819,0,0,"","","Poison mortel II","","","","","","","","","","","","","",0xFF01FE,26,9,0,0,0,0,0,
9,0,1,0,0,30,0,0,30,0,0,2820,0,0,"","","Poison (15 points de dégâts)","","","","","","","","","","","","","",0xFF01FE,26,9,0,0,0,0,0,
10,0,1,0,0,30,0,0,30,0,0,2821,0,0,"","","Poison (20 points de dégâts)","","","","","","","","","","","","","",0xFF01FE,26,9,0,0,0,0,0,
11,0,1,0,0,30,0,0,30,0,0,2822,0,0,"","","Poison (25 points de dégâts)","","","","","","","","","","","","","",0xFF01FE,26,9,0,0,0,0,0,
12,0,1,0,0,0,0,0,0,0,0,8037,0,0,"","","Arme de givre 2","","","","","","","","","","","","","",0xFF01FE,33,9,0,0,0,0,0,
13,0,2,0,0,3,0,0,3,0,0,0,0,0,"","","Aiguisé (+3 points de dégâts)","","","","","","","","","","","","","",0xFF01FE,28,0,0,0,0,0,0,
14,0,2,0,0,4,0,0,4,0,0,0,0,0,"","","Aiguisé (+4 points de dégâts)","","","","","","","","","","","","","",0xFF01FE,28,0,0,0,0,0,0,
15,0,4,0,0,8,0,0,8,0,0,0,0,0,"","","Renforcé (+8 Armure)","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
16,0,4,0,0,16,0,0,16,0,0,0,0,0,"","","Renforcé (+16 Armure)","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
17,0,4,0,0,24,0,0,24,0,0,0,0,0,"","","Renforcé (+24 Armure)","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
18,0,4,0,0,32,0,0,32,0,0,0,0,0,"","","Renforcé (+32 Armure)","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
19,0,2,0,0,2,0,0,2,0,0,0,0,0,"","","Équilibré (+2 points de dégâts)","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
20,0,2,0,0,3,0,0,3,0,0,0,0,0,"","","Équilibré (+3 points de dégâts)","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
21,0,2,0,0,4,0,0,4,0,0,0,0,0,"","","Équilibré (+4 points de dégâts)","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
22,0,1,0,0,50,0,0,50,0,0,3409,0,0,"","","Poison affaiblissant","","","","","","","","","","","","","",0xFF01FE,26,9,0,0,0,0,0,
23,0,1,0,0,20,0,0,20,0,0,8692,0,0,"","","Poison de distraction mentale II","","","","","","","","","","","","","",0xFF01FE,26,9,0,0,0,0,0,
24,0,5,0,0,5,0,0,5,0,0,0,0,0,"","","+5 aux points de mana","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
25,0,1,0,0,15,0,0,15,0,0,705,0,0,"","","Huile des ténèbres","","","","","","","","","","","","","",0xFF01FE,1,0,0,0,0,0,0,
26,0,1,0,0,10,0,0,10,0,0,205,0,0,"","","Huile glaciale","","","","","","","","","","","","","",0xFF01FE,27,0,0,0,0,0,0,
27,0,2,0,0,-10,0,0,-10,0,0,0,0,0,"","","Fractionnement","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
28,0,3,0,0,0,0,0,0,0,0,7438,0,0,"","","+4 à toutes les résistances","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
29,0,6,0,0,2,0,0,2,0,0,0,0,0,"","","Croque-roc 1","","","","","","","","","","","","","",0xFF01FE,61,9,0,0,0,0,0,
