long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,,,"charmé(e)",,,,,,,,,,,,,,0xFF01FE,
2,,,"désorienté(e)",,,,,,,,,,,,,,0xFF01FE,
3,,,"désarmé(e)",,,,,,,,,,,,,,0xFF01FE,
4,,,"distrait(e)",,,,,,,,,,,,,,0xFF01FE,
5,,,"en fuite",,,,,,,,,,,,,,0xFF01FE,
6,,,"maladroit(e)",,,,,,,,,,,,,,0xFF01FE,
7,,,"immobilisé(e)",,,,,,,,,,,,,,0xFF01FE,
8,,,"ralenti(e)",,,,,,,,,,,,,,0xFF01FE,
9,,,"réduit(e) au silence",,,,,,,,,,,,,,0xFF01FE,
10,,,"endormi(e)",,,,,,,,,,,,,,0xFF01FE,
11,,,"piégé(e)",,,,,,,,,,,,,,0xFF01FE,
12,,,"étourdi(e)",,,,,,,,,,,,,,0xFF01FE,
13,,,"gelé(e)",,,,,,,,,,,,,,0xFF01FE,
14,,,"stupéfié(e)",,,,,,,,,,,,,,0xFF01FE,
15,,,"sanguinolent(e)",,,,,,,,,,,,,,0xFF01FE,
16,,,"en soin",,,,,,,,,,,,,,0xFF01FE,
17,,,"métamorphosé(e)",,,,,,,,,,,,,,0xFF01FE,
18,,,"banni(e)",,,,,,,,,,,,,,0xFF01FE,
19,,,"protégé(e)",,,,,,,,,,,,,,0xFF01FE,
20,,,"entravé(e)",,,,,,,,,,,,,,0xFF01FE,
21,,,"monté(e)",,,,,,,,,,,,,,0xFF01FE,
22,,,"séduit(e)",,,,,,,,,,,,,,0xFF01FE,
23,,,"repoussé(e)",,,,,,,,,,,,,,0xFF01FE,
24,,,"horrifié(e)",,,,,,,,,,,,,,0xFF01FE,
25,,,"invulnérable",,,,,,,,,,,,,,0xFF01FE,
26,,,"interrompu(e)",,,,,,,,,,,,,,0xFF01FE,
27,,,"hébété(e)",,,,,,,,,,,,,,0xFF01FE,
28,,,"découverte",,,,,,,,,,,,,,0xFF01FE,
29,,,"invulnérable",,,,,,,,,,,,,,0xFF01FE,
30,,,"assommé(e)",,,,,,,,,,,,,,0xFF01FE,
31,,,"enragé(e)",,,,,,,,,,,,,,0xFF01FE,
