long,long,long,long,long,long,long,bool,long,flags,long,long,long,flags,long,long,long,long,long,long,long,long,long,long,long,long,float,float,float,float,float,float,
1,3,1,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
2,2,1,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
3,32,11,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,9161,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
4,6,6,5,0,0,0,1,17,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
5,7,164,1947,0,0,0,0,0,0x0,1,4222,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
6,0,395,0,697,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
7,45,46,9,33,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
8,32,0,0,0,0,0,1,2998,0x2,4,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
9,137,138,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,9162,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
10,114,118,0,87,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
11,17,47,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
12,0,0,0,4689,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
13,194,202,4991,3531,0,0,1,4807,0x0,1,3013,0,0x1,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
14,195,203,0,73,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
15,32,11,0,73,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
16,195,203,24,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
17,195,160,0,285,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
18,31,19,26,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
19,0,6495,3031,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
20,30,38,133,0,0,0,1,52,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
21,0,0,0,12021,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
22,30,38,286,0,0,0,0,0,0x0,1,3011,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
23,0,3595,2614,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
24,35,11,34,33,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
25,12,11,0,79,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
26,35,11,24,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
27,217,218,42,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
28,30,38,145,0,0,0,1,188,0x0,1,1454,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
29,0,44,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
30,0,0,728,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,9171,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
31,30,38,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
32,345,181,56,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
33,60,61,0,235,0,716,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,9173,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
34,0,259,255,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
35,30,38,57,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
36,124,321,282,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
37,223,224,62,292,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
38,345,181,0,66,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
39,0,324,437,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
40,17,47,0,69,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
41,193,191,70,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
42,0,468,83,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
43,0,0,3149,0,0,0,1,2042,0x2,1,3012,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
44,0,75,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
45,0,7224,117,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
46,60,61,76,235,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
47,0,81,10234,108,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
48,64,65,78,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
49,0,84,85,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
50,0,86,90,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
51,0,0,0,409,0,0,0,0,0x0,1,0,0,0x2,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
52,0,91,89,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
53,92,92,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
54,0,0,4990,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
55,0,0,6029,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
56,0,0,0,69,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
57,99,270,98,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
58,100,183,101,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
59,102,103,24,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
60,104,105,24,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
61,195,203,24,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
62,109,110,112,111,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
63,99,270,431,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
64,114,118,7775,0,0,0,1,3493,0x0,1,3015,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
65,0,5150,0,0,0,0,1,2682,0x0,1,0,0,0x1,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
66,0,0,122,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
67,30,38,286,0,0,0,1,365,0x0,1,3011,0,0x1,0,0,-1,100,300,750,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
68,266,267,126,360,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
69,0,127,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
