long,str,str,float,float,float,float,
1,"SeedOfCorruption_State","Spells\SeedOfCorruption_State.mdx",1.0,1.0,0.00999999977648,100.0,
2,"FireBolt Impact Chest","Spells\FireBolt_ImpactDD_Med_Chest.mdx",1.0,1.0,0.00999999977648,100.0,
3,"zzOLD__Heal","Spells\Heal\Heal.mdl",1.0,1.0,0.00999999977648,100.0,
4,"zzOLD__HealCast","Spells\HealCast\HealCast.mdl",1.0,1.0,0.00999999977648,100.0,
6,"Teleport In","Spells\TeleportIn\TeleportIn.mdx",1.0,1.0,0.00999999977648,100.0,
10,"zzOLD__Teleport Cast","Spells\TeleportCast\TeleportCast.mdl",1.0,1.0,0.00999999977648,100.0,
11,"Footstep Spray Snow Run","Particles\FootstepSpraySnow.mdl",1.0,1.0,0.00999999977648,100.0,
12,"Footstep Spray Snow Walk","Particles\FootstepSpraySnowWalk.mdl",1.0,1.0,0.00999999977648,100.0,
14,"HARDCODED Loot Art","Particles\LootFX.mdl",1.0,1.0,0.00999999977648,100.0,
17,"Shadow Precast Low Hand","Spells\Shadow_Precast_Low_Hand.mdx",1.0,1.0,0.00999999977648,100.0,
18,"zzOLD__Death Touch Cast","Spells\DeathTouchCast\DeathTouchCast.mdl",1.0,1.0,0.00999999977648,100.0,
20,"zzOLD__Heal Hands","Spells\HealHands\HealHands.mdl",1.0,1.0,0.00999999977648,100.0,
21,"HARDCODED Unit Level Up","Spells\LevelUp\LevelUp.mdl",1.0,1.0,0.00999999977648,100.0,
23,"zzOLD__FreezingFinger2_Impact_Head","Particles\FreezingFinger2_Impact_Head.MDL",1.0,1.0,0.00999999977648,100.0,
24,"zzOLD__FreezingFinger_Impact_Chest","Particles\FreezingFinger_Impact_Chest.MDL",1.0,1.0,0.00999999977648,100.0,
25,"zzOLD__FreezingFinger_Impact_Base","Particles\FreezingFinger_Impact_Base.MDL",1.0,1.0,0.00999999977648,100.0,
26,"zzOLD__FrostCastConeofCold","Particles\FrostCastConeofCold.MDL",1.0,1.0,0.00999999977648,100.0,
27,"zzOLD__Portal","Spells\Summon03\Summon03.mdl",1.0,1.0,0.00999999977648,100.0,
28,"zzOLD__Numb_Impact_Base","Particles\Numb_Impact_Base.MDL",1.0,1.0,0.00999999977648,100.0,
29,"zzOLD__FreezingCloud_Impact_Base","Particles\FreezingCloud_Impact_Base.MDL",1.0,1.0,0.00999999977648,100.0,
30,"zzOLD__Numb_Precast_Hand","Particles\Numb_Precast_Hand.MDL",1.0,1.0,0.00999999977648,100.0,
32,"zzOLD__FrostBolt Missle","Particles\FrostBolt_Missle.mdl",1.0,1.0,0.00999999977648,100.0,
33,"zzOLD__FrostBlast_Precast_Hand","Particles\FrostBlast_Precast_Hand.MDL",1.0,1.0,0.00999999977648,100.0,
34,"zzOLD__FrostBolt Impact","Particles\FrostBolt_Impact_Chest.mdl",1.0,1.0,0.00999999977648,100.0,
36,"zzOLD__Freeze_Impact_Base","Particles\Freeze_Impact_Base.MDL",1.0,1.0,0.00999999977648,100.0,
37,"zzOLD__Freeze_Impact_Chest","Particles\Freeze_Impact_Chest.MDL",1.0,1.0,0.00999999977648,100.0,
38,"zzOLD__FrostArmor_Impact_Head","Particles\FrostArmor_Impact_Head.MDL",1.0,1.0,0.00999999977648,100.0,
39,"zzOLD__FrostNova_Impact_Chest","Particles\FrostNova_Impact_Chest.MDL",1.0,1.0,0.00999999977648,100.0,
40,"zzOLD__FreezeNova_Impact_Chest","Particles\FreezeNova_Impact_Chest.MDL",1.0,1.0,0.00999999977648,100.0,
41,"zzOLD__FreezingFinger4_Impact_Head","Particles\FreezingFinger4_Impact_Head.mdl",1.0,1.0,0.00999999977648,100.0,
42,"zzOLD__StarStun_State_Head","horse2.mdx",1.0,1.0,0.00999999977648,100.0,
43,"zzOLD__CorrodeArmor_Impact_Head","Particles\CorrodeArmor_Impact_Head.MDL",1.0,1.0,0.00999999977648,100.0,
44,"Earth Burrow Cast (Red)","Spells\BurrowEarth_Hellfire_Missile.mdx",1.0,1.0,0.00999999977648,100.0,
45,"Fire Precast Low Hand","Spells\Fire_Precast_Low_Hand.mdx",1.0,1.0,0.00999999977648,100.0,
46,"zzOLD__BurningBlast_Precast_Base","Particles\BurningBlast_Precast_Base.MDL",1.0,1.0,0.00999999977648,100.0,
47,"Readiness Impact Chest","spells\readiness_impact_chest.mdx",1.0,1.0,0.00999999977648,100.0,
48,"zzOLD__BoltofIce_Impact_Chest","Particles\BoltofIce_Impact_Chest.mdl",1.0,1.0,0.00999999977648,100.0,
49,"zzOLD__FrostBlast_Precast_Base","Particles\FrostBlast_Precast_Base.mdl",1.0,1.0,0.00999999977648,100.0,
50,"StunSwirl State Head","Spells\StunSwirl_State_Head.mdx",1.0,1.0,0.00999999977648,100.0,
51,"zzOLD__WalkofFire","Particles\WalkofFire_area.mdl",2.0,1.0,0.00999999977648,100.0,
53,"zzOLD__Frost_Precast_Base","Particles\Frost_Precast_Base.mdl",1.0,1.0,0.00999999977648,100.0,
54,"Ice Precast Uber Head","Spells\Ice_Precast_Uber_Head.mdx",1.0,1.0,0.00999999977648,100.0,
55,"Combat Blood Spurt Back Large Red","Particles\BloodSpurts\BloodSpurtLarge.mdx",1.0,1.0,0.00999999977648,100.0,
56,"zzOLD__BoltofFire_missle","Particles\BoltofFire_missle.mdl",1.0,1.0,0.00999999977648,100.0,
57,"zzOLD__FireShield_Impact_Base","Particles\FireShield_Impact_Base.mdl",1.0,1.0,0.00999999977648,100.0,
58,"zzOLD__Frost_Cast_Chest","Particles\Frost_Cast_Chest.mdl",1.0,1.0,0.00999999977648,100.0,
59,"zzOLD__Frost_Precast_Chest","Particles\Frost_Precast_Chest.mdl",1.0,1.0,0.00999999977648,100.0,
60,"zzOLD__Frost_Cast_Base","Particles\Frost_Cast_Base.mdl",1.0,1.0,0.00999999977648,100.0,
61,"zzOLD__Frost_Precast3_Base","Particles\Frost_Precast3_Base.mdl",1.0,1.0,0.00999999977648,100.0,
62,"zzOLD__Frost_Cast2_Base","Particles\Frost_Cast2_Base.mdl",1.0,1.0,0.00999999977648,100.0,
63,"zzOLD__Frost_Precast_Low_Hand","particles\coldbreath.mdx",1.0,1.20000004768,0.00999999977648,100.0,
64,"zzOLD__Frost_Cast_Hand","Particles\Frost_Cast_Hand.mdl",1.0,1.0,0.00999999977648,100.0,
65,"zzOLD__BurningBlast_Cast_Base","Particles\BurningBlast_Cast_Base.mdl",1.0,1.0,0.00999999977648,100.0,
66,"zzOLD__FreezingFinger1_Impact_Head","Particles\FreezingFinger1_Impact_Head.mdl",1.0,1.0,0.00999999977648,100.0,
67,"zzOLD__FrostBlast_Cast_Base","Particles\FrostBlast_Cast_Base.mdl",1.0,1.0,0.00999999977648,100.0,
68,"zzOLD__FreezingFinger3_Impact_Head","Particles\FreezingFinger3_Impact_Head.mdl",1.0,1.0,0.00999999977648,100.0,
69,"zzOLD__CircleofFlame_area","Particles\CircleofFlame_area.mdl",1.0,1.0,0.00999999977648,100.0,
70,"Rejuvenation Impact Base","Spells\Rejuvenation_Impact_Base.mdx",1.0,1.0,0.00999999977648,100.0,
71,"zzOLD__Rejuvenation Impact Chest","Particles\NaturesTouch1_Impact_Chest.mdl",1.0,1.0,0.00999999977648,100.0,
72,"zzOLD__Nature_Precast_Base","Particles\Nature_Precast_Base.mdl",1.0,1.0,0.00999999977648,100.0,
73,"Nature Cast Hand","Spells\Nature_Cast_Hand.mdx",1.0,1.0,0.00999999977648,100.0,
74,"CallLightning Impact","Spells\CallLightning_Impact.mdx",1.0,1.0,0.00999999977648,100.0,
75,"zzOLD__FireShield_State_Base","Particles\FireShield_State_Base.mdl",0.0,1.0,0.00999999977648,100.0,
77,"zzOLD__CallStorm_PreCast_Base","Particles\CallStorm_PreCast_Base.mdl",1.0,1.0,0.00999999977648,100.0,
78,"zzOLD__LightningShield_Impact_Chest","Particles\LightningShield_Impact_Chest.mdl",1.0,1.0,0.00999999977648,100.0,
79,"EntanglingRoots_Impact_Base","Particles\EntanglingRoots_Impact_Base.mdl",1.0,1.0,0.00999999977648,100.0,
80,"EntanglingRoots State","Spells\EntanglingRoots_State.mdx",1.0,1.0,0.00999999977648,10.0,
81,"zzOLD__FrostCloud_Cast_Base","Particles\FrostCloud_Cast_Base.mdl",1.0,1.0,0.00999999977648,100.0,
82,"zzOLD__Nature_Cast_Base","Particles\Nature_Cast_Base.mdl",1.0,1.0,0.00999999977648,100.0,
83,"Ice ImpactDD Low Chest","Spells\Ice_ImpactDD_Low_Chest.mdx",1.0,1.0,0.00999999977648,100.0,
84,"zzOLD__IcePrison_State_Base","Particles\IcePrison_State.mdl",1.0,1.0,0.00999999977648,100.0,
85,"zzOLD__Resurrection_Impact_Base","Particles\Resurrection_Impact_Base.mdl",1.0,1.0,0.00999999977648,100.0,
86,"Defensive Stance Impact Chest","Spells\DefensiveStance_Impact_Chest.mdx",1.0,1.0,0.00999999977648,100.0,
87,"zzOLD__LightningShield_Cast_Base","Particles\LightningShield_Cast_Base.mdl",1.0,1.0,0.00999999977648,100.0,
88,"Lightning PreCast Low Hand","Spells\Lightning_PreCast_Low_Hand.mdx",1.0,1.0,0.00999999977648,100.0,
89,"Immolate Impact Chest","Spells\Immolate_Impact_Chest.mdx",1.0,1.0,0.00999999977648,100.0,
90,"SliceDice Impact Chest","Spells\SliceDice_Impact_Chest.mdx",1.0,1.0,0.00999999977648,100.0,
91,"zzOLD__BloodLust_Impact_Base","Particles\BloodLust_Impact_Base.mdl",1.0,1.0,0.00999999977648,100.0,
92,"zzOLD__Dismember_Impact_Chest","Particles\Dismember_Impact_Chest.mdl",1.0,1.0,0.00999999977648,100.0,
93,"ShieldBash Impact Chest","Spells\ShieldBash_Impact_Chest.mdx",1.0,1.0,0.00999999977648,100.0,
94,"BloodLust State Hand","Spells\BloodLust_State_Hand.mdx",1.0,1.0,0.00999999977648,100.0,
