long,long,long,long,float,float,float,float,float,float,
141,2689,1345,17,0.0,0.0,0.0,0.0,0.0,0.0,
161,12940,4477,19,0.0,0.0,0.0,0.0,0.0,0.0,
183,12947,3669,19,0.0,0.0,-3.0,0.0,0.0,0.0,
184,12956,3306,19,0.0,0.0,0.0,0.0,0.0,0.0,
203,12972,5601,-1,5.0,0.0,0.0,0.0,0.0,0.0,
204,12972,4562,-1,2.0,0.0,0.0,0.0,0.0,0.0,
205,12972,3039,-1,8.0,0.0,0.0,0.0,0.0,0.0,
272,12913,5735,19,0.0,0.0,0.20000000298,0.0,0.0,0.0,
278,12995,5531,19,0.0,0.0,-3.0,0.0,0.0,0.0,
280,12995,5393,19,0.0,0.0,1.0,0.0,0.0,0.0,
301,12998,3105,19,0.0,0.0,-3.0,0.0,0.0,0.0,
302,12998,5055,19,0.0,0.0,1.0,0.0,0.0,0.0,
303,13001,5621,19,0.0,0.0,0.0,0.0,0.0,0.0,
306,13004,5623,19,0.0,0.0,0.5,0.0,-3.14159011841,0.0,
307,13004,5623,19,0.0,0.0,0.0,0.0,0.0,0.0,
322,13007,328,-1,0.0,0.0,-2.0,0.0,0.0,0.0,
341,13012,5626,17,0.170000001788,0.0,-0.5,0.0,-1.74532997608,3.14159011841,
361,13014,5628,17,-0.15000000596,0.0,0.25,0.0,-0.174532994628,0.0,
382,12934,5629,17,0.0,0.0,0.0,0.0,0.0,0.0,
401,13022,3736,19,0.0,0.0,0.0,0.0,0.0,0.0,
422,13022,5701,19,0.0,0.0,0.0,0.0,0.0,0.0,
443,12856,5403,1,1.0,0.0,0.0,0.0,0.0,0.0,
444,13038,5504,-1,2.0,0.0,-5.0,0.0,0.0,0.0,
445,13038,3637,-1,2.0,0.0,-5.0,0.0,0.0,0.0,
473,13048,5653,22,0.0,0.0,-0.25,0.0,0.0,0.0,
474,13048,5653,21,0.0,0.0,-0.25,0.0,0.0,0.0,
479,13050,5659,19,0.0,0.0,0.0,0.0,0.0,0.0,
480,13050,2966,19,0.0,0.0,0.0,0.0,0.0,0.0,
481,13050,5656,19,0.0,0.0,0.0,0.0,0.0,0.0,
482,13050,5658,19,0.0,0.0,0.0,0.0,0.0,0.0,
483,13050,5657,19,0.0,0.0,0.0,0.0,0.0,0.0,
501,13061,5665,-1,0.0,0.0,0.0,0.0,0.349065989256,0.0,
521,13063,4295,19,2.0,0.0,1.0,0.0,0.0,0.0,
522,13065,5668,19,2.0,0.0,0.0,0.0,0.0,0.0,
541,13080,3663,21,0.0,-0.15000000596,0.0,0.0,1.57079994678,0.0,
542,13080,3663,22,0.0,0.15000000596,0.0,0.0,1.57079994678,0.0,
561,13092,5690,17,0.0,0.0,0.0,0.0,-1.57079994678,0.0,
562,13092,5690,17,0.0,0.0,0.0,0.0,-1.57079994678,0.0,
581,11124,1862,22,0.0,0.0,0.0,0.0,0.0,0.0,
582,13096,5693,17,0.75,0.0,0.0,0.0,0.0,0.0,
583,13097,5694,40,0.0,0.0,0.0,0.0,0.0,0.0,
609,13122,5700,21,-0.34999999404,0.0,0.0,0.0,-1.57079994678,0.0,
611,13122,5700,21,0.0,0.0,0.0,0.0,-1.57079994678,0.0,
612,13122,5700,22,0.0,0.0,0.0,0.0,-1.57079994678,0.0,
613,13122,5700,22,-0.34999999404,0.0,0.0,0.0,-1.57079994678,0.0,
615,13106,4877,19,0.0,0.0,5.0,0.0,0.0,0.0,
617,13107,5693,19,2.0,0.0,3.0,0.0,0.174532994628,0.0,
621,13125,5700,21,0.0,0.0,0.0,0.0,0.0,0.0,
622,13125,5700,21,0.0,0.0,0.0,0.0,0.0,0.0,
623,13125,5700,21,0.0,0.0,0.0,0.0,0.0,0.0,
701,13155,4223,19,5.0,0.0,0.0,0.0,0.0,0.0,
702,13155,4832,-1,10.0,0.0,0.0,0.0,0.0,0.0,
703,13156,4876,19,0.0,0.0,0.0,0.0,0.0,0.0,
741,13170,5729,-1,0.0,0.0,0.0,0.0,0.349065989256,0.0,
762,12913,5735,19,0.0,0.0,0.20000000298,0.0,0.0,0.0,
763,12912,5733,19,0.0,0.0,0.20000000298,0.0,0.0,0.0,
764,12912,5733,19,0.0,0.0,0.20000000298,0.0,3.14159011841,0.0,
781,13179,5738,-1,0.0,0.0,0.0,0.0,2.00712990761,0.0,
801,13183,5744,34,0.0,0.0,0.0,0.0,3.14159011841,0.0,
802,13184,5744,22,0.34999999404,0.0,0.0,0.0,3.14159011841,0.0,
830,13189,3046,34,0.0,4.0,-3.0,0.0,0.0,0.0,
833,13189,3046,34,0.0,4.0,-3.0,0.0,0.0,0.0,
834,13189,3046,34,0.0,4.0,-3.0,0.0,0.0,0.0,
835,13189,3046,34,0.0,4.0,-3.0,0.0,0.0,0.0,
836,13189,3046,34,0.0,4.0,-3.0,0.0,0.0,0.0,
841,13202,1015,19,0.0,0.0,0.0,0.0,0.0,0.0,
842,13210,5758,19,0.0,0.0,0.0,0.0,0.0,0.0,
843,13205,5759,19,0.0,0.0,0.0,0.0,0.0,0.0,
844,13209,5763,19,0.0,0.0,0.0,0.0,0.0,0.0,
845,13203,4895,19,0.0,0.0,0.0,0.0,0.0,0.0,
861,13215,5765,19,0.0,0.0,0.0,0.0,0.0,0.0,
881,13216,5766,34,0.0,0.0,0.0,0.0,0.0,0.0,
901,12929,5585,19,-0.5,0.0,0.5,0.0,0.0,0.0,
902,12929,5585,19,-0.5,0.0,0.0,0.0,0.0,0.0,
921,13215,4147,19,0.0,0.0,0.0,0.0,0.0,0.0,
945,13228,3693,-1,0.0,3.0,0.0,0.0,0.0,0.0,
946,13228,3693,-1,0.0,-3.0,0.0,0.0,0.0,0.0,
947,13228,3693,-1,3.0,0.0,0.0,0.0,0.0,0.0,
948,13228,3693,-1,-3.0,0.0,0.0,0.0,0.0,0.0,
981,13244,4127,19,0.0,0.0,0.0,0.0,0.0,0.0,
1001,13261,4666,2,0.0500000007451,0.0,0.20000000298,0.0,0.0,0.0,
1003,13261,4666,1,0.0500000007451,0.15000000596,0.15000000596,0.0,0.0,0.0,
1004,13261,4666,17,0.0,0.0,0.10000000149,0.0,0.0,0.0,
1022,13261,4572,9,0.25,0.300000011921,0.0,0.0,0.436331987381,0.0,
1061,1027,625,21,0.0,0.0,0.0,0.0,0.0,0.0,
1081,12598,5523,19,2.0,0.0,0.0,0.0,0.0,0.0,
1101,13286,6799,19,0.0,0.0,0.0,0.0,1.57079994678,0.0,
1121,12946,5813,19,0.0,0.0,0.5,0.0,0.0,0.0,
1122,12944,5815,19,0.0,0.0,0.0,0.0,0.0,0.0,
1124,12944,5815,19,0.0,0.0,0.0,0.0,0.0,0.0,
1129,12944,5815,19,0.0,0.0,0.0,0.0,0.0,0.0,
1133,12946,5816,19,0.0,0.0,0.0,0.0,0.0,0.0,
1134,13299,3489,19,0.0,0.0,-2.40000009537,0.0,0.0,0.0,
1141,13301,1345,21,0.0,0.0,-0.300000011921,0.0,1.57079994678,0.0,
1161,13317,5277,47,0.0,0.0,0.0,0.0,0.0,0.0,
1162,13317,5277,48,0.0,0.0,0.0,0.0,0.0,0.0,
1181,13318,4409,19,0.0,0.0,0.0,0.0,1.30900001526,0.0,
1223,13322,5492,-1,0.0,0.0,0.0,0.0,0.0,0.0,
1224,13322,5492,-1,0.0,0.0,0.0,1.57079994678,0.0,0.0,
1225,13322,5492,-1,0.0,0.0,0.0,3.14159011841,0.0,0.0,
1226,13322,5492,-1,0.0,0.0,0.0,4.71238994598,0.0,0.0,
1227,13322,5492,-1,0.0,0.0,0.0,0.785398006439,0.0,0.0,
1228,13322,5492,-1,0.0,0.0,0.0,2.3561899662,0.0,0.0,
1229,13322,5492,-1,0.0,0.0,0.0,3.9269900322,0.0,0.0,
1230,13322,5492,-1,0.0,0.0,0.0,5.49778985977,0.0,0.0,
1241,13324,5043,34,0.0,0.0,0.0,0.0,-1.57079994678,0.0,
1261,13334,3075,34,0.0,0.0,0.0,0.0,0.0,0.0,
1262,13335,5829,17,0.0,0.0,0.0,0.0,0.0,0.0,
1321,13353,6127,16,0.0500000007451,0.0,-0.600000023842,0.0,-1.57079994678,0.0,
1322,13354,5837,34,-0.5,0.0,-0.600000023842,0.0,0.0,0.0,
1341,13360,5838,17,-0.34999999404,0.0,0.40000000596,0.0,-0.349065989256,0.0,
1361,13361,6440,16,-1.0,0.0,2.40000009537,0.0,-1.57079994678,0.0,
1362,13362,5845,39,0.0,0.0,-0.20000000298,0.0,0.0,0.0,
1363,13363,5840,16,0.0,-1.0,2.5,0.0,0.0,0.0,
1364,4849,389,17,1.0,0.0,0.0,0.0,0.0,1.57079994678,
1365,4849,389,17,1.0,0.0,0.0,0.0,0.0,4.71238994598,
1366,4849,3902,23,0.75,0.0,0.5,0.0,0.0,0.0,
1367,13364,5842,23,0.0,0.0,0.0,0.0,0.61086499691,0.0,
1381,13364,5842,23,0.0,0.0,0.0,0.0,0.61086499691,0.0,
1382,13361,6441,16,2.0,0.0,0.0,-1.57079994678,0.0,0.0,
1383,13361,6440,16,-2.0,-1.0,2.5,0.0,1.57079994678,0.0,
1384,13361,6440,16,-3.0,-1.0,4.0,0.0,-1.39626002312,0.0,
1386,13361,6440,16,-1.0,1.0,3.40000009537,0.0,-1.57079994678,0.0,
1401,13374,3891,23,0.0,0.0,0.0,0.0,0.0,0.0,
1402,13375,5842,23,0.0,0.0,0.0,0.0,0.349065989256,0.0,
1403,4909,1643,19,0.0,0.0,0.0,0.0,0.523599028587,0.0,
1404,13377,4251,34,10.0,0.0,0.0,0.0,1.57079994678,0.0,
1444,13388,5852,19,1.0,0.0,-5.0,0.0,0.0,0.0,
1445,13388,5852,19,0.0,0.0,-5.0,0.0,0.0,0.0,
1446,13388,5852,19,3.0,0.0,-6.0,0.0,0.0,0.0,
1461,13391,5856,19,0.0,0.0,0.0,0.0,0.0,0.0,
1462,13392,5857,19,0.0,0.0,0.0,0.0,0.0,0.0,
1463,13393,5859,21,0.0,0.0,0.0,0.698131978512,0.0,0.0,
1464,13393,3902,21,0.0,0.0,0.0,0.0,0.0,0.0,
1465,13394,5858,22,1.0,0.0,0.0,0.0,0.0,0.0,
1486,13407,5867,19,0.0,0.0,0.0,3.14159011841,0.0,0.0,
1487,13408,5866,19,0.0,0.0,0.0,0.0,0.0,0.0,
1493,13407,5867,19,0.0,0.0,0.0,0.0,0.0,0.0,
1494,13409,2663,34,0.0,0.0,0.0,0.0,0.0,0.0,
1495,13409,214,34,0.0,0.0,0.0,0.0,0.0,0.0,
1501,13411,5872,1,2.0,0.10000000149,0.0,0.0,0.0,0.0,
1502,13414,3408,1,2.0,0.10000000149,0.0,0.0,0.0,0.0,
1521,13402,5873,22,-0.300000011921,0.0,0.0,0.0,1.57079994678,0.0,
1522,13402,5532,22,0.0,0.0,0.0,0.0,0.0,0.0,
1523,13412,5137,17,0.0,0.0,0.0,0.0,0.0,0.0,
1524,13412,5875,17,-0.25,0.0,-0.10000000149,0.0,0.0,0.0,
1525,13420,5876,34,0.0,0.0,0.0,0.0,0.0,0.0,
1541,13424,1054,34,0.0,0.0,0.0,0.0,0.0,0.0,
1563,13378,5882,17,0.0,0.0,0.0,0.0,-0.401425987482,0.0,
1564,13378,5882,17,0.0,0.0,0.0,0.0,-0.436331987381,0.0,
1565,13378,5882,17,0.0,0.0,0.0,0.0,-0.401425987482,0.0,
1566,13378,5882,17,0.0,0.0,0.0,0.0,-0.383971989155,0.0,
1581,13430,5895,34,0.0,0.0,0.0,0.0,1.57079994678,0.0,
1582,13431,127,34,0.0,0.0,0.0,0.0,0.0,0.0,
1583,13432,5886,34,0.0,0.0,0.0,0.0,0.0,0.0,
1622,13434,3993,19,0.0,0.0,0.0,0.0,0.0,0.0,
1641,13437,5277,47,0.0,0.0,0.0,0.0,0.0,0.0,
