long,long,float,float,float,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,
1,0,-8888.98046875,-0.540000021458,94.3899993896,,,"Abbaye de Comté-du-nord",,,,,,,,,,,,,,0xFF01FE,308,0,
2,0,-8840.55957031,489.700012207,109.61000061,,,"Hurlevent, Elwynn",,,,,,,,,,,,,,0xFF01FE,0,541,
3,0,16391.8105469,16341.2099609,69.4400024414,,,"Île des programmeurs",,,,,,,,,,,,,,0xFF01FE,308,0,
4,0,-10629.2900391,1036.94995117,34.0200004578,,,"Colline des sentinelles, marche de l'Ouest",,,,,,,,,,,,,,0xFF01FE,0,541,
5,0,-9429.09960938,-2231.39990234,68.6500015259,,,"Comté-du-lac, les Carmines",,,,,,,,,,,,,,0xFF01FE,0,541,
6,0,-4821.77978516,-1155.43994141,502.209991455,,,"Forgefer, Dun Morogh",,,,,,,,,,,,,,0xFF01FE,0,541,
7,0,-3792.26000977,-783.289978027,9.06000041962,,,"Port de Menethil, les Paluns",,,,,,,,,,,,,,0xFF01FE,0,541,
8,0,-5421.91015625,-2930.01000977,347.25,,,"Thelsamar, Loch Modan",,,,,,,,,,,,,,0xFF01FE,0,541,
9,0,-14271.7695313,299.869995117,31.0900001526,,,"Baie-du-Butin, Strangleronce",,,,,,,,,,,,,,0xFF01FE,541,0,
10,0,478.859985352,1536.58996582,131.320007324,,,"Le Sépulcre, forêt des Pins argentés",,,,,,,,,,,,,,0xFF01FE,3574,0,
11,0,1568.61999512,267.970001221,-43.0999984741,,,"Fossoyeuse, Tirisfal",,,,,,,,,,,,,,0xFF01FE,3574,0,
12,0,-10515.4599609,-1261.65002441,41.3400001526,,,"Sombre-comté, bois de la Pénombre",,,,,,,,,,,,,,0xFF01FE,0,541,
13,0,-0.0599999986589,-859.909973145,58.8300018311,,,"Moulin-de-Tarren, Hautebrande",,,,,,,,,,,,,,0xFF01FE,3574,0,
14,0,-711.479980469,-515.479980469,26.1100006104,,,"Austrivage, Hautebrande",,,,,,,,,,,,,,0xFF01FE,0,541,
15,0,2253.39990234,-5344.89990234,83.3799972534,,,"Maleterres de l'est",,,,,,,,,,,,,,0xFF01FE,541,0,
16,0,-1240.5300293,-2515.11010742,22.1599998474,,,"Refuge de l'Ornière, Arathi",,,,,,,,,,,,,,0xFF01FE,0,541,
17,0,-916.289978027,-3496.88989258,70.4499969482,,,"Trépas-d'Orgrim, Arathi",,,,,,,,,,,,,,0xFF01FE,2224,0,
18,0,-14444.2900391,509.619995117,26.2000007629,,,"Baie-du-Butin, Strangleronce",,,,,,,,,,,,,,0xFF01FE,2224,0,
19,0,-14473.0498047,464.149993896,36.4300003052,,,"Baie-du-Butin, Strangleronce",,,,,,,,,,,,,,0xFF01FE,0,541,
20,0,-12414.1796875,146.289993286,3.27999997139,,,"Grom'gol, Strangleronce",,,,,,,,,,,,,,0xFF01FE,2224,0,
21,0,-6633.99023438,-2180.05004883,244.13999939,,,"Kargath, Terres ingrates",,,,,,,,,,,,,,0xFF01FE,2224,0,
22,1,-1197.20996094,29.7099990845,176.949996948,,,"Les Pitons du Tonnerre, Mulgore",,,,,,,,,,,,,,0xFF01FE,2224,0,
23,1,1677.58996582,-4315.70996094,61.1699981689,,,"Orgrimmar, Durotar",,,,,,,,,,,,,,0xFF01FE,2224,0,
24,0,-6666.0,-2222.30004883,278.600006104,,,"Générique, cible monde 002",,,,,,,,,,,,,,0xFF01FE,0,0,
25,1,-441.799987793,-2596.08007813,96.0599975586,,,"La Croisée, Tarides",,,,,,,,,,,,,,0xFF01FE,2224,0,
26,1,6341.37988281,557.679992676,16.2900009155,,,"Auberdine, Sombrivage",,,,,,,,,,,,,,0xFF01FE,0,3837,
27,1,8643.58984375,841.049987793,23.2999992371,,,"Rut'theran, Teldrassil",,,,,,,,,,,,,,0xFF01FE,0,3837,
28,1,2827.34008789,-289.239990234,107.160003662,,,"Astranaar, Orneval",,,,,,,,,,,,,,0xFF01FE,0,3837,
29,1,966.570007324,1040.31994629,104.269996643,,,"Retraite de Roche-Soleil, Serres-Rocheuses",,,,,,,,,,,,,,0xFF01FE,2224,0,
30,1,-5407.70996094,-2414.30004883,90.3199996948,,,"Poste de Librevent, Mille Pointes",,,,,,,,,,,,,,0xFF01FE,2224,0,
31,1,-4491.87988281,-775.890014648,-39.5200004578,,,"Thalanaar, Féralas",,,,,,,,,,,,,,0xFF01FE,0,3837,
32,1,-3825.37011719,-4516.58007813,10.4399995804,,,"Theramore, marécage d'Âprefange",,,,,,,,,,,,,,0xFF01FE,0,541,
33,1,2681.12988281,1461.68005371,232.880004883,,,"Pic des Serres-Rocheuses, Serres-Rocheuses",,,,,,,,,,,,,,0xFF01FE,0,3837,
34,1,-1965.17004395,-5824.29003906,-1.05999994278,,,"Transport, Baie-du-Butin",,,,,,,,,,,,,,0xFF01FE,0,0,
35,1,1320.06994629,-4649.20019531,21.5699996948,,,"Transport, Orgrimmar",,,,,,,,,,,,,,0xFF01FE,0,0,
36,0,-8644.62011719,433.279998779,59.4599990845,,,"Générique, cible monde 001",,,,,,,,,,,,,,0xFF01FE,15665,0,
37,1,139.240005493,1325.81994629,193.5,,,"Combe de Nijel, Désolace",,,,,,,,,,,,,,0xFF01FE,0,3837,
38,1,-1767.64001465,3263.88989258,4.94000005722,,,"Proie-de-l'Ombre, Désolace",,,,,,,,,,,,,,0xFF01FE,2224,0,
39,1,-7223.97021484,-3734.59008789,8.39000034332,,,"Gadgetzan, Tanaris",,,,,,,,,,,,,,0xFF01FE,0,541,
40,1,-7048.89013672,-3780.36010742,10.1899995804,,,"Gadgetzan, Tanaris",,,,,,,,,,,,,,0xFF01FE,2224,0,
41,1,-4373.79980469,3338.64990234,12.2700004578,,,"Pennelune, Féralas",,,,,,,,,,,,,,0xFF01FE,0,3837,
42,1,-4419.85986328,199.309997559,25.0599994659,,,"Camp Mojache, Féralas",,,,,,,,,,,,,,0xFF01FE,2224,0,
43,0,283.739990234,-2002.76000977,194.740005493,,,"Nid-de-l'Aigle, les Hinterlands",,,,,,,,,,,,,,0xFF01FE,0,541,
44,1,3661.52001953,-4390.37988281,113.050003052,,,"Valormok, Azshara",,,,,,,,,,,,,,0xFF01FE,2224,0,
45,0,-11112.25,-3435.73999023,79.0899963379,,,"Rempart-du-Néant, Terres foudroyées",,,,,,,,,,,,,,0xFF01FE,0,541,
46,0,-986.429992676,-547.859985352,-3.8599998951,,,"Transport, Austrivage",,,,,,,,,,,,,,0xFF01FE,0,0,
47,0,-12418.7695313,235.429992676,1.12000000477,,,"Transport, Grom'gol",,,,,,,,,,,,,,0xFF01FE,0,0,
48,1,5068.39990234,-337.220001221,367.410003662,,,"Poste de la Vénéneuse, Gangrebois",,,,,,,,,,,,,,0xFF01FE,2224,0,
49,1,7458.45019531,-2487.20996094,462.329986572,,,"Reflet-de-Lune",,,,,,,,,,,,,,0xFF01FE,0,3837,
50,0,0.0,0.0,0.0,,,"Transport, port de Menethil",,,,,,,,,,,,,,0xFF01FE,0,0,
51,0,0.0,0.0,0.0,,,"Transport, Auberdine",,,,,,,,,,,,,,0xFF01FE,0,0,
52,1,6796.79980469,-4742.39013672,701.5,,,"Long-guet, Berceau-de-l'Hiver",,,,,,,,,,,,,,0xFF01FE,0,3837,
53,1,6813.06005859,-4611.12011719,710.66998291,,,"Long-guet, Berceau-de-l'Hiver",,,,,,,,,,,,,,0xFF01FE,2224,0,
54,1,-4203.87011719,3284.0,-12.8599996567,,,"Transport, Pennelune",,,,,,,,,,,,,,0xFF01FE,0,0,
55,1,-3147.38989258,-2842.17993164,34.6100006104,,,"Mur-de-Fougères, marécage d'Âprefange",,,,,,,,,,,,,,0xFF01FE,2224,0,
56,0,-10456.9697266,-3279.25,21.3500003815,,,"Pierrêche, marais des Chagrins",,,,,,,,,,,,,,0xFF01FE,2224,0,
57,1,8701.50976563,991.369995117,14.2100000381,,,"Village de pêcheurs, Teldrassil",,,,,,,,,,,,,,0xFF01FE,0,3837,
58,1,3374.70996094,996.969970703,5.19000005722,,,"Avant-poste de Zoram'gar, Orneval",,,,,,,,,,,,,,0xFF01FE,2224,0,
59,30,574.210021973,-46.6500015259,37.6100006104,,,"Dun Baldar, vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,0,541,
60,30,-1335.43994141,-319.690002441,90.6600036621,,,"Donjon Loup-de-givre, vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,3574,0,
61,1,2302.38989258,-2524.55004883,104.400001526,,,"Poste de Bois-brisé, Orneval",,,,,,,,,,,,,,0xFF01FE,2224,0,
62,1,7793.60986328,-2403.4699707,489.320007324,,,"Havrenuit, Reflet-de-Lune",,,,,,,,,,,,,,0xFF01FE,0,3837,
63,1,7787.72021484,-2404.10009766,489.559997559,,,"Havrenuit, Reflet-de-Lune",,,,,,,,,,,,,,0xFF01FE,2224,0,
64,1,2721.98999023,-3880.63989258,100.870002747,,,"Halte de Talrendis, Azshara",,,,,,,,,,,,,,0xFF01FE,0,3837,
65,1,6205.87988281,-1949.63000488,571.289978027,,,"Clairière de Griffebranche, Gangrebois",,,,,,,,,,,,,,0xFF01FE,0,3837,
66,0,931.320007324,-1430.10998535,64.6699981689,,,"Camp du Noroît, Maleterres de l'ouest",,,,,,,,,,,,,,0xFF01FE,0,541,
67,0,2271.09008789,-5340.79980469,87.1100006104,,,"Chapelle de l'Espoir de Lumière, Maleterres de l'est",,,,,,,,,,,,,,0xFF01FE,0,541,
68,0,2327.40991211,-5286.89013672,81.7799987793,,,"Chapelle de l'Espoir de Lumière, Maleterres de l'est",,,,,,,,,,,,,,0xFF01FE,3574,0,
69,1,7470.39013672,-2123.37988281,492.339996338,,,"Reflet-de-Lune",,,,,,,,,,,,,,0xFF01FE,2224,0,
70,0,-7504.02978516,-2187.54003906,165.529998779,,,"Corniche des flammes, Steppes ardentes",,,,,,,,,,,,,,0xFF01FE,2224,0,
71,0,-8364.61035156,-2738.35009766,185.460006714,,,"Veille de Morgan, Steppes ardentes",,,,,,,,,,,,,,0xFF01FE,0,541,
72,1,-6811.39013672,836.739990234,49.8100013733,,,"Fort cénarien, Silithus",,,,,,,,,,,,,,0xFF01FE,2224,0,
73,1,-6761.83007813,772.030029297,88.9100036621,,,"Fort cénarien, Silithus",,,,,,,,,,,,,,0xFF01FE,0,3837,
74,0,-6552.58984375,-1168.27001953,309.309997559,,,"Halte du Thorium, gorge des Vents brûlants",,,,,,,,,,,,,,0xFF01FE,0,541,
75,0,-6554.93017578,-1100.05004883,309.570007324,,,"Halte du Thorium, gorge des Vents brûlants",,,,,,,,,,,,,,0xFF01FE,2224,0,
76,0,-635.260009766,-4720.5,5.38000011444,,,"Village des Vengebroches, les Hinterlands",,,,,,,,,,,,,,0xFF01FE,2224,0,
77,1,-2380.66992188,-1882.67004395,95.8499984741,,,"Camp Taurajo, les Tarides",,,,,,,,,,,,,,0xFF01FE,2224,0,
78,0,3133.31005859,-3399.92993164,139.529998779,,,"Naxxramas",,,,,,,,,,,,,,0xFF01FE,0,0,
79,1,-6113.81982422,-1142.69995117,-187.630004883,,,"Refuge des Marshal, cratère d'Un'Goro",,,,,,,,,,,,,,0xFF01FE,2224,541,
80,1,-894.590026855,-3773.01000977,11.4799995422,,,"Cabestan, les Tarides",,,,,,,,,,,,,,0xFF01FE,2224,541,
81,131074,0.0,0.0,0.0,,,"Enregistrement",,,,,,,,,,,,,,0xFF01FE,0,0,
82,530,9375.24023438,-7165.89013672,9.02999973297,,,"Lune-d'argent",,,,,,,,,,,,,,0xFF01FE,19917,0,
83,530,7594.47021484,-6784.29003906,86.4599990845,,,"Tranquillien, Terres fantômes",,,,,,,,,,,,,,0xFF01FE,19917,0,
84,0,2998.70996094,-3050.10009766,117.190002441,,,"Tour de Pestebois, Maleterres de l'est",,,,,,,,,,,,,,0xFF01FE,32942,32942,
85,0,3109.31005859,-4285.12988281,109.449996948,,,"Tour du Col du nord, Maleterres de l'est",,,,,,,,,,,,,,0xFF01FE,3574,541,
86,0,2499.22998047,-4742.85009766,93.5,,,"Tour du Mur d'est, Maleterres de l'est",,,,,,,,,,,,,,0xFF01FE,3574,541,
87,0,1857.56005859,-3658.4699707,143.729995728,,,"Tour de garde de la couronne, Maleterres de l'est",,,,,,,,,,,,,,0xFF01FE,3574,541,
88,530,-4284.00976563,-11194.7402344,13.0100002289,,,"Transport, Exodar",,,,,,,,,,,,,,0xFF01FE,0,0,
89,0,0.0,0.0,0.0,,,"Transport, Theramore",,,,,,,,,,,,,,0xFF01FE,0,0,
90,9770568,0.0,0.0,0.0,,,"Transport, Fossoyeuse",,,,,,,,,,,,,,0xFF01FE,0,0,
91,530,-3996.01000977,-11892.9697266,0.219999998808,,,"Quête - chaman Brume-azur cible",,,,,,,,,,,,,,0xFF01FE,0,0,
92,530,-3679.31005859,-11413.0400391,310.570007324,,,"Quête - chaman Brume-azur début",,,,,,,,,,,,,,0xFF01FE,0,0,
93,530,-1933.27001953,-11954.6103516,57.1899986267,,,"Guet du sang, île de Brume-sang",,,,,,,,,,,,,,0xFF01FE,0,3837,
94,530,-4054.88989258,-11793.3496094,9.05000019073,,,"L'Exodar",,,,,,,,,,,,,,0xFF01FE,0,3837,
95,530,-146.289993286,5532.56005859,30.8899993896,,,"Marécage de Zangar - Quête - A vol d'oiseau",,,,,,,,,,,,,,0xFF01FE,17972,0,
96,530,-145.229995728,5533.02978516,30.9500007629,,,"Marécage de Zangar - Quête - A vol d'oiseau - fin",,,,,,,,,,,,,,0xFF01FE,0,0,
97,530,-3968.37011719,-11929.1503906,-1.22000002861,,,"Quête - Chemin de l'elekk vers Kessel",,,,,,,,,,,,,,0xFF01FE,0,18167,
98,530,-2662.30004883,-12144.5996094,16.9099998474,,,"Quête - Elekk vers la cible de Kessel",,,,,,,,,,,,,,0xFF01FE,0,0,
99,530,228.5,2633.57006836,87.6699981689,,,"Thrallmar, péninsule des Flammes infernales",,,,,,,,,,,,,,0xFF01FE,2224,0,
100,530,-673.41998291,2717.27001953,94.1800003052,,,"Bastion de l'Honneur, péninsule des Flammes infernales",,,,,,,,,,,,,,0xFF01FE,0,541,
101,530,199.160003662,4241.56005859,121.75,,,"Temple de Telhamat, péninsule des Flammes infernales",,,,,,,,,,,,,,0xFF01FE,0,3837,
102,530,-587.409973145,4101.00976563,91.3700027466,,,"Guet de l'épervier, péninsule des Flammes infernales",,,,,,,,,,,,,,0xFF01FE,2224,0,
103,530,-1810.16003418,8032.10986328,-25.9500007629,,,"Nagrand - JcJ - Trajet offensif Départ 1",,,,,,,,,,,,,,0xFF01FE,18345,18345,
104,530,-1824.18005371,8049.29003906,-26.8500003815,,,"Nagrand - JcJ - Trajet offensif Arrivée 1",,,,,,,,,,,,,,0xFF01FE,13161,13161,
105,530,-1513.40002441,8140.93017578,-19.6000003815,,,"Nagrand - JcJ - Trajet offensif Départ 2",,,,,,,,,,,,,,0xFF01FE,18345,18345,
106,530,-1511.26000977,8149.70996094,-18.5799999237,,,"Nagrand - JcJ - Trajet offensif Arrivée 2",,,,,,,,,,,,,,0xFF01FE,541,541,
107,530,-1387.06994629,7782.41015625,-11.470000267,,,"Nagrand - JcJ - Trajet offensif Départ 3",,,,,,,,,,,,,,0xFF01FE,18345,18345,
108,530,-1376.7199707,7771.16992187,-10.0799999237,,,"Nagrand - JcJ - Trajet offensif Arrivée 3",,,,,,,,,,,,,,0xFF01FE,541,541,
109,530,-1656.59997559,7724.91015625,-15.5900001526,,,"Nagrand - JcJ - Trajet offensif Départ 4",,,,,,,,,,,,,,0xFF01FE,18345,18345,
110,530,-1658.90002441,7724.70996094,-15.7899999619,,,"Nagrand - JcJ - Trajet offensif Arrivée 4",,,,,,,,,,,,,,0xFF01FE,541,541,
111,530,9335.83007813,-7883.06982422,74.9100036621,,,"Téléporteur Chants éternels - Ternesoir",,,,,,,,,,,,,,0xFF01FE,18392,18392,
112,530,9335.66992188,-7809.70996094,136.570007324,,,"Arrivée du téléporteur Chants éternels - Ternesoir",,,,,,,,,,,,,,0xFF01FE,17972,17972,
113,530,-1544.35998535,8792.0703125,35.2200012207,,,"Quête - Néanstradamus départ",,,,,,,,,,,,,,0xFF01FE,18543,18543,
114,530,-1544.35998535,8792.08984375,35.2200012207,,,"Quête - Néanstradamus arrivée cible",,,,,,,,,,,,,,0xFF01FE,0,0,
115,560,2384.72998047,1169.38000488,66.8600006104,,,"Quête - Grottes du temps - VH - Début",,,,,,,,,,,,,,0xFF01FE,18768,18768,
116,560,2014.65002441,239.649993896,68.5199966431,,,"Quête - Grottes du temps - VH - Fin",,,,,,,,,,,,,,0xFF01FE,0,0,
117,530,213.75,6063.75,148.309997559,,,"Telredor, marécage de Zangar",,,,,,,,,,,,,,0xFF01FE,0,3837,
118,530,219.449996948,7816.0,22.7199993134,,,"Zabra'jin, marécage de Zangar",,,,,,,,,,,,,,0xFF01FE,2224,2224,
119,530,-2729.0,7305.29980469,88.6399993896,,,"Telaar, Nagrand",,,,,,,,,,,,,,0xFF01FE,0,3837,
120,530,-1261.08996582,7133.39013672,57.3400001526,,,"Garadar, Nagrand",,,,,,,,,,,,,,0xFF01FE,2224,0,
121,530,-2987.23999023,3872.7800293,9.13000011444,,,"Bastion allérien, forêt de Terokkar",,,,,,,,,,,,,,0xFF01FE,0,541,
122,530,3082.31005859,3596.11010742,144.020004272,,,"Zone 52, Raz-de-Néant",,,,,,,,,,,,,,0xFF01FE,2224,541,
123,530,-3018.62011719,2557.09008789,79.0899963379,,,"Village d'Ombrelune, vallée d'Ombrelune",,,,,,,,,,,,,,0xFF01FE,2224,0,
124,530,-3982.07006836,2156.4699707,105.150001526,,,"Bastion Marteau-hardi, vallée d'Ombrelune",,,,,,,,,,,,,,0xFF01FE,0,541,
125,530,2183.64990234,6794.45996094,183.279998779,,,"Sylvanaar, les Tranchantes",,,,,,,,,,,,,,0xFF01FE,0,3837,
