long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,
1,,,"Couteau à dépecer (OLD)",,,,,,,,,,,,,,0xFF01FE,1,1,
2,,,"Totem de terre",,,,,,,,,,,,,,0xFF01FE,2,1,
3,,,"Totem d'air",,,,,,,,,,,,,,0xFF01FE,2,2,
4,,,"Totem de feu",,,,,,,,,,,,,,0xFF01FE,2,4,
5,,,"Totem d'eau",,,,,,,,,,,,,,0xFF01FE,2,8,
6,,,"Bâtonnet runique en cuivre",,,,,,,,,,,,,,0xFF01FE,3,1,
7,,,"Bâtonnet runique en argent",,,,,,,,,,,,,,0xFF01FE,3,3,
8,,,"Bâtonnet runique en or",,,,,,,,,,,,,,0xFF01FE,3,7,
9,,,"Bâtonnet runique en vrai-argent",,,,,,,,,,,,,,0xFF01FE,3,15,
10,,,"Bâtonnet runique en arcanite",,,,,,,,,,,,,,0xFF01FE,3,31,
11,,,"Pioche de mineur (OLD)",,,,,,,,,,,,,,0xFF01FE,21,1,
12,,,"Pierre philosophale",,,,,,,,,,,,,,0xFF01FE,22,1,
13,,,"Marteau de forgeron (VIEUX)",,,,,,,,,,,,,,0xFF01FE,23,1,
14,,,"Clé plate",,,,,,,,,,,,,,0xFF01FE,24,1,
15,,,"Micro-ajusteur gyromatique",,,,,,,,,,,,,,0xFF01FE,24,2,
21,,,"Totem maître",,,,,,,,,,,,,,0xFF01FE,2,15,
41,,,"Bâtonnet runique en gangrefer",,,,,,,,,,,,,,0xFF01FE,3,63,
62,,,"Bâtonnet runique en adamantite",,,,,,,,,,,,,,0xFF01FE,3,127,
63,,,"Bâtonnet runique en éternium",,,,,,,,,,,,,,0xFF01FE,3,255,
81,,,"Plume creuse",,,,,,,,,,,,,,0xFF01FE,22,4,
101,,,"Bâtonnet runique en azurite",,,,,,,,,,,,,,0xFF01FE,3,511,
121,,,"Coffret de calligraphie de virtuose",,,,,,,,,,,,,,0xFF01FE,24,-2147483648,
141,,,"Tambours",,,,,,,,,,,,,,0xFF01FE,24,1073741824,
161,,,"Couteau de l'armée gnome",,,,,,,,,,,,,,0xFF01FE,24,63,
162,,,"Marteau de forgeron",,,,,,,,,,,,,,0xFF01FE,24,4,
165,,,"Pioche de mineur",,,,,,,,,,,,,,0xFF01FE,24,8,
166,,,"Couteau à dépecer",,,,,,,,,,,,,,0xFF01FE,24,16,
167,,,"Pioche-marteau",,,,,,,,,,,,,,0xFF01FE,24,12,
168,,,"Pioche à lame",,,,,,,,,,,,,,0xFF01FE,24,24,
169,,,"Silex et amadou",,,,,,,,,,,,,,0xFF01FE,24,32,
189,,,"Bâtonnet runique en cobalt (NE PAS UTILISER)",,,,,,,,,,,,,,0xFF01FE,3,511,
190,,,"Bâtonnet runique en titane",,,,,,,,,,,,,,0xFF01FE,3,1023,
