long,long,long,flags,str,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,str,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,long,long,None,
220,0,0,0x40,"Interface\WorldStateFrame\DreadLordIcon",,,"L'ennemi contrôle Fossoyeuse !",,,,,,,,,,,,,,0xFF01FE,,,"Varimathras et le grand apothicaire Putrescin se sont emparés de Fossoyeuse !",,,,,,,,,,,,,,0xFF01FE,3878,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
233,0,0,0x80,"Interface\WorldStateFrame\SkullBones",,,"L'ennemi contrôle Fossoyeuse !",,,,,,,,,,,,,,0xFF01FE,,,"Le grand apothicaire Putrescin et Varimathras se sont emparés de Fossoyeuse !",,,,,,,,,,,,,,0xFF01FE,3963,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
260,0,0,0x100,"Interface\TargetingFrame\UI-PVP-Alliance",,,"L'opération Gnomeregan est en cours.",,,,,,,,,,,,,,0xFF01FE,,,"L'opération Gnomeregan est en cours.",,,,,,,,,,,,,,0xFF01FE,4981,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
264,0,0,0x100,"Interface\TargetingFrame\UI-PVP-Alliance",,,"Les gnomes contrôlent l'aérodrome !",,,,,,,,,,,,,,0xFF01FE,,,"Les gnomes contrôlent l'aérodrome !",,,,,,,,,,,,,,0xFF01FE,5044,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
266,0,0,0x100,"Interface\TargetingFrame\UI-PVP-Alliance",,,"Les gnomes contrôlent l'aérodrome et le poste de commandement.",,,,,,,,,,,,,,0xFF01FE,,,"Les gnomes ont sécurisé l'aérodrome et le poste de commandement de la surface.",,,,,,,,,,,,,,0xFF01FE,5043,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
268,0,0,0x100,"Interface\TargetingFrame\UI-PVP-Alliance",,,"Les gnomes contrôlent la surface de Gnomeregan.",,,,,,,,,,,,,,0xFF01FE,,,"L'entrée de Gnomeregan, l'aérodrome et le poste de commandement sont sécurisés.",,,,,,,,,,,,,,0xFF01FE,5045,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
270,0,0,0x100,"Interface\TargetingFrame\UI-PVP-Alliance",,,"Les tunnels de Gnomeregan sont sécurisés.",,,,,,,,,,,,,,0xFF01FE,,,"Les tunnels de Gnomeregan sont sécurisés.",,,,,,,,,,,,,,0xFF01FE,5011,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
262,0,0,0x100,"Interface\WorldStateFrame\CombatSwords",,,"Aidez les troupes de Gnomeregan dans le complexe technique.",,,,,,,,,,,,,,0xFF01FE,,,"Aidez les troupes de Gnomeregan dans le complexe technique.",,,,,,,,,,,,,,0xFF01FE,5018,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
263,0,0,0x100,"Interface\WorldStateFrame\CombatSwords",,,"L'aérodrome est attaqué.",,,,,,,,,,,,,,0xFF01FE,,,"Aider les troupes de Gnomeregan à l'aérodrome !",,,,,,,,,,,,,,0xFF01FE,5039,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
267,0,0,0x100,"Interface\WorldStateFrame\CombatSwords",,,"Les troupes se battent pour l'entrée de Gnomeregan.",,,,,,,,,,,,,,0xFF01FE,,,"Aider les troupes de Gnomeregan à l'entrée de Gnomeregan.",,,,,,,,,,,,,,0xFF01FE,5019,0,"Interface\WorldStateFrame\CombatSwords",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
269,0,0,0x100,"Interface\WorldStateFrame\CombatSwords",,,"Les troupes combattent dans les tunnels de Gnomeregan.",,,,,,,,,,,,,,0xFF01FE,,,"Aider la troupe d'attaque dans les tunnels de Gnomeregan.",,,,,,,,,,,,,,0xFF01FE,5021,0,"Interface\WorldStateFrame\CombatSwords",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
261,0,0,0x100,"",,,"Lance-roquettes détruits = %5027w/4",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,5040,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
