long,str,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,"APP_TITLE",,,"ErreurWow",,,,,,,,,,,,,,0xFF01FE,
2,"WOWERROR",,,"ERREURWOW",,,,,,,,,,,,,,0xFF01FE,
3,"HEADER",,,"Les informations suivantes seront envoyées à Blizzard lorsque vous cliquerez sur Envoyer
Bien que vous ne soyez pas obligé de nous les envoyer, ces informations nous seront utiles.",,,,,,,,,,,,,,0xFF01FE,
4,"SEND",,,"Envoyer",,,,,,,,,,,,,,0xFF01FE,
5,"CANCEL",,,"Annuler",,,,,,,,,,,,,,0xFF01FE,
6,"SEND_ERROR",,,"Erreur lors de l'envoi des données",,,,,,,,,,,,,,0xFF01FE,
7,"PRESS_SEND",,,"Appuyer sur Envoyer pour nous le faire parvenir",,,,,,,,,,,,,,0xFF01FE,
8,"SEND_CONNECTING",,,"Connexion en cours",,,,,,,,,,,,,,0xFF01FE,
9,"SEND_SENDING",,,"Envoi en cours",,,,,,,,,,,,,,0xFF01FE,
10,"SEND_DONE",,,"Envoi terminé",,,,,,,,,,,,,,0xFF01FE,
11,"SEND_CANT_CONNECT",,,"Impossible de se connecter au serveur",,,,,,,,,,,,,,0xFF01FE,
12,"DONE",,,"Terminer",,,,,,,,,,,,,,0xFF01FE,
13,"DESCRIBE",,,"Décrivez ce que vous étiez en train de faire lorsque l'erreur est survenue",,,,,,,,,,,,,,0xFF01FE,
